squad,date,opponent,home_away,formation,starter,jersey,player,espn_pos,formation_place,event_id
Leverkusen,2025-08-23,Hoffenheim,home,3-4-2-1,True,1,Mark Flekken,G,1,746722
Leverkusen,2025-08-23,Hoffenheim,home,3-4-2-1,True,12,Edmond Tapsoba,CD,5,746722
Leverkusen,2025-08-23,Hoffenheim,home,3-4-2-1,True,3,Piero Hincapié,CD-L,4,746722
Leverkusen,2025-08-23,Hoffenheim,home,3-4-2-1,True,4,Jarell Quansah,CD-R,6,746722
Leverkusen,2025-08-23,Hoffenheim,home,3-4-2-1,True,8,Robert Andrich,CM-L,8,746722
Leverkusen,2025-08-23,Hoffenheim,home,3-4-2-1,True,24,Aleix García,CM-R,7,746722
Leverkusen,2025-08-23,Hoffenheim,home,3-4-2-1,True,20,Alejandro Grimaldo,LM,3,746722
Leverkusen,2025-08-23,Hoffenheim,home,3-4-2-1,True,13,Arthur,RM,2,746722
Leverkusen,2025-08-23,Hoffenheim,home,3-4-2-1,True,14,Patrik Schick,F,9,746722
Leverkusen,2025-08-23,Hoffenheim,home,3-4-2-1,True,23,Nathan Tella,CF-L,11,746722
Leverkusen,2025-08-23,Hoffenheim,home,3-4-2-1,True,30,Ibrahim Maza,CF-R,10,746722
Leverkusen,2025-08-23,Hoffenheim,home,3-4-2-1,False,28,Janis Blaswich,SUB,0,746722
Leverkusen,2025-08-23,Hoffenheim,home,3-4-2-1,False,18,Alejo Sarco,SUB,0,746722
Leverkusen,2025-08-23,Hoffenheim,home,3-4-2-1,False,36,Niklas Lomb,SUB,0,746722
Leverkusen,2025-08-23,Hoffenheim,home,3-4-2-1,False,9,Claudio Echeverri,SUB,0,746722
Leverkusen,2025-08-23,Hoffenheim,home,3-4-2-1,False,16,Axel Tape,SUB,0,746722
Leverkusen,2025-08-23,Hoffenheim,home,3-4-2-1,False,26,Andrea Natali,SUB,0,746722
Leverkusen,2025-08-23,Hoffenheim,home,3-4-2-1,False,27,Jeremiah Mensah,SUB,0,746722
Leverkusen,2025-08-23,Hoffenheim,home,3-4-2-1,False,19,Ernest Poku,SUB,0,746722
Leverkusen,2025-08-23,Hoffenheim,home,3-4-2-1,False,35,Christian Kofane,SUB,0,746722
Hoffenheim,2025-08-23,Leverkusen,away,4-3-3,True,1,Oliver Baumann,G,1,746722
Hoffenheim,2025-08-23,Leverkusen,away,4-3-3,True,28,Koki Machida,CD-L,6,746722
Hoffenheim,2025-08-23,Leverkusen,away,4-3-3,True,2,Robin Hranác,CD-R,5,746722
Hoffenheim,2025-08-23,Leverkusen,away,4-3-3,True,13,Bernardo,LB,3,746722
Hoffenheim,2025-08-23,Leverkusen,away,4-3-3,True,34,Vladimír Coufal,RB,2,746722
Hoffenheim,2025-08-23,Leverkusen,away,4-3-3,True,7,Leon Avdullahu,CM,4,746722
Hoffenheim,2025-08-23,Leverkusen,away,4-3-3,True,27,Andrej Kramaric,LM,8,746722
Hoffenheim,2025-08-23,Leverkusen,away,4-3-3,True,18,Wouter Burger,RM,7,746722
Hoffenheim,2025-08-23,Leverkusen,away,4-3-3,True,19,Tim Lemperle,F,9,746722
