squad,date,opponent,home_away,formation,starter,jersey,player,espn_pos,formation_place,event_id
Fortuna Sittard,2025-08-08,Go Ahead Eagles,home,4-2-3-1,True,31,Mattijs Branderhorst,G,1,740976
Fortuna Sittard,2025-08-08,Go Ahead Eagles,home,4-2-3-1,True,28,Justin Hubner,CD-L,6,740976
Fortuna Sittard,2025-08-08,Go Ahead Eagles,home,4-2-3-1,True,4,Shawn Adewoye,CD-R,5,740976
Fortuna Sittard,2025-08-08,Go Ahead Eagles,home,4-2-3-1,True,8,Jasper Dahlhaus,LB,3,740976
Fortuna Sittard,2025-08-08,Go Ahead Eagles,home,4-2-3-1,True,12,Ivo Pinto,RB,2,740976
Fortuna Sittard,2025-08-08,Go Ahead Eagles,home,4-2-3-1,True,23,Philip Brittijn,AM,10,740976
Fortuna Sittard,2025-08-08,Go Ahead Eagles,home,4-2-3-1,True,20,Edouard Michut,LM,4,740976
Fortuna Sittard,2025-08-08,Go Ahead Eagles,home,4-2-3-1,True,80,Ryan Fosso,RM,8,740976
Fortuna Sittard,2025-08-08,Go Ahead Eagles,home,4-2-3-1,True,19,Paul Gladon,F,9,740976
Fortuna Sittard,2025-08-08,Go Ahead Eagles,home,4-2-3-1,True,7,Kristoffer Peterson,AM-L,11,740976
Fortuna Sittard,2025-08-08,Go Ahead Eagles,home,4-2-3-1,True,18,Dimitrios Limnios,AM-R,7,740976
Fortuna Sittard,2025-08-08,Go Ahead Eagles,home,4-2-3-1,False,44,Iván Márquez,SUB,0,740976
Fortuna Sittard,2025-08-08,Go Ahead Eagles,home,4-2-3-1,False,46,Moussa Gbemou,SUB,0,740976
Fortuna Sittard,2025-08-08,Go Ahead Eagles,home,4-2-3-1,False,36,Hasip Korkmazyürek,SUB,0,740976
Fortuna Sittard,2025-08-08,Go Ahead Eagles,home,4-2-3-1,False,77,Luka Tunjic,SUB,0,740976
Fortuna Sittard,2025-08-08,Go Ahead Eagles,home,4-2-3-1,False,38,Tristan Schenkhuizen,SUB,0,740976
Fortuna Sittard,2025-08-08,Go Ahead Eagles,home,4-2-3-1,False,45,Owen Johnson,SUB,0,740976
Fortuna Sittard,2025-08-08,Go Ahead Eagles,home,4-2-3-1,False,21,Marko Kerkez,SUB,0,740976
Fortuna Sittard,2025-08-08,Go Ahead Eagles,home,4-2-3-1,False,1,Luuk Koopmans,SUB,0,740976
Fortuna Sittard,2025-08-08,Go Ahead Eagles,home,4-2-3-1,False,11,Makan Aiko,SUB,0,740976
Fortuna Sittard,2025-08-08,Go Ahead Eagles,home,4-2-3-1,False,25,Niels Martens,SUB,0,740976
Go Ahead Eagles,2025-08-08,Fortuna Sittard,away,4-2-3-1,True,22,Jari De Busser,G,1,740976
Go Ahead Eagles,2025-08-08,Fortuna Sittard,away,4-2-3-1,True,4,Joris Kramer,CD-L,6,740976
