squad,date,opponent,home_away,formation,starter,jersey,player,espn_pos,formation_place,event_id
Casa Pia,2025-08-08,Sporting CP,home,5-4-1,True,1,Patrick Sequeira,G,1,750246
Casa Pia,2025-08-08,Sporting CP,home,5-4-1,True,6,José Fonte,CD,5,750246
Casa Pia,2025-08-08,Sporting CP,home,5-4-1,True,2,Duplexe Tchamba,CD-L,4,750246
Casa Pia,2025-08-08,Sporting CP,home,5-4-1,True,4,Joao Goulart,CD-R,6,750246
Casa Pia,2025-08-08,Sporting CP,home,5-4-1,True,12,Fahem Benaissa-Yahia,LB,3,750246
Casa Pia,2025-08-08,Sporting CP,home,5-4-1,True,72,Gaizka Larrazabal,RB,2,750246
Casa Pia,2025-08-08,Sporting CP,home,5-4-1,True,8,Rafael Brito,CM-L,10,750246
Casa Pia,2025-08-08,Sporting CP,home,5-4-1,True,20,Yassin Oukili,CM-R,8,750246
Casa Pia,2025-08-08,Sporting CP,home,5-4-1,True,7,Kelian Nsona Wa Saka,LM,11,750246
Casa Pia,2025-08-08,Sporting CP,home,5-4-1,True,29,Jeremy Livolant,RM,7,750246
Casa Pia,2025-08-08,Sporting CP,home,5-4-1,True,90,Cassiano,F,9,750246
Casa Pia,2025-08-08,Sporting CP,home,5-4-1,False,24,Iyad Mohamed,SUB,0,750246
Casa Pia,2025-08-08,Sporting CP,home,5-4-1,False,27,Kaique Rocha,SUB,0,750246
Casa Pia,2025-08-08,Sporting CP,home,5-4-1,False,74,Renato Nhaga,SUB,0,750246
Casa Pia,2025-08-08,Sporting CP,home,5-4-1,False,22,Daniel Azevedo,SUB,0,750246
Casa Pia,2025-08-08,Sporting CP,home,5-4-1,False,9,Max Svensson,SUB,0,750246
Casa Pia,2025-08-08,Sporting CP,home,5-4-1,False,18,André Geraldes,SUB,0,750246
Casa Pia,2025-08-08,Sporting CP,home,5-4-1,False,3,Kaly,SUB,0,750246
Casa Pia,2025-08-08,Sporting CP,home,5-4-1,False,13,Oluwakorede Osundina,SUB,0,750246
Casa Pia,2025-08-08,Sporting CP,home,5-4-1,False,14,Miguel Sousa,SUB,0,750246
Sporting CP,2025-08-08,Casa Pia,away,4-2-3-1,True,1,Rui Silva,G,1,750246
