squad,date,opponent,home_away,formation,starter,jersey,player,espn_pos,formation_place,event_id
Lens,2025-08-16,Lyon,home,3-4-2-1,True,40,Robin Risser,G,1,746415
Lens,2025-08-16,Lyon,home,3-4-2-1,True,20,Malang Sarr,CD,5,746415
Lens,2025-08-16,Lyon,home,3-4-2-1,True,14,Matthieu Udol,CD-L,4,746415
Lens,2025-08-16,Lyon,home,3-4-2-1,True,6,Samson Baidoo,CD-R,6,746415
Lens,2025-08-16,Lyon,home,3-4-2-1,True,18,Andy Diouf,CM-L,8,746415
Lens,2025-08-16,Lyon,home,3-4-2-1,True,28,Adrien Thomasson,CM-R,7,746415
Lens,2025-08-16,Lyon,home,3-4-2-1,True,3,Deiver Machado,LM,3,746415
Lens,2025-08-16,Lyon,home,3-4-2-1,True,2,Ruben Aguilar,RM,2,746415
Lens,2025-08-16,Lyon,home,3-4-2-1,True,38,Rayan Fofana,F,9,746415
Lens,2025-08-16,Lyon,home,3-4-2-1,True,29,Morgan Guilavogui,CF-L,11,746415
Lens,2025-08-16,Lyon,home,3-4-2-1,True,22,Wesley Saïd,CF-R,10,746415
Lens,2025-08-16,Lyon,home,3-4-2-1,False,37,Pierre Ganiou,SUB,0,746415
Lens,2025-08-16,Lyon,home,3-4-2-1,False,35,Anthony Bermont,SUB,0,746415
Lens,2025-08-16,Lyon,home,3-4-2-1,False,15,Hamzat Ojediran,SUB,0,746415
Lens,2025-08-16,Lyon,home,3-4-2-1,False,1,Régis Gurtner,SUB,0,746415
Lens,2025-08-16,Lyon,home,3-4-2-1,False,10,Florian Thauvin,SUB,0,746415
Lens,2025-08-16,Lyon,home,3-4-2-1,False,7,Florian Sotoca,SUB,0,746415
Lens,2025-08-16,Lyon,home,3-4-2-1,False,23,Saud Abdulhamid,SUB,0,746415
Lens,2025-08-16,Lyon,home,3-4-2-1,False,5,Andrija Bulatovic,SUB,0,746415
Lens,2025-08-16,Lyon,home,3-4-2-1,False,33,Fode Sylla,SUB,0,746415
Lyon,2025-08-16,Lens,away,4-2-3-1,True,40,Rémy Descamps,G,1,746415
Lyon,2025-08-16,Lens,away,4-2-3-1,True,19,Moussa Niakhaté,CD-L,6,746415
Lyon,2025-08-16,Lens,away,4-2-3-1,True,22,Clinton Mata,CD-R,5,746415
Lyon,2025-08-16,Lens,away,4-2-3-1,True,16,Abner,LB,3,746415
Lyon,2025-08-16,Lens,away,4-2-3-1,True,20,Saël Kumbedi,RB,2,746415
Lyon,2025-08-16,Lens,away,4-2-3-1,True,8,Corentin Tolisso,AM,10,746415
