squad,date,opponent,home_away,formation,starter,jersey,player,espn_pos,formation_place,event_id
Union SG,2025-09-16,PSV Eindhoven,away,3-4-1-2,1,37,Kjell Scherpen,G,1,757654
Union SG,2025-09-16,PSV Eindhoven,away,3-4-1-2,1,16,Christian Burgess,CD,5,757654
Union SG,2025-09-16,PSV Eindhoven,away,3-4-1-2,1,48,Fedde Leysen,CD-L,4,757654
Union SG,2025-09-16,PSV Eindhoven,away,3-4-1-2,1,5,Kevin Mac Allister,CD-R,6,757654
Union SG,2025-09-16,PSV Eindhoven,away,3-4-1-2,1,4,Mathias Rasmussen,CM-L,8,757654
Union SG,2025-09-16,PSV Eindhoven,away,3-4-1-2,1,8,Adem Zorgane,CM-R,7,757654
Union SG,2025-09-16,PSV Eindhoven,away,3-4-1-2,1,10,Anouar Ait El Hadj,AM,9,757654
Union SG,2025-09-16,PSV Eindhoven,away,3-4-1-2,1,22,Ousseynou Niang,LM,3,757654
Union SG,2025-09-16,PSV Eindhoven,away,3-4-1-2,1,25,Anan Khalaili,RM,2,757654
Union SG,2025-09-16,PSV Eindhoven,away,3-4-1-2,1,12,Promise David,CF-L,11,757654
Union SG,2025-09-16,PSV Eindhoven,away,3-4-1-2,1,13,Kevin Rodríguez,CF-R,10,757654
Union SG,2025-09-16,PSV Eindhoven,away,3-4-1-2,0,20,Marc Giger,SUB,0,757654
Union SG,2025-09-16,PSV Eindhoven,away,3-4-1-2,0,27,Louis Patris,SUB,0,757654
Union SG,2025-09-16,PSV Eindhoven,away,3-4-1-2,0,26,Ross Sykes,SUB,0,757654
Union SG,2025-09-16,PSV Eindhoven,away,3-4-1-2,0,23,Sofiane Boufal,SUB,0,757654
Union SG,2025-09-16,PSV Eindhoven,away,3-4-1-2,0,1,Vic Chambaere,SUB,0,757654
Union SG,2025-09-16,PSV Eindhoven,away,3-4-1-2,0,11,Guilherme Smith,SUB,0,757654
Union SG,2025-09-16,PSV Eindhoven,away,3-4-1-2,0,17,Rob Schoofs,SUB,0,757654
Union SG,2025-09-16,PSV Eindhoven,away,3-4-1-2,0,6,Kamiel Van De Perre,SUB,0,757654
Union SG,2025-09-16,PSV Eindhoven,away,3-4-1-2,0,3,Mamadou Barry,SUB,0,757654
Union SG,2025-09-16,PSV Eindhoven,away,3-4-1-2,0,33,Soulaimane Berradi,SUB,0,757654
Club Brugge,2025-09-18,AS Monaco,home,4-2-3-1,1,22,Simon Mignolet,G,1,757665
Club Brugge,2025-09-18,AS Monaco,home,4-2-3-1,1,44,Brandon Mechele,CD-L,6,757665
Club Brugge,2025-09-18,AS Monaco,home,4-2-3-1,1,4,Joel Ordóñez,CD-R,5,757665
Club Brugge,2025-09-18,AS Monaco,home,4-2-3-1,1,14,Bjorn Meijer,LB,3,757665
Club Brugge,2025-09-18,AS Monaco,home,4-2-3-1,1,64,Kyriani Sabbe,RB,2,757665
Club Brugge,2025-09-18,AS Monaco,home,4-2-3-1,1,20,Hans Vanaken,AM,10,757665
Club Brugge,2025-09-18,AS Monaco,home,4-2-3-1,1,15,Raphael Onyedika,LM,4,757665
Club Brugge,2025-09-18,AS Monaco,home,4-2-3-1,1,25,Aleksandar Stankovic,RM,8,757665
