squad,date,opponent,home_away,formation,starter,jersey,player,espn_pos,formation_place,event_id
PSV,2025-09-16,Union St.-Gilloise,home,4-2-3-1,1,32,Matej Kovár,G,1,757654
PSV,2025-09-16,Union St.-Gilloise,home,4-2-3-1,1,4,Armando Obispo,CD-L,6,757654
PSV,2025-09-16,Union St.-Gilloise,home,4-2-3-1,1,6,Ryan Flamingo,CD-R,5,757654
PSV,2025-09-16,Union St.-Gilloise,home,4-2-3-1,1,3,Yarek Gasiorowski,LB,3,757654
PSV,2025-09-16,Union St.-Gilloise,home,4-2-3-1,1,8,Sergiño Dest,RB,2,757654
PSV,2025-09-16,Union St.-Gilloise,home,4-2-3-1,1,34,Ismael Saibari,AM,10,757654
PSV,2025-09-16,Union St.-Gilloise,home,4-2-3-1,1,23,Joey Veerman,LM,4,757654
PSV,2025-09-16,Union St.-Gilloise,home,4-2-3-1,1,22,Jerdy Schouten,RM,8,757654
PSV,2025-09-16,Union St.-Gilloise,home,4-2-3-1,1,9,Ricardo Pepi,F,9,757654
PSV,2025-09-16,Union St.-Gilloise,home,4-2-3-1,1,7,Ruben Van Bommel,AM-L,11,757654
PSV,2025-09-16,Union St.-Gilloise,home,4-2-3-1,1,5,Ivan Perisic,AM-R,7,757654
PSV,2025-09-16,Union St.-Gilloise,home,4-2-3-1,0,33,Eus Waayers,SUB,0,757654
PSV,2025-09-16,Union St.-Gilloise,home,4-2-3-1,0,39,Adamo Nagalo,SUB,0,757654
PSV,2025-09-16,Union St.-Gilloise,home,4-2-3-1,0,24,Niek Schiks,SUB,0,757654
PSV,2025-09-16,Union St.-Gilloise,home,4-2-3-1,0,27,Dennis Man,SUB,0,757654
PSV,2025-09-16,Union St.-Gilloise,home,4-2-3-1,0,19,Esmir Bajraktarevic,SUB,0,757654
PSV,2025-09-16,Union St.-Gilloise,home,4-2-3-1,0,11,Couhaib Driouech,SUB,0,757654
PSV,2025-09-16,Union St.-Gilloise,home,4-2-3-1,0,21,Myron Boadu,SUB,0,757654
PSV,2025-09-16,Union St.-Gilloise,home,4-2-3-1,0,10,Paul Wanner,SUB,0,757654
PSV,2025-09-16,Union St.-Gilloise,home,4-2-3-1,0,2,Anass Salah-Eddine,SUB,0,757654
PSV,2025-09-16,Union St.-Gilloise,home,4-2-3-1,0,20,Guus Til,SUB,0,757654
PSV,2025-09-16,Union St.-Gilloise,home,4-2-3-1,0,1,Nick Olij,SUB,0,757654
Ajax,2025-09-17,Internazionale,home,4-3-3,1,1,Vitezslav Jaros,G,1,757664
Ajax,2025-09-17,Internazionale,home,4-3-3,1,15,Youri Baas,CD-L,6,757664
Ajax,2025-09-17,Internazionale,home,4-3-3,1,4,Kou Itakura,CD-R,5,757664
Ajax,2025-09-17,Internazionale,home,4-3-3,1,5,Owen Wijndal,LB,3,757664
Ajax,2025-09-17,Internazionale,home,4-3-3,1,3,Anton Gaaei,RB,2,757664
Ajax,2025-09-17,Internazionale,home,4-3-3,1,6,Youri Regeer,CM,4,757664
Ajax,2025-09-17,Internazionale,home,4-3-3,1,8,Kenneth Taylor,LM,8,757664
Ajax,2025-09-17,Internazionale,home,4-3-3,1,18,Davy Klaassen,RM,7,757664
Ajax,2025-09-17,Internazionale,home,4-3-3,1,25,Wout Weghorst,F,9,757664
Ajax,2025-09-17,Internazionale,home,4-3-3,1,11,Mika Godts,LF,11,757664
