squad,date,opponent,home_away,formation,starter,jersey,player,espn_pos,formation_place,event_id
Athletic Club,2025-09-16,Arsenal,home,4-2-3-1,1,1,Unai Simón,G,1,757653
Athletic Club,2025-09-16,Arsenal,home,4-2-3-1,1,4,Aitor Paredes,CD-L,6,757653
Athletic Club,2025-09-16,Arsenal,home,4-2-3-1,1,3,Dani Vivian,CD-R,5,757653
Athletic Club,2025-09-16,Arsenal,home,4-2-3-1,1,19,Adama Boiro,LB,3,757653
Athletic Club,2025-09-16,Arsenal,home,4-2-3-1,1,2,Andoni Gorosabel,RB,2,757653
Athletic Club,2025-09-16,Arsenal,home,4-2-3-1,1,8,Oihan Sancet,AM,10,757653
Athletic Club,2025-09-16,Arsenal,home,4-2-3-1,1,6,Mikel Vesga,LM,4,757653
Athletic Club,2025-09-16,Arsenal,home,4-2-3-1,1,18,Mikel Jauregizar,RM,8,757653
Athletic Club,2025-09-16,Arsenal,home,4-2-3-1,1,9,Iñaki Williams,F,9,757653
Athletic Club,2025-09-16,Arsenal,home,4-2-3-1,1,23,Robert Navarro,AM-L,11,757653
Athletic Club,2025-09-16,Arsenal,home,4-2-3-1,1,7,Álex Berenguer,AM-R,7,757653
Athletic Club,2025-09-16,Arsenal,home,4-2-3-1,0,17,Yuri Berchiche,SUB,0,757653
Athletic Club,2025-09-16,Arsenal,home,4-2-3-1,0,34,Jon De Luis,SUB,0,757653
Athletic Club,2025-09-16,Arsenal,home,4-2-3-1,0,26,Mikel Santos,SUB,0,757653
Athletic Club,2025-09-16,Arsenal,home,4-2-3-1,0,12,Jesús Areso,SUB,0,757653
Athletic Club,2025-09-16,Arsenal,home,4-2-3-1,0,15,Iñigo Lekue,SUB,0,757653
Athletic Club,2025-09-16,Arsenal,home,4-2-3-1,0,20,Unai Gómez,SUB,0,757653
Athletic Club,2025-09-16,Arsenal,home,4-2-3-1,0,22,Nico Serrano,SUB,0,757653
Athletic Club,2025-09-16,Arsenal,home,4-2-3-1,0,11,Gorka Guruzeta,SUB,0,757653
Athletic Club,2025-09-16,Arsenal,home,4-2-3-1,0,30,Alejandro Rego,SUB,0,757653
Athletic Club,2025-09-16,Arsenal,home,4-2-3-1,0,16,Iñigo Ruiz de Galarreta,SUB,0,757653
