squad,date,opponent,home_away,formation,starter,jersey,player,espn_pos,formation_place,event_id
Benfica,2025-09-16,FK Qarabag,home,4-2-3-1,1,1,Anatoliy Trubin,G,1,757657
Benfica,2025-09-16,FK Qarabag,home,4-2-3-1,1,30,Nicolás Otamendi,CD-L,6,757657
Benfica,2025-09-16,FK Qarabag,home,4-2-3-1,1,4,António Silva,CD-R,5,757657
Benfica,2025-09-16,FK Qarabag,home,4-2-3-1,1,26,Samuel Dahl,LB,3,757657
Benfica,2025-09-16,FK Qarabag,home,4-2-3-1,1,17,Amar Dedic,RB,2,757657
Benfica,2025-09-16,FK Qarabag,home,4-2-3-1,1,10,Georgiy Sudakov,AM,10,757657
Benfica,2025-09-16,FK Qarabag,home,4-2-3-1,1,5,Enzo Barrenechea,LM,4,757657
Benfica,2025-09-16,FK Qarabag,home,4-2-3-1,1,20,Richard Ríos,RM,8,757657
Benfica,2025-09-16,FK Qarabag,home,4-2-3-1,1,14,Vangelis Pavlidis,F,9,757657
Benfica,2025-09-16,FK Qarabag,home,4-2-3-1,1,21,Andreas Schjelderup,AM-L,11,757657
Benfica,2025-09-16,FK Qarabag,home,4-2-3-1,1,8,Fredrik Aursnes,AM-R,7,757657
Benfica,2025-09-16,FK Qarabag,home,4-2-3-1,0,24,Samuel Soares,SUB,0,757657
Benfica,2025-09-16,FK Qarabag,home,4-2-3-1,0,44,Tomás Araújo,SUB,0,757657
Benfica,2025-09-16,FK Qarabag,home,4-2-3-1,0,64,Gonçalo Oliveira,SUB,0,757657
Benfica,2025-09-16,FK Qarabag,home,4-2-3-1,0,25,Gianluca Prestianni,SUB,0,757657
Benfica,2025-09-16,FK Qarabag,home,4-2-3-1,0,18,Leandro Barreiro,SUB,0,757657
Benfica,2025-09-16,FK Qarabag,home,4-2-3-1,0,68,João Veloso,SUB,0,757657
Benfica,2025-09-16,FK Qarabag,home,4-2-3-1,0,84,João Rêgo,SUB,0,757657
Benfica,2025-09-16,FK Qarabag,home,4-2-3-1,0,3,Rafael Obrador,SUB,0,757657
Benfica,2025-09-16,FK Qarabag,home,4-2-3-1,0,71,Leandro Santos,SUB,0,757657
Benfica,2025-09-16,FK Qarabag,home,4-2-3-1,0,39,Henrique Araújo,SUB,0,757657
Benfica,2025-09-16,FK Qarabag,home,4-2-3-1,0,86,Diogo Prioste,SUB,0,757657
Benfica,2025-09-16,FK Qarabag,home,4-2-3-1,0,9,Franjo Ivanovic,SUB,0,757657
Sporting CP,2025-09-18,Kairat Almaty,home,4-2-3-1,1,12,João Virgínia,G,1,757670
Sporting CP,2025-09-18,Kairat Almaty,home,4-2-3-1,1,25,Gonçalo Inácio,CD-L,6,757670
Sporting CP,2025-09-18,Kairat Almaty,home,4-2-3-1,1,72,Eduardo Quaresma,CD-R,5,757670
Sporting CP,2025-09-18,Kairat Almaty,home,4-2-3-1,1,20,Maxi Araújo,LB,3,757670
