squad,date,opponent,home_away,formation,starter,jersey,player,espn_pos,formation_place,event_id
Marseille,2025-09-16,Real Madrid,away,4-2-3-1,1,1,Gerónimo Rulli,G,1,757655
Marseille,2025-09-16,Real Madrid,away,4-2-3-1,1,32,Facundo Medina,CD-L,6,757655
Marseille,2025-09-16,Real Madrid,away,4-2-3-1,1,5,Leonardo Balerdi,CD-R,5,757655
Marseille,2025-09-16,Real Madrid,away,4-2-3-1,1,33,Emerson,LB,3,757655
Marseille,2025-09-16,Real Madrid,away,4-2-3-1,1,28,Benjamin Pavard,RB,2,757655
Marseille,2025-09-16,Real Madrid,away,4-2-3-1,1,17,Matt O'Riley,AM,10,757655
Marseille,2025-09-16,Real Madrid,away,4-2-3-1,1,23,Pierre-Emile Højbjerg,LM,4,757655
Marseille,2025-09-16,Real Madrid,away,4-2-3-1,1,19,Geoffrey Kondogbia,RM,8,757655
Marseille,2025-09-16,Real Madrid,away,4-2-3-1,1,97,Pierre-Emerick Aubameyang,F,9,757655
Marseille,2025-09-16,Real Madrid,away,4-2-3-1,1,22,Timothy Weah,AM-L,11,757655
Marseille,2025-09-16,Real Madrid,away,4-2-3-1,1,10,Mason Greenwood,AM-R,7,757655
Marseille,2025-09-16,Real Madrid,away,4-2-3-1,0,26,Bilal Nadir,SUB,0,757655
Marseille,2025-09-16,Real Madrid,away,4-2-3-1,0,50,Darryl Bakola,SUB,0,757655
Marseille,2025-09-16,Real Madrid,away,4-2-3-1,0,40,Jelle Van Neck,SUB,0,757655
Marseille,2025-09-16,Real Madrid,away,4-2-3-1,0,8,Angel Gomes,SUB,0,757655
Marseille,2025-09-16,Real Madrid,away,4-2-3-1,0,62,Amir Murillo,SUB,0,757655
Marseille,2025-09-16,Real Madrid,away,4-2-3-1,0,14,Igor Paixão,SUB,0,757655
Marseille,2025-09-16,Real Madrid,away,4-2-3-1,0,9,Amine Gouiri,SUB,0,757655
Marseille,2025-09-16,Real Madrid,away,4-2-3-1,0,34,Robinio Vaz,SUB,0,757655
Marseille,2025-09-16,Real Madrid,away,4-2-3-1,0,4,CJ Egan-Riley,SUB,0,757655
Marseille,2025-09-16,Real Madrid,away,4-2-3-1,0,12,Jeffrey de Lange,SUB,0,757655
Marseille,2025-09-16,Real Madrid,away,4-2-3-1,0,18,Arthur Vermeeren,SUB,0,757655
PSG,2025-09-17,Atalanta,home,4-3-3,1,30,Lucas Chevalier,G,1,757661
PSG,2025-09-17,Atalanta,home,4-3-3,1,51,Willian Pacho,CD-L,6,757661
PSG,2025-09-17,Atalanta,home,4-3-3,1,5,Marquinhos,CD-R,5,757661
PSG,2025-09-17,Atalanta,home,4-3-3,1,25,Nuno Mendes,LB,3,757661
PSG,2025-09-17,Atalanta,home,4-3-3,1,2,Achraf Hakimi,RB,2,757661
PSG,2025-09-17,Atalanta,home,4-3-3,1,17,Vitinha,CM,4,757661
PSG,2025-09-17,Atalanta,home,4-3-3,1,8,Fabián Ruiz,LM,8,757661
PSG,2025-09-17,Atalanta,home,4-3-3,1,87,João Neves,RM,7,757661
PSG,2025-09-17,Atalanta,home,4-3-3,1,24,Senny Mayulu,F,9,757661
PSG,2025-09-17,Atalanta,home,4-3-3,1,29,Bradley Barcola,LF,11,757661
PSG,2025-09-17,Atalanta,home,4-3-3,1,7,Khvicha Kvaratskhelia,RF,10,757661
PSG,2025-09-17,Atalanta,home,4-3-3,0,49,Ibrahim Mbaye,SUB,0,757661
PSG,2025-09-17,Atalanta,home,4-3-3,0,89,Renato Marin,SUB,0,757661
PSG,2025-09-17,Atalanta,home,4-3-3,0,19,Lee Kang-In,SUB,0,757661
PSG,2025-09-17,Atalanta,home,4-3-3,0,6,Illia Zabarnyi,SUB,0,757661
PSG,2025-09-17,Atalanta,home,4-3-3,0,39,Matvei Safonov,SUB,0,757661
PSG,2025-09-17,Atalanta,home,4-3-3,0,9,Gonçalo Ramos,SUB,0,757661
PSG,2025-09-17,Atalanta,home,4-3-3,0,33,Warren Zaïre-Emery,SUB,0,757661
PSG,2025-09-17,Atalanta,home,4-3-3,0,21,Lucas Hernández,SUB,0,757661
Monaco,2025-09-18,Club Brugge,away,4-2-2-2,1,16,Philipp Köhn,G,1,757665
Monaco,2025-09-18,Club Brugge,away,4-2-2-2,1,13,Christian Mawissa,CD-L,6,757665
Monaco,2025-09-18,Club Brugge,away,4-2-2-2,1,3,Eric Dier,CD-R,5,757665
Monaco,2025-09-18,Club Brugge,away,4-2-2-2,1,12,Caio Henrique,LB,3,757665
Monaco,2025-09-18,Club Brugge,away,4-2-2-2,1,2,Vanderson,RB,2,757665
Monaco,2025-09-18,Club Brugge,away,4-2-2-2,1,15,Lamine Camara,CM-L,8,757665
Monaco,2025-09-18,Club Brugge,away,4-2-2-2,1,23,Aladji Bamba,CM-R,4,757665
Monaco,2025-09-18,Club Brugge,away,4-2-2-2,1,9,Folarin Balogun,CF-L,9,757665
Monaco,2025-09-18,Club Brugge,away,4-2-2-2,1,14,Mika Biereth,CF-R,10,757665
Monaco,2025-09-18,Club Brugge,away,4-2-2-2,1,18,Takumi Minamino,AM-L,11,757665
Monaco,2025-09-18,Club Brugge,away,4-2-2-2,1,11,Maghnes Akliouche,AM-R,7,757665
Monaco,2025-09-18,Club Brugge,away,4-2-2-2,0,31,Ansu Fati,SUB,0,757665
Monaco,2025-09-18,Club Brugge,away,4-2-2-2,0,5,Thilo Kehrer,SUB,0,757665
Monaco,2025-09-18,Club Brugge,away,4-2-2-2,0,50,Yann Lienard,SUB,0,757665
Monaco,2025-09-18,Club Brugge,away,4-2-2-2,0,20,Kassoum Ouattara,SUB,0,757665
Monaco,2025-09-18,Club Brugge,away,4-2-2-2,0,28,Mamadou Coulibaly,SUB,0,757665
Monaco,2025-09-18,Club Brugge,away,4-2-2-2,0,4,Jordan Teze,SUB,0,757665
Monaco,2025-09-18,Club Brugge,away,4-2-2-2,0,60,Yanis Benchaouch,SUB,0,757665
Monaco,2025-09-18,Club Brugge,away,4-2-2-2,0,19,George Ilenikhena,SUB,0,757665
Monaco,2025-09-18,Club Brugge,away,4-2-2-2,0,17,Stanis Idumbo,SUB,0,757665
Marseille,2025-09-30,Ajax Amsterdam,home,4-2-3-1,1,1,Gerónimo Rulli,G,1,757679
Marseille,2025-09-30,Ajax Amsterdam,home,4-2-3-1,1,32,Facundo Medina,CD-L,6,757679
Marseille,2025-09-30,Ajax Amsterdam,home,4-2-3-1,1,21,Nayef Aguerd,CD-R,5,757679
Marseille,2025-09-30,Ajax Amsterdam,home,4-2-3-1,1,33,Emerson,LB,3,757679
Marseille,2025-09-30,Ajax Amsterdam,home,4-2-3-1,1,28,Benjamin Pavard,RB,2,757679
Marseille,2025-09-30,Ajax Amsterdam,home,4-2-3-1,1,26,Bilal Nadir,AM,10,757679
Marseille,2025-09-30,Ajax Amsterdam,home,4-2-3-1,1,18,Arthur Vermeeren,LM,4,757679
Marseille,2025-09-30,Ajax Amsterdam,home,4-2-3-1,1,17,Matt O'Riley,RM,8,757679
Marseille,2025-09-30,Ajax Amsterdam,home,4-2-3-1,1,97,Pierre-Emerick Aubameyang,F,9,757679
Marseille,2025-09-30,Ajax Amsterdam,home,4-2-3-1,1,14,Igor Paixão,AM-L,11,757679
Marseille,2025-09-30,Ajax Amsterdam,home,4-2-3-1,1,10,Mason Greenwood,AM-R,7,757679
Marseille,2025-09-30,Ajax Amsterdam,home,4-2-3-1,0,4,CJ Egan-Riley,SUB,0,757679
Marseille,2025-09-30,Ajax Amsterdam,home,4-2-3-1,0,5,Leonardo Balerdi,SUB,0,757679
Marseille,2025-09-30,Ajax Amsterdam,home,4-2-3-1,0,8,Angel Gomes,SUB,0,757679
Marseille,2025-09-30,Ajax Amsterdam,home,4-2-3-1,0,62,Amir Murillo,SUB,0,757679
Marseille,2025-09-30,Ajax Amsterdam,home,4-2-3-1,0,40,Jelle Van Neck,SUB,0,757679
Marseille,2025-09-30,Ajax Amsterdam,home,4-2-3-1,0,22,Timothy Weah,SUB,0,757679
Marseille,2025-09-30,Ajax Amsterdam,home,4-2-3-1,0,9,Amine Gouiri,SUB,0,757679
Marseille,2025-09-30,Ajax Amsterdam,home,4-2-3-1,0,12,Jeffrey de Lange,SUB,0,757679
Marseille,2025-09-30,Ajax Amsterdam,home,4-2-3-1,0,23,Pierre-Emile Højbjerg,SUB,0,757679
Marseille,2025-09-30,Ajax Amsterdam,home,4-2-3-1,0,34,Robinio Vaz,SUB,0,757679
Monaco,2025-10-01,Manchester City,home,3-4-2-1,1,16,Philipp Köhn,G,1,757686
Monaco,2025-10-01,Manchester City,home,3-4-2-1,1,3,Eric Dier,CD,5,757686
Monaco,2025-10-01,Manchester City,home,3-4-2-1,1,22,Mohammed Salisu,CD-L,4,757686
Monaco,2025-10-01,Manchester City,home,3-4-2-1,1,5,Thilo Kehrer,CD-R,6,757686
Monaco,2025-10-01,Manchester City,home,3-4-2-1,1,4,Jordan Teze,CM-L,8,757686
Monaco,2025-10-01,Manchester City,home,3-4-2-1,1,28,Mamadou Coulibaly,CM-R,7,757686
Monaco,2025-10-01,Manchester City,home,3-4-2-1,1,27,Krépin Diatta,LM,3,757686
