squad,date,opponent,home_away,formation,starter,jersey,player,espn_pos,formation_place,event_id
Juventus,2025-09-16,Borussia Dortmund,home,3-4-2-1,1,16,Michele Di Gregorio,G,1,757656
Juventus,2025-09-16,Borussia Dortmund,home,3-4-2-1,1,3,Bremer,CD,5,757656
Juventus,2025-09-16,Borussia Dortmund,home,3-4-2-1,1,6,Lloyd Kelly,CD-L,4,757656
Juventus,2025-09-16,Borussia Dortmund,home,3-4-2-1,1,15,Pierre Kalulu,CD-R,6,757656
Juventus,2025-09-16,Borussia Dortmund,home,3-4-2-1,1,19,Khéphren Thuram,CM-L,8,757656
Juventus,2025-09-16,Borussia Dortmund,home,3-4-2-1,1,8,Teun Koopmeiners,CM-R,7,757656
Juventus,2025-09-16,Borussia Dortmund,home,3-4-2-1,1,27,Andrea Cambiaso,LM,3,757656
Juventus,2025-09-16,Borussia Dortmund,home,3-4-2-1,1,22,Weston McKennie,RM,2,757656
Juventus,2025-09-16,Borussia Dortmund,home,3-4-2-1,1,20,Loïs Openda,F,9,757656
Juventus,2025-09-16,Borussia Dortmund,home,3-4-2-1,1,10,Kenan Yildiz,CF-L,11,757656
Juventus,2025-09-16,Borussia Dortmund,home,3-4-2-1,1,30,Jonathan David,CF-R,10,757656
Juventus,2025-09-16,Borussia Dortmund,home,3-4-2-1,0,32,Juan Cabal,SUB,0,757656
Juventus,2025-09-16,Borussia Dortmund,home,3-4-2-1,0,25,João Mário,SUB,0,757656
Juventus,2025-09-16,Borussia Dortmund,home,3-4-2-1,0,17,Vasilije Adzic,SUB,0,757656
Juventus,2025-09-16,Borussia Dortmund,home,3-4-2-1,0,4,Federico Gatti,SUB,0,757656
Juventus,2025-09-16,Borussia Dortmund,home,3-4-2-1,0,11,Edon Zhegrova,SUB,0,757656
Juventus,2025-09-16,Borussia Dortmund,home,3-4-2-1,0,9,Dusan Vlahovic,SUB,0,757656
Juventus,2025-09-16,Borussia Dortmund,home,3-4-2-1,0,24,Daniele Rugani,SUB,0,757656
Juventus,2025-09-16,Borussia Dortmund,home,3-4-2-1,0,23,Carlo Pinsoglio,SUB,0,757656
Juventus,2025-09-16,Borussia Dortmund,home,3-4-2-1,0,5,Manuel Locatelli,SUB,0,757656
Juventus,2025-09-16,Borussia Dortmund,home,3-4-2-1,0,18,Filip Kostic,SUB,0,757656
Juventus,2025-09-16,Borussia Dortmund,home,3-4-2-1,0,1,Mattia Perin,SUB,0,757656
Juventus,2025-09-16,Borussia Dortmund,home,3-4-2-1,0,7,Francisco Conceição,SUB,0,757656
Inter,2025-09-17,Ajax Amsterdam,away,3-5-2,1,1,Yann Sommer,G,1,757664
Inter,2025-09-17,Ajax Amsterdam,away,3-5-2,1,6,Stefan de Vrij,CD,5,757664
Inter,2025-09-17,Ajax Amsterdam,away,3-5-2,1,95,Alessandro Bastoni,CD-L,4,757664
Inter,2025-09-17,Ajax Amsterdam,away,3-5-2,1,25,Manuel Akanji,CD-R,6,757664
Inter,2025-09-17,Ajax Amsterdam,away,3-5-2,1,22,Henrikh Mkhitaryan,CM-L,8,757664
Inter,2025-09-17,Ajax Amsterdam,away,3-5-2,1,23,Nicolò Barella,CM-R,7,757664
Inter,2025-09-17,Ajax Amsterdam,away,3-5-2,1,20,Hakan Çalhanoglu,AM,11,757664
Inter,2025-09-17,Ajax Amsterdam,away,3-5-2,1,32,Federico Dimarco,LM,3,757664
Inter,2025-09-17,Ajax Amsterdam,away,3-5-2,1,2,Denzel Dumfries,RM,2,757664
Inter,2025-09-17,Ajax Amsterdam,away,3-5-2,1,94,Pio Esposito,CF-L,9,757664
Inter,2025-09-17,Ajax Amsterdam,away,3-5-2,1,9,Marcus Thuram,CF-R,10,757664
Inter,2025-09-17,Ajax Amsterdam,away,3-5-2,0,30,Carlos Augusto,SUB,0,757664
Inter,2025-09-17,Ajax Amsterdam,away,3-5-2,0,11,Luis Henrique,SUB,0,757664
Inter,2025-09-17,Ajax Amsterdam,away,3-5-2,0,31,Yann Bisseck,SUB,0,757664
Inter,2025-09-17,Ajax Amsterdam,away,3-5-2,0,16,Davide Frattesi,SUB,0,757664
Inter,2025-09-17,Ajax Amsterdam,away,3-5-2,0,14,Ange-Yoan Bonny,SUB,0,757664
Inter,2025-09-17,Ajax Amsterdam,away,3-5-2,0,7,Piotr Zielinski,SUB,0,757664
Inter,2025-09-17,Ajax Amsterdam,away,3-5-2,0,17,Andy Diouf,SUB,0,757664
Inter,2025-09-17,Ajax Amsterdam,away,3-5-2,0,13,Josep Martínez,SUB,0,757664
Inter,2025-09-17,Ajax Amsterdam,away,3-5-2,0,8,Petar Sucic,SUB,0,757664
Inter,2025-09-17,Ajax Amsterdam,away,3-5-2,0,10,Lautaro Martínez,SUB,0,757664
Inter,2025-09-17,Ajax Amsterdam,away,3-5-2,0,12,Raffaele Di Gennaro,SUB,0,757664
Inter,2025-09-17,Ajax Amsterdam,away,3-5-2,0,15,Francesco Acerbi,SUB,0,757664
Atalanta,2025-09-17,Paris Saint-Germain,away,3-4-1-2,1,29,Marco Carnesecchi,G,1,757661
Atalanta,2025-09-17,Paris Saint-Germain,away,3-4-1-2,1,4,Isak Hien,CD,5,757661
Atalanta,2025-09-17,Paris Saint-Germain,away,3-4-1-2,1,19,Berat Djimsiti,CD-L,4,757661
Atalanta,2025-09-17,Paris Saint-Germain,away,3-4-1-2,1,3,Odilon Kossounou,CD-R,6,757661
Atalanta,2025-09-17,Paris Saint-Germain,away,3-4-1-2,1,6,Yunus Musah,CM-L,8,757661
Atalanta,2025-09-17,Paris Saint-Germain,away,3-4-1-2,1,15,Marten de Roon,CM-R,7,757661
Atalanta,2025-09-17,Paris Saint-Germain,away,3-4-1-2,1,8,Mario Pasalic,AM,9,757661
Atalanta,2025-09-17,Paris Saint-Germain,away,3-4-1-2,1,47,Lorenzo Bernasconi,LM,3,757661
Atalanta,2025-09-17,Paris Saint-Germain,away,3-4-1-2,1,16,Raoul Bellanova,RM,2,757661
Atalanta,2025-09-17,Paris Saint-Germain,away,3-4-1-2,1,70,Daniel Maldini,CF-L,11,757661
Atalanta,2025-09-17,Paris Saint-Germain,away,3-4-1-2,1,17,Charles De Ketelaere,CF-R,10,757661
Atalanta,2025-09-17,Paris Saint-Germain,away,3-4-1-2,0,57,Marco Sportiello,SUB,0,757661
Atalanta,2025-09-17,Paris Saint-Germain,away,3-4-1-2,0,44,Marco Brescianini,SUB,0,757661
Atalanta,2025-09-17,Paris Saint-Germain,away,3-4-1-2,0,77,Davide Zappacosta,SUB,0,757661
Atalanta,2025-09-17,Paris Saint-Germain,away,3-4-1-2,0,42,Giorgio Scalvini,SUB,0,757661
Atalanta,2025-09-17,Paris Saint-Germain,away,3-4-1-2,0,90,Nikola Krstovic,SUB,0,757661
Atalanta,2025-09-17,Paris Saint-Germain,away,3-4-1-2,0,31,Francesco Rossi,SUB,0,757661
Atalanta,2025-09-17,Paris Saint-Germain,away,3-4-1-2,0,69,Honest Ahanor,SUB,0,757661
Atalanta,2025-09-17,Paris Saint-Germain,away,3-4-1-2,0,10,Lazar Samardzic,SUB,0,757661
Atalanta,2025-09-17,Paris Saint-Germain,away,3-4-1-2,0,40,Relja Obric,SUB,0,757661
Atalanta,2025-09-17,Paris Saint-Germain,away,3-4-1-2,0,7,Kamaldeen Sulemana,SUB,0,757661
Atalanta,2025-09-17,Paris Saint-Germain,away,3-4-1-2,0,59,Nicola Zalewski,SUB,0,757661
