event_id,home_away,minute,minute_sec,player_in,player_out
740596,home,60',3581.0,Wataru Endo,Jeremie Frimpong
740596,home,60',3588.0,Andy Robertson,Milos Kerkez
740596,home,72',4287.0,Joe Gomez,Hugo Ekitiké
740596,home,72',4292.0,Curtis Jones,Alexis Mac Allister
740596,away,74',4422.0,Hamed Traoré,Alex Scott
740596,home,82',4871.0,Federico Chiesa,Florian Wirtz
740596,away,84',5018.0,Ben Winterburn,David Brooks
740596,away,90',5398.0,James Hill,Adam Smith
740596,away,90'+1',5400.0,Junior Kroupi,Tyler Adams
740597,away,78',4645.0,Jacob Murphy,Anthony Elanga
740597,away,83',4966.0,Lewis Miley,Joelinton
740597,home,84',5016.0,Donyell Malen,John McGinn
740597,away,90',5354.0,William Osula,Harvey Barnes
740598,away,66',3918.0,Tom Cairney,Sander Berge
740598,away,66',3923.0,Rodrigo Muniz,Raúl Jiménez
740598,away,66',3940.0,Adama Traoré,Alex Iwobi
740598,home,69',4087.0,Diego Gómez,Carlos Baleba
740598,home,69',4095.0,Danny Welbeck,Georginio Rutter
740598,home,69',4115.0,Ferdi Kadioglu,Yankuba Minteh
740598,away,77',4617.0,Emile Smith Rowe,Josh King
740598,home,83',4959.0,Brajan Gruda,Kaoru Mitoma
740598,away,84',4987.0,Timothy Castagne,Jorge Cuenca
740598,home,88',5229.0,James Milner,Matt O'Riley
740599,away,45',2700.0,Kevin Schade,Antoni Milambo
740599,away,69',4085.0,Frank Onyeka,Keane Lewis-Potter
740599,away,69',4086.0,Jordan Henderson,Mathias Jensen
740599,home,79',4726.0,Igor Jesus,Chris Wood
740599,home,79',4740.0,Jota Silva,Dan Ndoye
740599,home,84',5030.0,Ryan Yates,Morgan Gibbs-White
740599,away,88',5235.0,Aaron Hickey,Rico Henry
740600,home,53',3164.0,Omar Alderete,Jenson Seelt because of an injury
740600,away,71',4215.0,Callum Wilson,Guido Rodríguez
740600,away,71',4219.0,Tomás Soucek,James Ward-Prowse
740600,home,76',4516.0,Enzo Le Fée,Simon Adingra
740600,home,76',4521.0,Wilson Isidor,Eliezer Mayenda
740600,away,82',4905.0,Andy Irving,Jean-Clair Todibo
740600,home,90'+3',5400.0,Chris Rigg,Chemsdine Talbi
740601,away,63',3760.0,Lesley Ugochukwu,Josh Laurent
740601,away,63',3767.0,Jacob Bruun Larsen,Hannibal Mejbri
740601,home,71',4250.0,Rodrigo Bentancur,Archie Gray
740601,home,71',4260.0,Dominic Solanke,Richarlison
740601,away,74',4400.0,Zian Flemming,Lyle Foster
740601,away,74',4405.0,Loum Tchaouna,Oliver Sonne
740601,home,80',4775.0,João Palhinha,Lucas Bergvall
740601,home,80',4788.0,Wilson Odobert,Brennan Johnson
740601,away,85',5091.0,Marcus Edwards,Jaidon Anthony
740601,home,85',5095.0,Mathys Tel,Mohammed Kudus
740602,away,66',3902.0,Matheus Nunes,Rico Lewis
740602,away,66',3926.0,Omar Marmoush,Jérémy Doku
740602,away,66',3949.0,Nico O'Reilly,Bernardo Silva
740602,home,72',4291.0,Hugo Bueno,David Møller Wolfe
740602,home,72',4318.0,Fer López,André
740602,home,73',4330.0,Rodrigo Gomes,Ki-Jana Hoever
740602,home,73',4344.0,Jhon Arias,Jean-Ricner Bellegarde
740602,away,73',4376.0,Rayan Cherki,Erling Haaland
740602,home,82',4885.0,Hwang Hee-Chan,Jørgen Strand Larsen
740602,away,82',4914.0,Abdukodir Khusanov,John Stones
740603,home,54',3226.0,Estêvão,Jamie Gittens
740603,away,70',4177.0,Jefferson Lerma,Will Hughes
740603,home,73',4374.0,Liam Delap,João Pedro
740603,home,79',4722.0,Andrey Santos,Enzo Fernández
740603,home,79',4732.0,Malo Gusto,Reece James
740603,away,84',5004.0,Justin Devenny,Eberechi Eze
740604,home,55',3264.0,Amad Diallo,Diogo Dalot
740604,away,60',3570.0,Kai Havertz,Viktor Gyökeres
740604,away,60',3582.0,Noni Madueke,Gabriel Martinelli
740604,home,65',3852.0,Manuel Ugarte,Casemiro
740604,home,65',3858.0,Benjamin Sesko,Mason Mount
740604,away,71',4258.0,Jurriën Timber,Ben White because of an injury
740604,away,72',4268.0,Myles Lewis-Skelly,Riccardo Calafiori
740604,home,80',4765.0,Harry Maguire,Luke Shaw
740604,away,83',4947.0,Mikel Merino,Declan Rice
740605,home,67',3991.0,Brenden Aaronson,Wilfried Gnonto
740605,away,71',4220.0,Jack Grealish,Tim Iroegbunam
740605,home,78',4635.0,Lukas Nmecha,Joël Piroe
740605,home,78',4645.0,Ilia Gruev,Ethan Ampadu
740605,home,78',4646.0,Jack Harrison,Daniel James
740605,away,86',5136.0,Thierno Barry,Charly Alcaraz
740605,home,90'+4',5400.0,Sean Longstaff,Ao Tanaka
740606,home,38',2273.0,Ethan Nwaneri,Martin Ødegaard because of an injury
740606,home,53',3162.0,Leandro Trossard,Bukayo Saka because of an injury
740606,away,58',3451.0,Sean Longstaff,Ao Tanaka
740606,away,58',3460.0,Lukas Nmecha,Joël Piroe
740606,home,64',3807.0,Max Dowman,Noni Madueke
740606,home,64',3815.0,Myles Lewis-Skelly,Riccardo Calafiori
740606,home,64',3837.0,Cristhian Mosquera,Jurriën Timber
740606,away,66',3915.0,Brenden Aaronson,Daniel James
740606,away,66',3926.0,Noah Okafor,Wilfried Gnonto
740606,away,83',4958.0,Sam Byram,Jayden Bogle
740607,away,35',2041.0,Jackson Tchatchoua,Ki-Jana Hoever because of an injury
740607,away,45',2700.0,André,Jean-Ricner Bellegarde
740607,away,45',2700.0,Hugo Bueno,David Møller Wolfe
740607,away,56',3308.0,Santiago Bueno,Jhon Arias
740607,home,66',3944.0,Ryan Christie,Alex Scott
740607,home,66',3960.0,Amine Adli,David Brooks
740607,home,78',4660.0,Justin Kluivert,Marcus Tavernier
740607,away,78',4672.0,Hwang Hee-Chan,Jørgen Strand Larsen
740607,home,88',5260.0,Eli Kroupi,Evanilson
740607,home,88',5267.0,James Hill,Tyler Adams
740608,away,16',917.0,Emiliano Buendía,Boubacar Kamara because of an injury
740608,away,64',3789.0,Ian Maatsen,Lucas Digne
740608,away,64',3795.0,Donyell Malen,Amadou Onana
740608,home,69',4113.0,Frank Onyeka,Jordan Henderson
740608,away,74',4439.0,Lamare Bogarde,John McGinn
740608,away,75',4449.0,Evann Guessand,Emiliano Buendía
740608,home,79',4697.0,Aaron Hickey,Kevin Schade
740608,home,79',4719.0,Mathias Jensen,Yehor Yarmoliuk
740608,home,84',5035.0,Rico Henry,Dango Ouattara
740608,home,85',5050.0,Kristoffer Ajer,Michael Kayode
740609,away,9',507.0,Jenson Seelt,Dan Ballard because of an injury
740609,away,63',3741.0,Enzo Le Fée,Simon Adingra
740609,away,63',3751.0,Patrick Roberts,Chemsdine Talbi
740609,away,63',3758.0,Wilson Isidor,Eliezer Mayenda
740609,home,69',4094.0,Josh Laurent,Lesley Ugochukwu because of an injury
740609,home,69',4102.0,Oliver Sonne,Jacob Bruun Larsen
740609,away,80',4780.0,Marc Guiu,Habib Diarra
740609,home,83',4955.0,Joe Worrall,Maxime Estève because of an injury
740609,home,83',4961.0,Loum Tchaouna,Hannibal Mejbri
740609,home,86',5118.0,Zian Flemming,Lyle Foster
740610,home,66',3901.0,Romain Esse,Justin Devenny
740610,away,71',4258.0,Arnaud Kalimuendo,Dan Ndoye
740610,away,72',4267.0,James McAtee,Callum Hudson-Odoi
740610,away,82',4862.0,Omari Hutchinson,Morgan Gibbs-White
740610,home,82',4876.0,Jefferson Lerma,Adam Wharton
740610,away,88',5261.0,Ryan Yates,Ibrahim Sangaré
740610,away,88',5264.0,Igor Jesus,Chris Wood
740610,home,88',5278.0,Odsonne Édouard,Jean-Philippe Mateta
740611,away,45',2700.0,Jack Hinshelwood,Carlos Baleba
740611,home,64',3831.0,Charly Alcaraz,Iliman Ndiaye
740611,home,64',3835.0,Beto,Thierno Barry
740611,away,67',3974.0,Ferdi Kadioglu,Maxim De Cuyper
740611,away,67',3989.0,Diego Gómez,Yasin Ayari
740611,home,71',4243.0,Dwight McNeil,Tim Iroegbunam because of an injury
740611,away,85',5094.0,Brajan Gruda,Mats Wieffer
740611,home,90'+4',5400.0,Harrison Armstrong,Jack Grealish
740612,away,52',3112.0,Diogo Dalot,Amad Diallo
740612,away,53',3121.0,Benjamin Sesko,Casemiro
740612,home,62',3691.0,Harry Wilson,Timothy Castagne
740612,home,62',3696.0,Antonee Robinson,Ryan Sessegnon
740612,away,69',4131.0,Manuel Ugarte,Mason Mount
740612,home,71',4223.0,Raúl Jiménez,Rodrigo Muniz
740612,home,71',4230.0,Emile Smith Rowe,Josh King
740612,away,87',5188.0,Ayden Heaven,Leny Yoro
740612,away,87',5198.0,Harry Maguire,Luke Shaw
740613,home,23',1335.0,Nathan Aké,Rayan Aït-Nouri because of an injury
740613,home,54',3220.0,Bernardo Silva,Rayan Cherki
740613,home,54',3224.0,Jérémy Doku,Omar Marmoush
740613,home,75',4473.0,Phil Foden,Oscar Bobb
740613,home,75',4474.0,Rodri,Nico González
740613,away,78',4624.0,Wilson Odobert,Brennan Johnson
740613,away,78',4627.0,Dominic Solanke,Richarlison
740613,away,86',5146.0,Lucas Bergvall,Mohammed Kudus
740613,away,90'+1',5400.0,Kevin Danso,João Palhinha
740614,home,66',3920.0,Lewis Miley,Sandro Tonali because of an injury
740614,home,76',4521.0,Jacob Ramsey,Joelinton because of an injury
740614,home,76',4543.0,Lewis Hall,Kieran Trippier
740614,home,76',4559.0,William Osula,Harvey Barnes
740614,away,80',4775.0,Conor Bradley,Florian Wirtz
740614,away,80',4783.0,Federico Chiesa,Hugo Ekitiké
740614,home,81',4847.0,Malick Thiaw,Fabian Schär because of an injury
740614,away,90'+6',5400.0,Harvey Elliott,Curtis Jones
740614,away,90'+6',5400.0,Rio Ngumoha,Cody Gakpo
740614,away,90'+12',5400.0,Wataru Endo,Mohamed Salah
740615,home,45',2700.0,Callum Wilson,Niclas Füllkrug
740615,home,45',2700.0,Freddie Potts,Jean-Clair Todibo
740615,away,62',3685.0,Andrey Santos,Liam Delap
740615,away,69',4106.0,Reece James,Malo Gusto
740615,away,69',4124.0,Jorrel Hato,Marc Cucurella
740615,away,69',4132.0,Wesley Fofana,Trevoh Chalobah
740615,home,70',4141.0,Kyle Walker-Peters,Tomás Soucek
740615,away,77',4586.0,Jamie Gittens,Estêvão
740616,home,45',2700.0,Emiliano Buendía,Evann Guessand
740616,away,56',3357.0,Jefferson Lerma,Adam Wharton because of an injury
740616,away,71',4240.0,Yéremy Pino,Will Hughes
740616,home,74',4396.0,Bradley Burrowes,Matty Cash
740616,home,74',4410.0,Pau Torres,John McGinn
740616,home,83',4977.0,Lucas Digne,Donyell Malen
740616,home,84',4988.0,Lamare Bogarde,Ian Maatsen
740616,away,85',5093.0,Justin Devenny,Jean-Philippe Mateta
740616,away,86',5106.0,Nathaniel Clyne,Daichi Kamada
740617,home,60',3596.0,James Milner,Carlos Baleba
740617,home,61',3604.0,Yasin Ayari,Jack Hinshelwood
740617,home,61',3621.0,Georginio Rutter,Danny Welbeck
740617,home,61',3622.0,Brajan Gruda,Diego Gómez
740617,away,72',4293.0,Nico O'Reilly,Bernardo Silva
740617,away,72',4300.0,Jérémy Doku,Omar Marmoush
740617,away,85',5047.0,Rico Lewis,Matheus Nunes
740617,away,85',5057.0,Rúben Dias,Abdukodir Khusanov because of an injury
740617,home,90'+5',5400.0,Diego Coppola,Yankuba Minteh
740618,home,14',839.0,Tyrique George,Liam Delap because of an injury
740618,away,59',3539.0,Raúl Jiménez,Rodrigo Muniz
740618,away,60',3555.0,Harry Wilson,Timothy Castagne
740618,away,67',3976.0,Antonee Robinson,Ryan Sessegnon
740618,away,67',3986.0,Emile Smith Rowe,Josh King
740618,home,68',4023.0,Jamie Gittens,Estêvão
740618,home,81',4835.0,Andrey Santos,Tyrique George
740618,home,81',4843.0,Reece James,Pedro Neto
740618,away,84',4983.0,Adama Traoré,Alex Iwobi
740619,away,45',2700.0,Lewis Miley,Jacob Ramsey
740619,home,60',3546.0,Brenden Aaronson,Daniel James
740619,home,60',3549.0,Jack Harrison,Wilfried Gnonto
740619,away,61',3660.0,Lewis Hall,Kieran Trippier
740619,away,62',3670.0,Anthony Elanga,Jacob Murphy
740619,away,68',4078.0,Harvey Barnes,Sven Botman because of an injury
740619,home,70',4186.0,Dominic Calvert-Lewin,Lukas Nmecha
740619,home,80',4792.0,James Justin,Gabriel Gudmundsson because of an injury
740620,away,26',1528.0,James Hill,Adam Smith because of an injury
740620,home,54',3198.0,Wilson Odobert,Brennan Johnson
740620,home,54',3211.0,Lucas Bergvall,João Palhinha
740620,away,63',3779.0,Ryan Christie,Alex Scott
740620,away,64',3785.0,Amine Adli,David Brooks
740620,home,71',4221.0,Destiny Udogie,Pedro Porro
740620,home,76',4546.0,Mathys Tel,Pape Matar Sarr
740620,away,81',4857.0,Eli Kroupi,Evanilson
740620,away,81',4859.0,Justin Kluivert,Marcus Tavernier
740621,home,31',1847.0,Joshua Zirkzee,Matheus Cunha because of an injury
740621,home,45',2700.0,Kobbie Mainoo,Mason Mount
740621,away,65',3891.0,Loum Tchaouna,Hannibal Mejbri
740621,home,72',4307.0,Benjamin Sesko,Casemiro
740621,away,76',4504.0,Josh Laurent,Lesley Ugochukwu
740621,away,82',4917.0,Oliver Sonne,Jacob Bruun Larsen
740621,away,83',4925.0,Joe Worrall,Hjalmar Ekdal
740621,home,85',5076.0,Noussair Mazraoui,Leny Yoro
740622,home,58',3459.0,James McAtee,Dan Ndoye
740622,away,64',3813.0,Callum Wilson,Niclas Füllkrug
740622,home,73',4374.0,Igor Jesus,Chris Wood
740622,away,75',4452.0,Andy Irving,James Ward-Prowse
740622,away,82',4914.0,Crysencio Summerville,Mateus Fernandes
740622,home,89',5308.0,Arnaud Kalimuendo,Ibrahim Sangaré
740622,home,89',5323.0,Omari Hutchinson,Callum Hudson-Odoi
740623,home,65',3880.0,Simon Adingra,Chemsdine Talbi
740623,home,65',3896.0,Wilson Isidor,Eliezer Mayenda
740623,away,71',4255.0,Frank Onyeka,Jordan Henderson
740623,away,72',4263.0,Rico Henry,Keane Lewis-Potter
740623,home,87',5205.0,Marc Guiu,Habib Diarra
740623,away,90',5346.0,Fábio Carvalho,Kevin Schade
740624,home,63',3768.0,Rodrigo Gomes,Jackson Tchatchoua
740624,home,64',3784.0,Jean-Ricner Bellegarde,Jhon Arias
740624,home,64',3795.0,Fer López,André
740624,home,75',4480.0,David Møller Wolfe,Hugo Bueno because of an injury
740624,home,76',4510.0,Sasa Kalajdzic,Hwang Hee-Chan
740624,away,76',4519.0,Thierno Barry,Beto
740624,away,76',4521.0,Tim Iroegbunam,Idrissa Gueye
740624,away,88',5262.0,Charly Alcaraz,Jack Grealish
740624,away,90'+6',5400.0,Séamus Coleman,Iliman Ndiaye
740625,away,5',298.0,Cristhian Mosquera,William Saliba because of an injury
740625,home,61',3652.0,Curtis Jones,Alexis Mac Allister
740625,away,70',4176.0,Eberechi Eze,Gabriel Martinelli
740625,away,70',4185.0,Martin Ødegaard,Mikel Merino
740625,home,79',4708.0,Federico Chiesa,Hugo Ekitiké
740625,home,79',4726.0,Joe Gomez,Ibrahima Konaté because of an injury
740625,home,89',5314.0,Wataru Endo,Florian Wirtz because of an injury
740625,away,89',5330.0,Max Dowman,Noni Madueke
740626,home,61',3650.0,Soungoutou Magassa,Mateus Fernandes
740626,home,61',3659.0,Luis Guilherme,Crysencio Summerville
740626,home,68',4036.0,Callum Wilson,Lucas Paquetá
740626,away,71',4251.0,Destiny Udogie,Djed Spence
740626,away,71',4257.0,Richarlison,Xavi Simons
740626,away,79',4738.0,Wilson Odobert,Mathys Tel
740626,away,80',4755.0,Brennan Johnson,Lucas Bergvall
740626,away,80',4761.0,Kevin Danso,Micky van de Ven
740626,home,90'+2',5400.0,Andy Irving,James Ward-Prowse
740627,home,18',1032.0,Ethan Nwaneri,Martin Ødegaard because of an injury
740627,away,37',2206.0,Nicolò Savona,Murillo because of an injury
740627,away,60',3548.0,Dilane Bakwa,Chris Wood
740627,away,60',3566.0,Arnaud Kalimuendo,Callum Hudson-Odoi
740627,home,68',4054.0,Myles Lewis-Skelly,Riccardo Calafiori
740627,home,68',4072.0,Declan Rice,Viktor Gyökeres
740627,away,73',4348.0,James McAtee,Morgan Gibbs-White
740627,away,73',4361.0,Ryan Yates,Ibrahim Sangaré
740627,home,78',4680.0,Gabriel Martinelli,Noni Madueke
740627,home,79',4688.0,Leandro Trossard,Eberechi Eze
740628,home,69',4104.0,Justin Devenny,Jefferson Lerma
740628,away,69',4105.0,Brian Brobbey,Simon Adingra
740628,home,84',4997.0,Christantus Uche,Yéremy Pino
740628,away,84',5027.0,Lutsharel Geertruida,Noah Sadiki
740628,away,90'+4',5400.0,Chris Rigg,Wilson Isidor
740629,home,65',3878.0,William Osula,Nick Woltemade
740629,home,65',3896.0,Joe Willock,Joelinton
740629,away,66',3909.0,Jhon Arias,Tolu Arokodare
740629,away,66',3912.0,Jean-Ricner Bellegarde,Yerson Mosquera
740629,away,66',3914.0,Marshall Munetsi,André
740629,away,77',4606.0,Jackson Tchatchoua,Rodrigo Gomes
740629,away,77',4610.0,Fer López,Hwang Hee-Chan
740629,home,80',4788.0,Anthony Elanga,Harvey Barnes
740629,home,90'+5',5400.0,Sven Botman,Jacob Murphy
740630,away,62',3684.0,Kobbie Mainoo,Noussair Mazraoui
740630,away,62',3695.0,Harry Maguire,Leny Yoro
740630,home,76',4555.0,Nico González,Rodri
740630,home,77',4570.0,Savinho,Jérémy Doku
740630,away,80',4785.0,Casemiro,Benjamin Sesko
740630,away,80',4786.0,Joshua Zirkzee,Manuel Ugarte
740630,home,87',5215.0,Oscar Bobb,Erling Haaland
740630,home,88',5233.0,Nathan Aké,Bernardo Silva
740631,home,60',3568.0,Emile Smith Rowe,Josh King
740631,home,60',3590.0,Adama Traoré,Harry Wilson
740631,away,68',4070.0,Jack Harrison,Noah Okafor
740631,away,69',4083.0,Lukas Nmecha,Dominic Calvert-Lewin
740631,home,76',4528.0,Kevin,Alex Iwobi
740631,away,77',4580.0,Daniel James,Brenden Aaronson
740631,home,84',4999.0,Raúl Jiménez,Rodrigo Muniz
740631,home,84',5006.0,Tom Cairney,Sander Berge
740631,away,89',5292.0,Wilfried Gnonto,Daniel James because of an injury
740632,away,45',2700.0,Evann Guessand,Youri Tielemans
740632,home,66',3935.0,Merlin Röhl,Tim Iroegbunam
740632,away,71',4213.0,Harvey Elliott,Emiliano Buendía
740632,home,75',4454.0,Thierno Barry,Beto
740632,away,83',4924.0,Donyell Malen,Ollie Watkins
740632,away,83',4929.0,Victor Lindelöf,Lamare Bogarde
740633,away,38',2260.0,Andy Robertson,Milos Kerkez
740633,away,45',2700.0,Conor Bradley,Alexis Mac Allister
740633,home,63',3724.0,Hannibal Mejbri,Loum Tchaouna
740633,home,63',3732.0,Florentino,Josh Cullen
740633,away,72',4274.0,Federico Chiesa,Hugo Ekitiké
740633,home,86',5132.0,Joe Worrall,Lyle Foster
740633,away,87',5200.0,Jeremie Frimpong,Ibrahima Konaté
740633,away,87',5202.0,Rio Ngumoha,Florian Wirtz
740633,home,89',5323.0,Armando Broja,Jaidon Anthony
740634,away,45',2700.0,Tyrique George,Facundo Buonanotte
740634,away,45',2700.0,Reece James,Wesley Fofana
740634,away,45',2700.0,Marc Cucurella,Jorrel Hato
740634,away,56',3321.0,Cole Palmer,Jamie Gittens
740634,home,72',4317.0,Rico Henry,Igor Thiago
740634,home,73',4344.0,Dango Ouattara,Mathias Jensen
740634,away,79',4729.0,Alejandro Garnacho,João Pedro
740634,home,83',4941.0,Kristoffer Ajer,Ethan Pinnock
740634,home,83',4956.0,Aaron Hickey,Michael Kayode
740634,home,90',5343.0,Fábio Carvalho,Keane Lewis-Potter
740635,away,3',179.0,Yasin Ayari,Jack Hinshelwood because of an injury
740635,away,24',1422.0,Ferdi Kadioglu,Maxim De Cuyper because of an injury
740635,away,66',3951.0,Carlos Baleba,James Milner
740635,away,67',3965.0,Stefanos Tzimas,Danny Welbeck
740635,away,67',3967.0,Brajan Gruda,Georginio Rutter
740635,home,67',3998.0,Justin Kluivert,Alex Scott
740635,home,67',4019.0,Amine Adli,David Brooks
740635,home,86',5152.0,Lewis Cook,Marcus Tavernier
740635,home,87',5164.0,Álex Jiménez,James Hill
740635,home,90'+2',5400.0,Julio Soler,Evanilson
740636,home,45',2700.0,Diego Gómez,Carlos Baleba
740636,away,61',3626.0,Xavi Simons,Rodrigo Bentancur
740636,home,63',3759.0,James Milner,Brajan Gruda
740636,away,72',4275.0,Brennan Johnson,Wilson Odobert
740636,home,75',4477.0,Danny Welbeck,Georginio Rutter
740636,home,75',4500.0,Diego Coppola,Yankuba Minteh
740636,home,85',5099.0,Mats Wieffer,Ferdi Kadioglu
740636,away,89',5297.0,Djed Spence,Pedro Porro
740636,away,89',5298.0,Archie Gray,Lucas Bergvall
740637,away,59',3528.0,Callum Hudson-Odoi,Dilane Bakwa
740637,away,75',4488.0,Igor Jesus,Chris Wood
740637,away,76',4502.0,Arnaud Kalimuendo,Douglas Luiz
740637,away,76',4510.0,Ibrahim Sangaré,Dan Ndoye
740637,home,81',4854.0,Hannibal Mejbri,Loum Tchaouna
740637,home,86',5150.0,Zian Flemming,Lyle Foster
