event_id,home_away,minute,minute_sec,player_in,player_out
401866261,home,45',2700.0,Farouck Adekami,
401866261,away,59',3540.0,Junya Ito,
401866261,home,69',4140.0,Youssef Hamdaoui,
401866261,home,70',4200.0,Marwan Al-Sahafi,
401866261,away,71',4260.0,Aaron Bibout,
401866261,away,84',5040.0,Ken Nkuba Tshiend,
401866261,away,84',5040.0,Nikolas Sattlberger,
401866261,away,85',5100.0,Yira Sor,
401866261,home,90'+1',5400.0,Boubakar Kiki Kouyate,
401866262,away,57',3420.0,Dante Vanzeir,
401866262,home,58',3480.0,Yannick Cappelle,
401866262,home,58',3480.0,Wilguens Paugain,
401866262,away,65',3900.0,Makaya Diaby,
401866262,away,65',3900.0,Ibrahim Diakité,
401866262,home,76',4560.0,Malick Mbaye,
401866262,away,83',4980.0,Steve Ngoura,
401866262,away,83',4980.0,Oluwaseun Adewumi,
401866262,home,86',5160.0,Benoit De Jaegere,
401866263,away,60',3600.0,Dennis Eckert,
401866263,away,61',3660.0,Bernard Nguene,
401866263,home,67',4020.0,Wouter George,
401866263,home,67',4020.0,Kyan Vaesen,
401866263,home,76',4560.0,Lukasz Lakomy,
401866263,home,77',4620.0,Mathieu Maertens,
401866263,away,81',4860.0,Ibrahim Karamoko,
401866263,away,81',4860.0,Mohamed El Hankouri,
401866263,home,86',5160.0,Abdoul Traoré,
401866263,away,87',5220.0,Nayel Mehssatou Sepúlveda,
401866264,away,68',4080.0,Oumar Diouf,
401866264,away,69',4140.0,Visar Musliu,
401866264,home,72',4320.0,Kevin Rodríguez,
401866264,away,79',4740.0,Ryan Merlen,
401866264,away,79',4740.0,Kaito Matsuzawa,
401866264,home,82',4920.0,Louis Patris,
401866264,home,82',4920.0,Mohammed Fuseini,
401866264,home,90'+3',5400.0,Ivan Pavlic,
401866265,home,62',3720.0,Dylan Ourega,
401866265,away,72',4320.0,Jakob Romsaas,
401866265,home,76',4560.0,Naoufal Bohamdi-Kamoni,
401866265,away,83',4980.0,Yassine Khalifi,
401866265,away,83',4980.0,Filip Szymczak,
401866265,home,83',4980.0,Serhiy Sydorchuk,
401866265,home,83',4980.0,Thomas Van Den Keybus,
401866265,home,84',5040.0,Fernand Gouré,
401866266,away,45',2700.0,Mario Stroeykens,
401866266,home,64',3840.0,Romeo Vermant,
401866266,away,71',4260.0,Joshua-Williame Nga Kana,
401866266,home,75',4500.0,Hugo Vetlesen,
401866266,away,82',4920.0,Coba da Costa,
401866266,home,87',5220.0,Bjorn Meijer,
401866266,home,87',5220.0,Hugo Siquet,
401866266,home,87',5220.0,Shandre Campbell,
401866266,away,88',5280.0,Yari Verschaeren,
401866267,home,45',2700.0,Owen Maes,
401866267,away,62',3720.0,Amine Daali,
401866267,away,62',3720.0,David Tosevski,
401866267,home,73',4380.0,Maxence Maisonneuve,
401866267,home,73',4380.0,Nachon Nsingi,
401866267,away,79',4740.0,Kobe Cools,
401866267,away,87',5220.0,Desmond Acquah,
401866268,away,45',2700.0,Bill Antonio,
401866268,home,67',4020.0,Bi Goore,
401866268,away,68',4080.0,Bouke Boersma,
401866268,home,71',4260.0,Atsuki Ito,
401866268,away,90',5400.0,Maksim Kireev,
401866268,home,90',5400.0,Jean-Kévin Duverne,
401866268,home,90',5400.0,Ibrahima Cisse,
401866269,away,62',3720.0,Daam Foulon,
401866269,home,68',4080.0,Yassine Khalifi,
401866269,away,71',4260.0,Youssef Hamdaoui,
401866269,away,71',4260.0,Boubakar Kiki Kouyate,
401866269,away,71',4260.0,Xander Dierckx,
401866269,home,71',4260.0,Antoine Colassin,
401866269,home,72',4320.0,Jakob Romsaas,
401866269,away,83',4980.0,Jeff Godelaine,
401866269,home,83',4980.0,Lewin Blum,
401866269,home,83',4980.0,Mehdi Boukamir,
401866270,away,45',2700.0,Bryan Soumaré,
401866270,away,64',3840.0,Samuel Gueulette,
401866270,away,64',3840.0,Cristian Makaté,
401866270,home,69',4140.0,Oumar Diakité,
401866270,home,69',4140.0,Oluwaseun Adewumi,
401866270,away,77',4620.0,Alexis Beka Beka,
401866270,away,77',4620.0,Nachon Nsingi,
401866270,home,83',4980.0,Lawrence Agyekum,
401866270,home,83',4980.0,Makaya Diaby,
401866270,home,90',5400.0,Charles Herrmann,
401866271,away,45',2700.0,Dylan Ourega,
401866271,home,71',4260.0,Timothé Nkada,
401866271,home,71',4260.0,Bernard Nguene,
401866271,away,73',4380.0,Thomas Van Den Keybus,
