event_id,home_away,minute,minute_sec,player_in,player_out
746730,home,56',3311.0,Jean-Luc Dompé,Alexander Røssing-Lelesiit
746730,home,56',3318.0,Yussuf Poulsen,Emir Sahiti
746730,away,59',3485.0,Pauli Hamburg. Manolis Saliakas,Arkadiusz Pyrka
746730,away,69',4123.0,Pauli Hamburg. Martijn Kaars,Andréas Hountondji
746730,home,75',4461.0,Otto Stange,Nicolás Capaldo
746730,home,75',4462.0,Rayan Philippe,Daniel Elfadli
746730,home,82',4872.0,William Mikelbrencis,Ransford Königsdörffer
746730,away,82',4896.0,Pauli Hamburg. Lars Ritzka,Adam Dzwigala
746730,away,82',4897.0,Pauli Hamburg. Connor Metcalfe,Mathias Pereira Lage
746721,home,15',882.0,FSV Mainz 05. Nelson Weiper,Benedict Hollerbach because of an injury
746721,home,65',3857.0,FSV Mainz 05. Silvan Widmer,Anthony Caci
746721,home,65',3867.0,FSV Mainz 05. Lennard Maloney,Nadiem Amiri
746721,home,65',3868.0,FSV Mainz 05. Stefan Bell,Andreas Hanche-Olsen
746721,away,67',4008.0,FC Köln. Cenk Özkacar,Jan Thielmann
746721,away,67',4014.0,FC Köln. Ragnar Ache,Kristoffer Lund
746721,away,68',4027.0,FC Köln. Said El Mala,Tom Krauß
746721,away,74',4428.0,FC Köln. Luca Waldschmidt,Sebastian Sebulonsen
746721,away,80',4760.0,FC Köln. Florian Kainz,Ísak Bergmann Jóhannesson
746721,home,90'+3',5400.0,FSV Mainz 05. Armindo Sieb,Dominik Kohr
746729,home,39',2294.0,Elvis Rexhbeçaj,Marius Wolf because of an injury
746729,home,64',3807.0,Anton Kade,Dimitris Giannoulis because of an injury
746729,home,64',3815.0,Phillip Tietz,Elias Saad
746729,away,71',4202.0,Sacha Boey,Konrad Laimer
746729,away,71',4215.0,Aleksandar Pavlovic,Leon Goretzka
746729,away,86',5138.0,Raphaël Guerreiro,Serge Gnabry
746729,home,90',5370.0,Noahkai Banks,Han-Noah Massengo
746719,home,61',3658.0,FC Heidenheim 1846. Omar Haktab Traoré,Jonas Föhrenbach because of an injury
746719,home,62',3661.0,FC Heidenheim 1846. Luca Kerber,Niklas Dorsch
746719,away,64',3820.0,Mohammed Amoura,Dzenan Pejcinovic
746719,away,64',3823.0,Mattias Svanberg,Lovro Majer
746719,home,71',4227.0,FC Heidenheim 1846. Mikkel Kaufmann,Budu Zivzivadze
746719,home,71',4234.0,FC Heidenheim 1846. Mathias Honsak,Arijon Ibrahimovic
746719,home,78',4665.0,FC Heidenheim 1846. Adrian Beck,Tim Siersleben
746719,away,89',5328.0,Yannick Gerhardt,Kilian Fischer
746719,away,89',5337.0,Václav Cerny,Andreas Skov Olsen
746731,away,57',3418.0,FC Heidenheim 1846. Budu Zivzivadze,Mikkel Kaufmann
746731,away,58',3424.0,FC Heidenheim 1846. Sirlord Conteh,Arijon Ibrahimovic
746731,away,58',3427.0,FC Heidenheim 1846. Julian Niehues,Niklas Dorsch
746731,home,67',3988.0,Nicolas Seiwald,Ezechiel Banzuzi
746731,home,67',3990.0,Yan Diomande,Johan Bakayoko
746731,away,68',4067.0,FC Heidenheim 1846. Adrian Beck,Luca Kerber
746731,away,77',4591.0,FC Heidenheim 1846. Omar Haktab Traoré,Mathias Honsak
746731,home,85',5063.0,Loïs Openda,Rômulo
746731,home,85',5064.0,Assan Ouédraogo,Christoph Baumgartner
746731,home,90'+1',5400.0,Kosta Nedeljkovic,Ridle Baku
746725,away,45',2700.0,Julian Brandt,Karim Adeyemi
746725,away,45',2700.0,Felix Nmecha,Jobe Bellingham
746725,home,68',4050.0,Pauli Hamburg. Abdoulie Ceesay,Andréas Hountondji
746725,home,77',4574.0,Pauli Hamburg. Manolis Saliakas,Arkadiusz Pyrka because of an injury
746725,home,77',4582.0,Pauli Hamburg. Connor Metcalfe,Adam Dzwigala
746725,away,87',5194.0,Salih Özcan,Pascal Groß
746725,home,87',5196.0,Pauli Hamburg. Oladapo Afolayan,James Sands
746718,away,45',2700.0,Antonio Nusa,Yan Diomande
746718,away,45',2700.0,Rômulo,Loïs Openda
746718,home,68',4058.0,Aleksandar Pavlovic,Leon Goretzka
746718,home,68',4068.0,Min-Jae Kim,Jonathan Tah
