event_id,home_away,minute,minute_sec,player_in,player_out
401873225,away,32',1865.0,Brynjólfur Willumsson,Thom van Bergen because of an injury
401873225,home,62',3674.0,Youri Regeer,Sean Steur because of an injury
401873225,away,67',3962.0,Ryan Metu,Travis Hernes
401873225,away,67',3970.0,Wouter Prins,Marvin Peersman
401873225,away,67',3975.0,Mats Seuntjens,David van der Werff
401873225,home,71',4225.0,Maher Carrizo,Steven Berghuis
401873225,home,71',4230.0,Kasper Dolberg,Wout Weghorst
401873225,away,77',4571.0,Rui Mendes,Tygo Land
401873225,home,84',5016.0,Takehiro Tomiyasu,Davy Klaassen because of an injury
401873226,home,45',2669.0,Siebe Horemans,Alonzo Engwanda because of an injury
401873226,home,65',3859.0,Sébastien Haller,Artem Stepanov
401873226,away,69',4082.0,Lasse Nordås,Luca Oyen
401873226,away,78',4621.0,Luuk Brouwers,Marcus Linday
401873226,home,80',4746.0,Nick Viergever,Mike Eerdhuijzen
401873226,home,80',4752.0,Adrian Blake,Jesper Karlsson
401873227,home,54',3207.0,Sean Steur,Jorthy Mokio because of an injury
401873227,away,60',3585.0,Sébastien Haller,Artem Stepanov
401873227,away,61',3610.0,Nick Viergever,Mike Eerdhuijzen
401873227,away,70',4199.0,Adrian Blake,Jesper Karlsson
401873227,away,73',4367.0,Rafik El Arguioui,Siebe Horemans because of an injury
401873227,home,78',4671.0,Wout Weghorst,Kasper Dolberg
401873227,home,78',4672.0,Maher Carrizo,Steven Berghuis
401873227,home,85',5090.0,Ko Itakura,Youri Regeer
401873227,home,95',5688.0,Takehiro Tomiyasu,Youri Baas
401873227,away,98',5865.0,Ángel Alarcón,Yoann Cathline
740976,away,45',2700.0,Oscar Pettersson,Richonell Margaret
740976,away,57',3388.0,Yassir Rahmouni,Mathis Suray
740976,away,69',4125.0,Julius Dirksen,Oscar Pettersson
740976,away,69',4137.0,Melle Meulensteen,Victor Edvardsen
740976,home,77',4563.0,Makan Aiko,Kristoffer Peterson
740976,home,77',4577.0,Luka Tunjic,Ivo Pinto
740976,home,77',4579.0,Iván Márquez,Shawn Adewoye
740976,away,86',5153.0,Finn Stokkers,Evert Linthorst
740976,home,90'+1',5400.0,Tristan Schenkhuizen,Édouard Michut
740977,away,30',1775.0,Tijmen Holla,Stijn van Gassel because of an injury
740977,away,58',3432.0,Yoon Do-Young,Derensili Sanches Fernandes
740977,away,71',4202.0,Rick Meissen,Stijn Middendorp
740977,away,71',4215.0,Zach Booth,Noah Naujoks
740977,away,71',4216.0,Jerolldino Bergraaf,Mike van Duinen
740977,home,71',4246.0,E.C.. Virgil Misidjan,Basar Önal
740977,home,71',4247.0,E.C.. Rober,Bryan Linssen
740977,home,77',4610.0,E.C.. Sam de Laat,Philippe Sandler
740977,home,77',4617.0,E.C.. Youssef El Kachati,Koki Ogawa
740977,home,83',4977.0,E.C.. Vito van Crooij,Tjaronn Chery
740978,home,63',3723.0,Quinten Timber,Luciano Valente
740978,home,63',3736.0,Bart Nieuwkoop,Givairo Read
740978,home,63',3737.0,Jordan Bos,Jordan Lotomba
740978,away,70',4182.0,Pepijn Reulen,Cherrion Valerius
740978,away,70',4184.0,Raul Paula,Sydney van Hooijdonk
740978,home,74',4397.0,Leo Sauer,Gaoussou Diarra
740978,away,80',4790.0,Clint Leemans,Mohamed Nassoh
740978,home,82',4885.0,Casper Tengstedt,Ayase Ueda
740978,away,86',5132.0,Dion Versluis,Kamal Sowah
740979,home,53',3170.0,Marcus Linday,Levi Smans because of an injury
740979,away,59',3527.0,Nordin Bukala,Alex Plat
740979,home,72',4282.0,Eser Gürbüz,Maxence Rivera
740979,away,72',4305.0,Brandley Kuwas,Ozan Kökçü
740979,away,72',4318.0,Milan de Haan,Gibson Yah
740979,home,83',4933.0,Václav Sejk,Dylan Vente
740979,away,83',4977.0,Aaron Meijers,Robert Mühren
740979,away,84',5001.0,Robin van Cruijsen,Aurelio Oehlers
740980,home,67',3962.0,Guus Til,Ismael Saibari
740980,home,73',4338.0,Esmir Bajraktarevic,Ivan Perisic
740980,home,73',4352.0,Couhaib Driouech,Ruben van Bommel
740980,away,78',4670.0,Teo Quintero,Bruno Martins Indi
740980,away,78',4675.0,Ayoub Oufkir,Sayfallah Ltaief
740980,home,82',4885.0,Tygo Land,Jerdy Schouten
740980,home,82',4896.0,Kiliann Sildillia,Sergiño Dest
740980,away,83',4965.0,Nökkvi Thórisson,Shunsuke Mito
740981,away,45',2700.0,Kristian Hlynsson,Thomas van den Belt
740981,away,45',2700.0,Max Bruns,Stav Lemkin
740981,away,62',3662.0,Naci Ünüvar,Mitchell van Bergen
740981,away,62',3675.0,Daan Rots,Arno Verschueren
740981,home,68',4046.0,Eliano Reijnders,Dylan Mbayo
740981,away,75',4460.0,Lucas Vennegoor of Hesselink,Ramiz Zerrouki
740981,home,78',4661.0,Nick Fichtinger,Jamiro Monteiro
740981,home,78',4674.0,Damian van der Haar,Sherel Floranus
740981,home,85',5080.0,Gabriel Reiziger,Thijs Oosting
740981,home,85',5085.0,Thomas Buitink,Kaj de Rooij
740982,away,45',2700.0,Jorg Schreuders,David van der Werff
740982,away,66',3932.0,Tyrique Mercera,Wouter Prins
740982,home,68',4065.0,Isak Jensen,Ro-Zangelo Daal
740982,away,74',4429.0,Noam Emeran,Marco Rente because of an injury
740982,home,76',4546.0,Peer Koopmeiners,Kees Smit
740982,home,77',4564.0,Mexx Meerdink,Ernest Poku
740982,home,77',4570.0,Mateo Chávez,Mees de Wit because of an injury
740982,home,85',5041.0,Ibrahim Sadiq,Sven Mijnans
740983,home,62',3695.0,Anton Gaaei,Youri Regeer because of an injury
740983,home,63',3728.0,Oscar Gloukh,Bertrand Traoré
740983,home,63',3729.0,Mika Godts,Raúl Moro
