event_id,home_away,minute,minute_sec,player_in,player_out
748144,home,67',4014.0,Arnaut Danjuma,Hugo Duro
748144,home,68',4028.0,André Almeida,Dani Raba
748144,away,68',4067.0,Orri Óskarsson,Brais Méndez
748144,away,68',4070.0,Aritz Elustondo,Duje Caleta-Car
748144,home,80',4745.0,Jesús Vázquez,José Gayà because of an injury
748144,home,80',4751.0,Baptiste Santamaría,Pepelu
748144,away,80',4766.0,Sergio Gómez,Aihen Muñoz
748144,away,80',4767.0,Gonçalo Guedes,Takefusa Kubo
748144,away,80',4768.0,Urko González de Zárate,Beñat Turrientes
748144,home,87',5203.0,Filip Ugrinic,Javi Guerra
748145,away,66',3910.0,Víctor Muñoz,Rubén García
748145,home,68',4056.0,Dani Carvajal,Trent Alexander-Arnold
748145,home,68',4069.0,Franco Mastantuono,Brahim Díaz
748145,away,77',4616.0,Moi Gómez,Aimar Oroz
748145,home,78',4648.0,Gonzalo García,Vinícius Júnior
748145,away,85',5054.0,Raúl García,Juan Cruz
748145,home,90',5385.0,Dani Ceballos,Arda Güler
748146,home,45',2700.0,Kike García,Ramon Terrats
748146,home,45',2700.0,Tyrhys Dolan,Jofre Carreras
748146,away,45',2700.0,Pablo Barrios,Johnny Cardoso
748146,away,45',2700.0,Koke,Conor Gallagher
748146,home,66',3907.0,Miguel Rubio,Fernando Calero
748146,away,68',4054.0,Antoine Griezmann,Álex Baena
748146,away,68',4068.0,Giacomo Raspadori,Thiago Almada
748146,home,74',4394.0,Pere Milla,Roberto Fernández
748146,away,82',4873.0,Alexander Sørloth,Julián Alvarez
748146,home,88',5237.0,José Salinas,Javi Puado
748147,home,65',3858.0,Mourad El Ghezouani,Álvaro Rodríguez
748147,home,65',3862.0,Jairo Izquierdo,Marc Aguado
748147,home,65',3880.0,Martim Neto,Ali Houary
748147,away,70',4179.0,Chimy Ávila,Rodrigo Riquelme
748147,away,71',4201.0,Pablo García,Aitor Ruibal
748147,home,73',4369.0,Rafa Mir,Léo Pétrot
748147,home,82',4893.0,John Donald,Germán Valera
748147,away,84',4984.0,Cédric Bakambu,Cucho Hernández
748148,home,57',3362.0,Hugo Sotelo,Fran Beltrán because of an injury
748148,home,57',3365.0,Bryan Zaragoza,Mihailo Ristic
748148,home,57',3370.0,Jones El Abdellaoui,Williot Swedberg
748148,home,67',3966.0,Borja Iglesias,Ferran Jutglà
748148,away,78',4655.0,Alex Sola,Adrián Liso
748148,home,82',4889.0,Pablo Durán,Yoel Lago
748149,away,45',2700.0,Chidera Ejuke,Stanis Idumbo
748149,home,67',3971.0,Gorka Guruzeta,Maroan Sannadi
748149,home,67',3974.0,Robert Navarro,Alex Berenguer
748149,away,71',4224.0,Adnan Januzaj,Andrés Castrín
748149,home,78',4622.0,Mikel Vesga,Íñigo Ruíz de Galarreta
748149,away,82',4889.0,Marcão,Nemanja Gudelj
748149,home,83',4948.0,Alejandro Rego,Nico Williams
748149,home,83',4967.0,Andoni Gorosabel,Jesús Areso
748149,away,87',5207.0,Isaac Romero,Djibril Sow
748150,away,54',3205.0,José Luis Morales,Víctor García
748150,home,77',4589.0,Mariano Díaz,Pablo Ibáñez
748150,home,77',4592.0,Abde Rebbach,Jon Guridi
748150,away,79',4687.0,Diego Pampín,Manu Sánchez
748150,away,79',4691.0,Sergio Lozano,Iván Romero
748150,away,85',5095.0,Matías Moreno,Pablo Martínez
748150,away,86',5105.0,Carlos Álvarez,Roger Brugué
748150,home,86',5152.0,Calebe,Carlos Vicente
748150,home,90'+1',5400.0,Youssef Enríquez,Victor Parada
748150,home,90'+1',5400.0,Ander Guevara,Carles Aleñá
748151,away,45',2700.0,Marco Esteban,Haissem Hassan
748151,home,47',2818.0,Tajon Buchanan,Gerard Moreno because of an injury
748151,away,63',3758.0,Federico Viñas,Salomón Rondón
