event_id,home_away,minute,minute_sec,player_in,player_out
750246,away,53',3138.0,Ricardo Mangas,Maximiliano Araújo because of an injury
750246,home,57',3390.0,Renato Nhaga,Rafael Brito
750246,home,57',3391.0,André Geraldes,João Goulart
750246,away,58',3421.0,Geovany Quenda,Geny Catamo
750246,away,58',3423.0,Zeno Debast,Ousmane Diomande because of an injury
750246,home,71',4245.0,Korede Osundina,Kelian Nsona because of an injury
750246,home,82',4881.0,Miguel Sousa,Fahem Benaïssa-Yahia
750246,home,82',4894.0,Max Svensson,Gaizka Larrazabal
750246,away,84',5029.0,Conrad Harder,Pote
750246,away,85',5041.0,Giorgi Kochorashvili,Hidemasa Morita
750247,home,55',3269.0,Ricardo Horta,Pau Víctor
750247,home,55',3271.0,Gustaf Lagerbielke,Paulo Oliveira
750247,away,63',3752.0,Xabi Huarte,Yarlen
750247,away,63',3765.0,Afonso Rodrigues,Hélder Tavares because of an injury
750247,home,69',4083.0,Víctor Gómez,Jean-Baptiste Gorby
750247,home,69',4092.0,Sandro Vidigal,Ismaël Gharbi
750247,away,72',4308.0,Juanse,Miro
750247,away,72',4310.0,Yefrei Rodriguez,Cícero
750247,home,84',5005.0,Mario Dorgeles,Roger Fernandes
750247,away,84',5015.0,Sie Ouattara,Pedro Maranhão
750248,away,58',3434.0,André Luiz,Dario Spikic
750248,away,58',3439.0,Clayton,Marc Gual
750248,home,65',3878.0,Dodi Lukébakio,Franjo Ivanovic
750248,home,65',3879.0,Andreas Schjelderup,Samuel Dahl
750248,away,68',4051.0,Nikolaos Athanasiou,Olé Pohlmann
750248,away,73',4365.0,Tamás Nikitscher,Marios Vrousai
750248,away,73',4373.0,Georgios Liavas,Omar Richards
750248,home,89',5301.0,Leandro Barreiro,Heorhii Sudakov
750248,home,90'+2',5400.0,Henrique Araújo,Richard Ríos
750249,away,45',2700.0,Zé Carlos II,Mohamed Bamba
750249,away,45',2700.0,Zé Carlos I,Hevertton Santos
750249,away,64',3827.0,Santi García,Facundo Cáseres
750249,home,65',3879.0,Joel Silva,Filipe Soares
750249,away,73',4340.0,Rodrigo Rodrigues,Martín Fernández because of an injury
750249,home,73',4368.0,Lenny Vallier,Liziero
750249,home,73',4378.0,André Sousa,José Gomes
750249,away,82',4878.0,Gustavo Varela,Sergio Bermejo
750250,home,45',2700.0,Amadou Dante,Arnau Solà
750250,away,57',3409.0,Guilherme Neiva,Jordi Escobar
750250,away,57',3415.0,Nenê,Ángel Algobia
750250,away,67',3967.0,Tiago Galletto,Pedro Lima
750250,home,71',4210.0,Miguel Puche,Naïs Djouahra
750250,home,71',4224.0,David Simão,Taichi Fukui
750250,home,78',4627.0,Mateo Flores,Pedro Santos
750250,away,81',4834.0,Diego Duarte,Rafael Barbosa
750250,away,81',4836.0,Gustavo Mendonça,Edson Mucuana
750250,home,87',5168.0,Brian Mansilla,Lee Hyun-Ju
750251,away,45',2700.0,Abraham Marcus,Robinho because of an injury
750251,home,45',2700.0,Patrick de Paula,Nodar Lominadze
750251,away,58',3452.0,Kikas,Gastão
750251,away,58',3464.0,Guilherme Montóia,Nilton Varela
750251,home,64',3782.0,André Lacximicant,Yanis Begraoui
750251,home,64',3786.0,Pizzi,Rafik Guitane
750251,away,74',4392.0,Rodrigo Pinho,Guilherme Montóia because of an injury
750251,away,74',4395.0,Ianis Stoica,Alan Godoy
750251,home,79',4685.0,Alejandro Marqués,Jordan Holsgrove
750251,home,84',4988.0,Fabrício Garcia,Pedro Carvalho
750251,home,88',5247.0,Tiago Brito,João Carvalho
750251,away,90',5399.0,João Resende,Jovane Cabral because of an injury
750252,home,55',3265.0,Zaidu Sanusi,Martim Fernandes because of an injury
750252,away,56',3343.0,Telmo Arcanjo,Oumar Camara
750252,away,56',3344.0,Nélson Oliveira,Nuno Santos
750252,home,65',3885.0,Dominik Prpic,Jan Bednarek because of an injury
750252,home,65',3899.0,Stephen Eustaquio,Gabri Veiga
