event_id,home_away,minute,minute_sec,player_in,player_out
746418,home,59',3511.0,Hong Hyun-Seok,Herba Guirassy
746418,home,59',3512.0,Matthis Abline,Yassine Benhattab because of an injury
746418,away,61',3629.0,Nuno Mendes,Lucas Hernández
746418,away,61',3641.0,Achraf Hakimi,Fabián Ruiz
746418,away,61',3647.0,Ousmane Dembélé,Ibrahim Mbaye
746418,away,61',3653.0,Désiré Doué,Lee Kang-In
746418,away,78',4660.0,Khvicha Kvaratskhelia,Gonçalo Ramos
746418,home,79',4689.0,Francis Coquelin,Kwon Hyeok-Kyu
746418,home,79',4694.0,Amady Camara,Mostafa Mohamed
746418,home,86',5135.0,Dehmaine Tabibou,Louis Leroux
746423,away,16',912.0,Mahamadou Nagida,Mohamed Meïté
746423,home,45',2700.0,Abdoulaye Faye,Formose Mendy
746423,home,56',3324.0,Pablo Pagis,Dermane Karim
746423,home,56',3341.0,Mohamed Bamba,Sambou Soumano
746423,away,63',3728.0,Djaoui Cissé,Fabian Rieder
746423,away,63',3738.0,Ibrahim Salah,Ludovic Blas
746423,home,66',3926.0,Théo Le Bris,Aiyegun Tosin
746423,away,73',4343.0,Alidu Seidu,Mahamadou Nagida
746423,home,73',4378.0,Darlin Yongwa,Arsène Kouassi
746427,away,45',2700.0,Pierrick Capelle,Marius Courcoul
746427,away,62',3713.0,Jim Allevinah,Sidiki Cherif
746427,home,67',3961.0,Warren Zaïre-Emery,João Neves
746427,home,67',3971.0,Gonçalo Ramos,Bradley Barcola
746427,away,76',4547.0,Florent Hanin,Jacques Ekomié
746427,home,77',4570.0,Ibrahim Mbaye,Désiré Doué
746427,away,77',4588.0,Emmanuel Biumla,Lilian Raolisoa
746427,home,81',4816.0,Lee Kang-In,Ousmane Dembélé
746427,away,87',5185.0,Lanroy Machine,Yassin Belkhdim
746416,away,55',3244.0,Dilane Bakwa,Abdoul Ouattara
746416,home,59',3528.0,Idrissa Gueye,Brian Madjo
746416,away,72',4269.0,Sebastian Nanasi,Samir El Mourabet
746416,home,73',4328.0,Alpha Touré,Jessy Deminguet because of an injury
746416,home,73',4350.0,Ibou Sané,Cheikh Sabaly
746416,away,80',4772.0,Kendry Páez,Sam Amo-Ameyaw
746416,home,84',4997.0,Maxime Colin,Koffi Kouao
746416,home,84',5006.0,Joseph Nduquidi,Boubacar Traoré
746413,away,65',3870.0,Sambou Soumano,Mohamed Bamba
746413,away,65',3900.0,Panos Katseris,Joel Mvuka
746413,away,66',3901.0,Dermane Karim,Pablo Pagis
746413,away,75',4465.0,Darlin Yongwa,Arsène Kouassi
746413,home,82',4868.0,Rudy Matondo,Ibrahim Osman
746413,home,82',4884.0,Lasso Coulibaly,Josué Casimir
746413,home,88',5271.0,Theo Bair,Lassine Sinayoko
746413,home,90',5382.0,Fredrik Oppegård,Gideon Mensah
746424,away,41',2434.0,Alpha Touré,Michel Mboula because of an injury
746424,away,62',3705.0,Ibou Sané,Giorgi Tsitaishvili
746424,away,62',3714.0,Morgan Bokele,Giorgi Abuashvili
746424,home,74',4403.0,Nicolás Tagliafico,Abner Vinícius
746424,home,74',4430.0,Adam Karabec,Pavel Sulc
746424,home,75',4466.0,Khalis Merah,Corentin Tolisso
746424,away,80',4762.0,Idrissa Gueye,Brian Madjo
746424,home,86',5116.0,Afonso Moreira,Malick Fofana
746424,home,86',5117.0,Ruben Kluivert,Clinton Mata
746415,home,57',3406.0,Florian Thauvin,Rayan Fofana
746415,away,66',3945.0,Khalis Merah,Saël Kumbedi
746415,home,76',4509.0,Anthony Bermont,Deiver Machado
746415,home,85',5100.0,Saud Abdulhamid,Ruben Aguilar
746415,home,86',5108.0,Florian Sotoca,Wesley Saïd
746415,away,90'+2',5400.0,Adam Karabec,Georges Mikautadze
746415,away,90'+2',5400.0,Pavel Sulc,Malick Fofana
746420,home,37',2210.0,Christopher Wooh,Mohamed Meïté
746420,away,45',2700.0,Timothy Weah,Geoffrey Kondogbia
