event_id,home_away,minute,minute_sec,player_in,player_out
736798,away,45',2700.0,Eddy Kouadio,Pietro Comuzzo
736798,away,45',2700.0,Nicolò Fagioli,Simon Sohm
736798,home,62',3708.0,Ché Adams,Giovanni Simeone
736798,away,66',3929.0,Cher Ndour,Rolando Mandragora
736798,home,76',4505.0,Gvidas Gineitis,Ivan Ilic
736798,home,76',4518.0,Valentino Lazaro,Cristiano Biraghi
736798,away,77',4595.0,Edin Dzeko,Roberto Piccoli
736798,home,81',4811.0,Adrien Tamèze,Kristjan Asllani
736798,home,81',4829.0,Zakaria Aboukhlal,Cyril Ngonge
736798,away,83',4939.0,Jacopo Fazzini,Albert Gudmundsson
736791,away,57',3419.0,Zakaria Aboukhlal,Nikola Vlasic
736791,away,58',3426.0,Adrien Tamèze,Emirhan Ilkhan
736791,away,64',3818.0,Ché Adams,Giovanni Simeone
736791,home,66',3955.0,Carlos Augusto,Federico Dimarco
736791,home,67',3977.0,Ange-Yoan Bonny,Marcus Thuram
736791,home,79',4690.0,Piotr Zielinski,Henrikh Mkhitaryan
736791,home,79',4695.0,Andy Diouf,Lautaro Martínez
736791,away,79',4738.0,Tino Anjorin,Valentino Lazaro
736791,away,80',4743.0,Marcus Pedersen,Cyril Ngonge
736791,home,86',5121.0,Luis Henrique,Alessandro Bastoni
736786,home,61',3648.0,Oier Zarraga,Sandi Lovric
736786,home,61',3651.0,Vakoun Bayo,Iker Bravo
736786,away,66',3903.0,Abdou Harroui,Cheikh Niasse
736786,away,66',3911.0,Daniel Mosquera,Amin Sarr
736786,away,72',4271.0,Rafik Belghali,Domagoj Bradaric
736786,home,74',4425.0,Jakub Piotrowski,Keinan Davis
736786,home,79',4698.0,Hassane Kamara,Jordan Zemura
736786,away,82',4878.0,Daniel Oyegoke,Fallou Cham
736786,away,82',4902.0,Enzo Ebosse,Suat Serdar because of an injury
736793,home,45',2700.0,Álex Jiménez,Pervis Estupiñán
736793,away,56',3359.0,Warren Bondo,Alberto Grassi
736793,away,56',3360.0,Martín Payero,Jari Vandeputte
736793,home,65',3865.0,Samuel Chukwueze,Fikayo Tomori
736793,away,65',3867.0,Antonio Sanabria,David Okereke
736793,home,74',4398.0,Ardon Jashari,Luka Modric
736793,away,83',4980.0,Federico Ceccherini,Matteo Bianchetti because of an injury
736793,away,84',4985.0,Manuel De Luca,Federico Bonazzoli
736796,home,56',3324.0,Gaetano Oristanio,Pontus Almqvist
736796,away,64',3828.0,Nikola Krstovic,Gianluca Scamacca
736796,away,64',3840.0,Kamaldeen Sulemana,Daniel Maldini
736796,away,65',3860.0,Davide Zappacosta,Nicola Zalewski
736796,home,81',4807.0,Patrick Cutrone,Oliver Sørensen
736796,home,81',4811.0,Christian Ordóñez,Mandela Keita
736796,away,88',5247.0,Marco Brescianini,Giorgio Scalvini
736796,home,90'+2',5400.0,Nahuel Estévez,Adrián Bernabé
736789,away,60',3599.0,Pedro,Matteo Cancellieri
736789,away,61',3605.0,Adam Marusic,Manuel Lazzari
736789,away,65',3900.0,Nicolò Rovella,Danilo Cataldi
736789,away,66',3904.0,Luca Pellegrini,Nuno Tavares
736789,home,70',4171.0,Álvaro Morata,Tasos Douvikas
736789,home,70',4174.0,Ivan Smolcic,Ignace Van der Brempt
736789,away,75',4493.0,Boulaye Dia,Fisayo Dele-Bashiru
736789,home,78',4651.0,Maxence Caqueret,Máximo Perrone because of an injury
736789,home,78',4655.0,Sergi Roberto,Nico Paz
736789,home,90'+2',5400.0,Nicolas Kühn,Jesús Rodríguez
736787,away,54',3222.0,M'Bala Nzola,Henrik Meister
736787,away,61',3633.0,Juan Cuadrado,Mattéo Tramoni
736787,away,62',3665.0,Ebenezer Akinsanmiro,Stefano Moreo
736787,home,71',4234.0,Éderson,Mario Pasalic
736787,home,71',4253.0,Kamaldeen Sulemana,Daniel Maldini
736787,home,72',4282.0,Nikola Krstovic,Gianluca Scamacca
736787,away,78',4642.0,Arturo Calabresi,Daniel Denoon because of an injury
736787,away,78',4652.0,Gabriele Piccinini,Marius Marin
736787,home,84',5005.0,Lazar Samardzic,Charles De Ketelaere
736787,home,88',5256.0,Odilon Kossounou,Giorgio Scalvini
736797,away,58',3421.0,Zito Luvumbo,Gabriele Zappa
736797,away,65',3898.0,Gianluca Gaetano,Matteo Prati
736797,away,66',3917.0,Gennaro Borrelli,Sebastiano Esposito
736797,home,68',4080.0,Alessandro Buongiorno,Juan Jesus
736797,home,75',4498.0,Giuseppe Ambrosino,Lorenzo Lucca
736797,home,81',4802.0,Mathías Olivera,Leonardo Spinazzola
736797,home,81',4808.0,Noa Lang,Kevin De Bruyne
736797,away,83',4964.0,Alessandro Di Pardo,Marco Palestra
736797,away,83',4978.0,Riyad Idrissi,Michael Folorunsho
736784,home,73',4321.0,Alieu Fadera,Luca Lipani
736784,away,76',4504.0,David Neres,Matteo Politano
736784,home,81',4838.0,Andrea Ghion,Armand Laurienté
736784,home,81',4840.0,Fali Candé,Josh Doig
736784,away,82',4870.0,Billy Gilmour,Stanislav Lobotka
736784,away,82',4875.0,Noa Lang,Lorenzo Lucca
736784,away,89',5338.0,Leonardo Spinazzola,Mathías Olivera
736784,away,89',5339.0,Antonio Vergara,Scott McTominay
736784,home,90',5356.0,Luca Moro,Andrea Pinamonti
736784,home,90',5383.0,Nicholas Pierini,Domenico Berardi
736794,away,27',1617.0,Ivan Smolcic,Ignace Van der Brempt because of an injury
736794,home,45',2700.0,Jhon Lucumí,Martin Vitík
736794,away,45',2700.0,Sergi Roberto,Máximo Perrone
736794,away,57',3390.0,Nicolas Kühn,Mërgim Vojvoda
736794,away,57',3400.0,Álvaro Morata,Tasos Douvikas
736794,home,65',3860.0,Tommaso Pobega,Nikola Moro
736794,home,65',3871.0,Jens Odgaard,Giovanni Fabbian
736794,home,73',4377.0,Thijs Dallinga,Santiago Castro
736794,away,81',4802.0,Martin Baturina,Lucas da Cunha
736794,home,82',4899.0,Juan Miranda,Charalampos Lykogiannis
736785,away,30',1786.0,Santiago Castro,Ciro Immobile because of an injury
736785,away,45',2700.0,Martin Vitík,Nicolò Casale because of an injury
736785,home,60',3600.0,Neil El Aynaoui,Stephan El Shaarawy
736785,away,72',4285.0,Giovanni Fabbian,Jens Odgaard
736785,away,72',4288.0,Nadir Zortea,Lorenzo De Silvestri
736785,home,74',4406.0,Artem Dovbyk,Evan Ferguson
736785,home,74',4407.0,Paulo Dybala,Matías Soulé
736785,away,80',4764.0,Federico Bernardeschi,Remo Freuler
736785,home,83',4947.0,Devyne Rensch,Angeliño
736792,away,57',3361.0,Oliver Sørensen,Christian Ordóñez
736792,home,57',3400.0,Teun Koopmeiners,Manuel Locatelli
736792,home,57',3401.0,João Mário,Federico Gatti
736792,away,80',4779.0,Adrian Benedyczak,Pontus Almqvist
736792,home,80',4780.0,Nico González,Francisco Conceição
736792,home,80',4788.0,Dusan Vlahovic,Jonathan David
736792,away,88',5275.0,Milan Djuric,Mandela Keita
736792,away,88',5276.0,Nahuel Estévez,Mathias Løvik
736792,home,89',5289.0,Weston McKennie,Kenan Yildiz
736795,away,45',2700.0,Paulo Dybala,Stephan El Shaarawy because of an injury
