event_id,home_away,minute,minute_sec,player_in,player_out
757653,away,65',3866.0,Leandro Trossard,Viktor Gyökeres
757653,away,71',4235.0,Gabriel Martinelli,Eberechi Eze
757653,away,90'+1',5400.0,Christian Nørgaard,Noni Madueke
757653,away,90'+1',5400.0,Piero Hincapié,Riccardo Calafiori
757658,home,69',4102.0,João Palhinha,Pape Matar Sarr
757658,home,69',4112.0,Destiny Udogie,Djed Spence
757658,home,77',4575.0,Brennan Johnson,Xavi Simons
757658,home,77',4589.0,Randal Kolo Muani,Richarlison
757658,home,90'+2',5400.0,Kevin Danso,Lucas Bergvall
757663,away,68',4056.0,Alejandro Garnacho,Pedro Neto
757663,away,68',4064.0,Andrey Santos,Reece James
757663,away,81',4847.0,Estêvão,Enzo Fernández
757662,home,58',3443.0,Conor Bradley,Jeremie Frimpong
757662,home,58',3448.0,Hugo Ekitiké,Alexander Isak
757662,home,58',3451.0,Alexis Mac Allister,Cody Gakpo
757662,home,74',4439.0,Rio Ngumoha,Florian Wirtz
757662,home,86',5157.0,Milos Kerkez,Andy Robertson
757667,home,60',3581.0,Nico González,Rodri
757667,home,69',4129.0,Savinho,Jérémy Doku
757667,home,80',4782.0,Rico Lewis,Tijjani Reijnders
757667,home,80',4787.0,Nathan Aké,Josko Gvardiol
757667,home,80',4795.0,Oscar Bobb,Erling Haaland
757669,home,62',3708.0,Nick Woltemade,Harvey Barnes
757669,home,62',3715.0,Joe Willock,Joelinton
757669,home,63',3725.0,Malick Thiaw,Fabian Schär because of an injury
757669,home,63',3734.0,Jacob Murphy,Anthony Elanga
757669,home,76',4527.0,Sven Botman,Kieran Trippier because of an injury
757674,away,60',3570.0,Xavi Simons,Brennan Johnson
757674,away,60',3580.0,Mohammed Kudus,Lucas Bergvall
757674,away,69',4110.0,João Palhinha,Pape Matar Sarr
757674,away,82',4868.0,Destiny Udogie,Djed Spence
757674,away,82',4869.0,Archie Gray,Rodrigo Bentancur
757675,home,54',3210.0,Estêvão,Facundo Buonanotte
757675,home,61',3628.0,João Pedro,Tyrique George
757675,home,61',3651.0,Jamie Gittens,Alejandro Garnacho
757675,home,81',4805.0,Reece James,Malo Gusto
757675,home,81',4830.0,Josh Acheampong,Benoît Badiashile
757676,away,56',3307.0,Giorgi Mamardashvili,Alisson Becker because of an injury
757676,away,62',3687.0,Mohamed Salah,Cody Gakpo
757676,away,62',3696.0,Alexander Isak,Ryan Gravenberch
757676,away,62',3698.0,Conor Bradley,Jeremie Frimpong
757676,away,68',4077.0,Alexis Mac Allister,Hugo Ekitiké because of an injury
757681,away,59',3511.0,Lewis Miley,Joelinton
757681,away,73',4334.0,William Osula,Nick Woltemade
757681,away,73',4360.0,Lewis Hall,Bruno Guimarães
757681,away,73',4372.0,Harvey Barnes,Anthony Elanga
757681,away,83',4973.0,Fabian Schär,Kieran Trippier
757688,home,58',3435.0,Declan Rice,Mikel Merino
757688,home,58',3440.0,Jurriën Timber,Ben White
757688,home,73',4349.0,Eberechi Eze,Gabriel Martinelli
757688,home,73',4360.0,Bukayo Saka,Leandro Trossard
