event_id,home_away,minute,minute_sec,player_in,player_out
757654,away,67',3966.0,Marc Giger,Promise David because of an injury
757654,away,75',4445.0,Kamiel Van de Perre,Anouar Ait El Hadj
757654,away,88',5270.0,Rob Schoofs,Kevin Rodríguez
757665,home,19',1091.0,Nordin Jackers,Simon Mignolet because of an injury
757665,home,61',3614.0,Joaquin Seys,Bjorn Meijer
757665,home,61',3622.0,Mamadou Diakhon,Carlos Forbs
757665,home,81',4814.0,Jorne Spileers,Joel Ordóñez
757665,home,81',4828.0,Lynnt Audoor,Raphael Onyedika
757672,away,63',3778.0,Romeo Vermant,Nicolò Tresoldi
757672,away,75',4450.0,Hugo Vetlesen,Carlos Forbs
757672,away,88',5270.0,Shandre Campbell,Cisse Sandra
757672,away,88',5275.0,Bjorn Meijer,Kyriani Sabbe
757672,away,89',5292.0,Zaid Romero,Joel Ordóñez
757681,home,45',2700.0,Marc Giger,Promise David
757681,home,67',3964.0,Mathias Rasmussen,Kamiel Van de Perre
757681,home,67',3975.0,Ross Sykes,Kevin Mac Allister
757681,home,73',4377.0,Sofiane Boufal,Kevin Rodríguez
757681,home,78',4653.0,Louis Patris,Anan Khalaili
757692,home,61',3611.0,Marc Giger,Mathias Rasmussen
757692,home,61',3612.0,Kevin Rodríguez,Promise David
757692,home,61',3613.0,Raul Florucz,Anouar Ait El Hadj
757692,home,75',4488.0,Louis Patris,Ousseynou Niang because of an injury
757692,home,84',5025.0,Rob Schoofs,Adem Zorgane
757703,away,45',2700.0,Hugo Siquet,Kyriani Sabbe
757703,away,45',2700.0,Jorne Spileers,Carlos Forbs
757703,away,66',3918.0,Cisse Sandra,Lynnt Audoor
757703,away,66',3923.0,Romeo Vermant,Nicolò Tresoldi
757703,away,80',4769.0,Mamadou Diakhon,Christos Tzolis
757711,away,60',3592.0,Promise David,Rob Schoofs
757711,away,74',4409.0,Sofiane Boufal,Anouar Ait El Hadj
757711,away,74',4417.0,Marc Giger,Kevin Rodríguez
757711,away,74',4424.0,Mathias Rasmussen,Kamiel Van de Perre
757711,away,85',5085.0,Louis Patris,Anan Khalaili
757723,home,78',4641.0,Mamadou Diakhon,Carlos Forbs
757723,home,78',4653.0,Romeo Vermant,Nicolò Tresoldi
