event_id,home_away,minute,minute_sec,player_in,player_out
757654,away,67',3966.0,Marc Giger,Promise David because of an injury
757654,away,75',4445.0,Kamiel Van de Perre,Anouar Ait El Hadj
757654,away,88',5270.0,Rob Schoofs,Kevin Rodríguez
757656,away,71',4223.0,Julian Brandt,Maximilian Beier
757656,away,71',4230.0,Jobe Bellingham,Felix Nmecha
757656,away,90'+2',5400.0,Pascal Groß,Serhou Guirassy
757663,home,45',2700.0,Min-Jae Kim,Jonathan Tah
757663,home,51',3030.0,Sacha Boey,Josip Stanisic because of an injury
757663,home,64',3832.0,Leon Goretzka,Aleksandar Pavlovic
757663,home,90'+1',5400.0,Tom Bischof,Serge Gnabry
757663,home,90'+1',5400.0,Nicolas Jackson,Harry Kane
757666,away,51',3015.0,Ibrahim Maza,Malik Tillman
757666,away,51',3022.0,Aleix García,Ezequiél Fernández
757666,away,67',3996.0,Ernest Poku,Eliesse Ben Seghir
757666,away,67',4003.0,Claudio Echeverri,Loïc Badé
757666,away,88',5238.0,Christian Kofane,Robert Andrich
757668,home,72',4271.0,Elye Wahi,Jonathan Burkardt
757668,home,72',4272.0,Jean-Mattéo Bahoya,Can Uzun
757668,home,80',4747.0,Ellyes Skhiri,Hugo Larsson
757668,home,80',4760.0,Aurèle Amenda,Robin Koch
757668,home,84',5000.0,Michy Batshuayi,Ritsu Doan
757673,away,58',3455.0,Oscar Højlund,Ellyes Skhiri
757673,away,58',3460.0,Hugo Larsson,Can Uzun
757673,away,58',3463.0,Aurèle Amenda,Nnamdi Collins
757673,away,71',4220.0,Jean-Mattéo Bahoya,Nathaniel Brown
757673,away,74',4431.0,Mario Götze,Ritsu Doan
757677,away,45',2700.0,Serge Gnabry,Luis Díaz
757677,away,64',3826.0,Sacha Boey,Harry Kane
757677,away,73',4343.0,Jonathan Tah,Dayot Upamecano
757677,away,73',4344.0,Lennart Karl,Michael Olise
757677,away,83',4957.0,Tom Bischof,Konrad Laimer
757681,home,45',2700.0,Marc Giger,Promise David
757681,home,67',3964.0,Mathias Rasmussen,Kamiel Van de Perre
757681,home,67',3975.0,Ross Sykes,Kevin Mac Allister
757681,home,73',4377.0,Sofiane Boufal,Kevin Rodríguez
757681,home,78',4653.0,Louis Patris,Anan Khalaili
