event_id,home_away,minute,minute_sec,player_in,player_out
757654,home,45',2700.0,Guus Til,Jerdy Schouten
757654,home,45',2700.0,Anass Salah-Eddine,Armando Obispo
757654,home,74',4384.0,Myron Boadu,Ricardo Pepi
757654,home,74',4386.0,Paul Wanner,Ismael Saibari
757654,home,80',4792.0,Dennis Man,Myron Boadu because of an injury
757664,home,63',3767.0,James McConnell,Kenneth Taylor because of an injury
757664,home,63',3776.0,Kasper Dolberg,Wout Weghorst
757664,home,76',4522.0,Raúl Moro,Mika Godts
757664,home,76',4523.0,Oscar Gloukh,Youri Regeer
757664,home,84',5018.0,Josip Sutalo,Ko Itakura
757679,away,23',1345.0,Jorthy Mokio,Youri Regeer because of an injury
757679,away,45',2700.0,Oliver Edvardsen,Steven Berghuis
757679,away,55',3254.0,Anton Gaaei,Owen Wijndal because of an injury
757679,away,55',3269.0,Josip Sutalo,Youri Baas
757679,away,84',5033.0,Raúl Moro,Mika Godts
757684,away,66',3925.0,Ryan Flamingo,Armando Obispo
757684,away,73',4336.0,Couhaib Driouech,Ivan Perisic
757684,away,73',4346.0,Esmir Bajraktarevic,Dennis Man
757691,home,45',2700.0,Armando Obispo,Yarek Gasiorowski
757691,home,84',4997.0,Couhaib Driouech,Ivan Perisic
757691,home,84',4998.0,Sergiño Dest,Anass Salah-Eddine
757691,home,84',5010.0,Ricardo Pepi,Guus Til
757691,home,88',5257.0,Paul Wanner,Ismael Saibari
757701,away,23',1362.0,Jorthy Mokio,Oscar Gloukh
757701,away,45',2700.0,Davy Klaassen,Wout Weghorst
757701,away,79',4720.0,Youri Regeer,James McConnell
757701,away,84',5014.0,Kian Fitz-Jim,Mika Godts
757701,away,84',5030.0,Anton Gaaei,Lucas Rosa
757713,away,58',3441.0,Ricardo Pepi,Guus Til
757713,away,58',3451.0,Couhaib Driouech,Dennis Man
757713,away,67',4016.0,Paul Wanner,Anass Salah-Eddine
757713,away,68',4031.0,Esmir Bajraktarevic,Ivan Perisic
757713,away,84',4990.0,Myron Boadu,Ismael Saibari
757721,home,45',2700.0,Gerald Alders,Owen Wijndal
757721,home,71',4202.0,Kian Fitz-Jim,Youri Regeer
757721,home,71',4218.0,Rayane Bounida,Mika Godts
757721,home,78',4680.0,James McConnell,Jorthy Mokio
757725,home,60',3565.0,Jorthy Mokio,Owen Wijndal
757725,home,74',4432.0,Oscar Gloukh,Rayane Bounida
757725,home,74',4438.0,Kian Fitz-Jim,Davy Klaassen
757725,home,75',4451.0,Kasper Dolberg,Mika Godts
757725,home,83',4924.0,Raúl Moro,Youri Regeer
757738,away,70',4148.0,Ricardo Pepi,Guus Til
757738,away,70',4158.0,Couhaib Driouech,Ivan Perisic because of an injury
757738,away,89',5283.0,Esmir Bajraktarevic,Dennis Man
757750,home,59',3482.0,Armando Obispo,Yarek Gasiorowski
757750,home,59',3490.0,Dennis Man,Paul Wanner
757750,home,73',4359.0,Ricardo Pepi,Guus Til
757750,home,81',4848.0,Ivan Perisic,Couhaib Driouech
757752,away,65',3849.0,Don-Angelo Konadu,Kasper Dolberg
757752,away,65',3850.0,Youri Regeer,Ko Itakura
757752,away,76',4537.0,Davy Klaassen,Sean Steur
757752,away,76',4547.0,Mika Godts,Raúl Moro
757752,away,84',5016.0,Kian Fitz-Jim,Jorthy Mokio
757766,away,54',3201.0,Ko Itakura,Youri Regeer
757766,away,71',4254.0,Rayane Bounida,Kasper Dolberg
757766,away,71',4259.0,Sean Steur,Jorthy Mokio
757766,away,84',5022.0,Kian Fitz-Jim,Owen Wijndal
757766,away,84',5032.0,Oliver Edvardsen,Oscar Gloukh
757777,away,45',2675.0,Armando Obispo,Anass Salah-Eddine because of an injury
757777,away,62',3717.0,Esmir Bajraktarevic,Dennis Man
757777,away,62',3718.0,Couhaib Driouech,Ivan Perisic
757777,away,73',4363.0,Ryan Flamingo,Guus Til because of an injury
757779,home,69',4123.0,Oliver Edvardsen,Sean Steur
757779,home,69',4128.0,Rayane Bounida,Davy Klaassen
757779,home,80',4765.0,Wout Weghorst,Kasper Dolberg
757779,home,80',4778.0,Jorthy Mokio,Oscar Gloukh
757779,home,88',5222.0,Pharell Nash,Owen Wijndal
757793,home,45',2700.0,Noah Fernandez,Dennis Man
757793,home,82',4871.0,Couhaib Driouech,Ivan Perisic because of an injury
757801,away,45',2700.0,Luciano Valente,Quinten Timber
757801,away,62',3680.0,Tsuyoshi Watanabe,Malcolm Jeng
757801,away,62',3682.0,Cyle Larin,Casper Tengstedt
757801,away,73',4352.0,Jordan Lotomba,Bart Nieuwkoop
757801,away,81',4832.0,Anis Hadj Moussa,Gaoussou Diarra
757807,home,45',2700.0,Milan Smit,Gerrit Nauber
757807,home,61',3655.0,Calvin Twigt,Evert Linthorst
757807,home,62',3666.0,Richonell Margaret,Kenzo Goudmijn
757807,home,77',4563.0,Finn Stokkers,Mathis Suray
757807,home,90'+1',5400.0,Robbin Weijenberg,Melle Meulensteen
757813,home,80',4778.0,Adrian Blake,Derry John Murkin
757813,home,80',4785.0,David Min,Niklas Vesterlund
757813,home,89',5334.0,Mike Eerdhuijzen,Nick Viergever
757823,away,79',4717.0,Calvin Twigt,Richonell Margaret
757823,away,88',5225.0,Aske Adelgaard,Mathis Suray
757823,away,90'+2',5400.0,Finn Stokkers,Milan Smit because of an injury
757819,away,61',3616.0,Sébastien Haller,Adrian Blake
757819,away,73',4346.0,Can Bozdogan,Zidane Iqbal
757819,away,73',4357.0,Miliano Jonathans,Miguel Rodríguez
757819,away,80',4799.0,Derry John Murkin,Mike van der Hoorn because of an injury
757819,away,80',4800.0,Niklas Vesterlund,Souffian El Karouani
757831,home,45',2700.0,Oussama Targhalline,Hwang In-Beom
757831,home,71',4239.0,Bart Nieuwkoop,Givairo Read
757831,home,71',4240.0,Aymen Sliti,Leo Sauer
757831,home,75',4492.0,Cyle Larin,Sem Steijn
757831,home,86',5128.0,Jordan Bos,Luciano Valente
757837,home,15',893.0,Calvin Twigt,Gerrit Nauber because of an injury
757837,home,39',2291.0,Kenzo Goudmijn,Jakob Breum because of an injury
757837,home,83',4941.0,Robbin Weijenberg,Mathis Suray
757837,home,83',4954.0,Aske Adelgaard,Richonell Margaret
757837,home,83',4956.0,Evert Linthorst,Yassir Salah Rahmouni
757834,home,45',2700.0,Oussama Targhalline,Hwang In-Beom
757834,home,65',3865.0,Leo Sauer,Aymen Sliti
757834,home,65',3879.0,Tsuyoshi Watanabe,Jordan Bos
757834,home,78',4640.0,Bart Nieuwkoop,Givairo Read
757834,home,81',4835.0,Cyle Larin,Ayase Ueda
757844,away,60',3550.0,Zidane Iqbal,Alonzo Engwanda
757844,away,66',3957.0,Dani de Wit,Gjivai Zechiël
757844,away,67',3967.0,Davy van den Berg,Can Bozdogan
757844,away,77',4612.0,Derry John Murkin,Adrian Blake
757844,away,78',4626.0,David Min,Sébastien Haller
757851,home,45',2700.0,Yoann Cathline,Derry John Murkin
757851,home,62',3697.0,Davy van den Berg,Gjivai Zechiël
757851,home,62',3711.0,Sébastien Haller,Dani de Wit
757851,home,69',4110.0,Michael Brouwer,David Min
757851,home,80',4789.0,Mike van der Hoorn,Miguel Rodríguez
757852,away,68',4025.0,Oscar Pettersson,Kenzo Goudmijn
757852,away,77',4583.0,Finn Stokkers,Richonell Margaret
757852,away,77',4587.0,Giovanni van Zwam,Yassir Salah Rahmouni
