event_id,home_away,minute,minute_sec,player_in,player_out
757653,home,61',3622.0,Unai Gómez,Robert Navarro
757653,home,68',4056.0,Gorka Guruzeta,Oihan Sancet
757653,home,68',4060.0,Yuri Berchiche,Adama Boiro
757653,home,81',4815.0,Nico Serrano,Unai Gómez because of an injury
757653,home,81',4816.0,Alejandro Rego,Mikel Vesga
757655,home,5',288.0,Dani Carvajal,Trent Alexander-Arnold because of an injury
757655,home,63',3760.0,Vinícius Júnior,Rodrygo
757655,home,63',3775.0,Brahim Díaz,Franco Mastantuono
757655,home,73',4350.0,Raúl Asencio,Arda Güler
757658,away,75',4449.0,Alfonso Pedraza,Ayoze Pérez
757658,away,75',4458.0,Ilias Akhomach,Sergi Cardona
757658,away,78',4623.0,Thomas Partey,Santi Comesaña
757658,away,78',4630.0,Dani Parejo,Pape Gueye
757658,away,82',4872.0,Alberto Moleiro,Tajon Buchanan
757662,away,53',3121.0,Koke,Giacomo Raspadori
757662,away,61',3651.0,Alexander Sørloth,Antoine Griezmann
757662,away,61',3653.0,Nahuel Molina,Conor Gallagher
757662,away,77',4561.0,Marc Pubill,Nico González
757669,away,69',4139.0,Ferran Torres,Pau Cubarsí because of an injury
757669,away,70',4175.0,Andreas Christensen,Robert Lewandowski
757669,away,81',4859.0,Eric García,Gerard Martín
757669,away,82',4874.0,Dani Olmo,Marcus Rashford
757669,away,90'+3',5400.0,Marc Casadó,Fermín López
757671,away,70',4155.0,Rodrygo,Franco Mastantuono
757671,away,70',4160.0,Brahim Díaz,Vinícius Júnior
757671,away,80',4778.0,Jude Bellingham,Arda Güler
757671,away,80',4794.0,Eduardo Camavinga,Aurélien Tchouaméni
757671,away,81',4816.0,Gonzalo García,Kylian Mbappé
757673,home,55',3275.0,Koke,Giacomo Raspadori
757673,home,75',4460.0,Nico González,Pablo Barrios
757673,home,75',4468.0,Nahuel Molina,Giuliano Simeone
757673,home,90',5367.0,Álex Baena,Julián Alvarez
757673,home,90',5370.0,Carlos Martín,Antoine Griezmann
757687,home,72',4283.0,Robert Lewandowski,Marcus Rashford
757687,home,72',4292.0,Marc Casadó,Dani Olmo
757687,home,72',4299.0,Alejandro Balde,Gerard Martín
757687,home,79',4694.0,Marc Bernal,Pedri
757687,home,86',5119.0,Andreas Christensen,Eric García because of an injury
757683,away,45',2700.0,Gorka Guruzeta,Iñaki Williams
757683,away,45',2700.0,Íñigo Ruíz de Galarreta,Mikel Jauregizar
757683,away,45',2700.0,Aymeric Laporte,Dani Vivian
757683,away,63',3756.0,Nico Serrano,Unai Gómez
757683,away,80',4765.0,Ibon Sánchez,Maroan Sannadi
757682,home,64',3823.0,Alberto Moleiro,Tajon Buchanan
757682,home,64',3827.0,Tani Oluwaseyi,Dani Parejo
757682,home,76',4510.0,Sergi Cardona,Alfonso Pedraza
757682,home,76',4518.0,Ilias Akhomach,Georges Mikautadze
757690,home,59',3495.0,Frenkie de Jong,Dro Fernández
757690,home,75',4468.0,Ronald Araujo,Jules Koundé
757690,home,75',4498.0,Gerard Martín,Alejandro Balde
757690,home,75',4499.0,Roony Bardghji,Lamine Yamal
757690,home,80',4789.0,Marc Bernal,Pedri
757697,away,63',3724.0,Conor Gallagher,Koke
757697,away,63',3735.0,Álex Baena,José María Giménez
757697,away,63',3749.0,Matteo Ruggeri,Nico González
757697,away,72',4272.0,Thiago Almada,Alexander Sørloth
757697,away,72',4273.0,Antoine Griezmann,Giuliano Simeone
757694,home,45',2700.0,Sergi Cardona,Alfonso Pedraza
757694,home,66',3920.0,Alberto Moleiro,Tajon Buchanan
757694,home,66',3930.0,Tani Oluwaseyi,Georges Mikautadze
757694,home,72',4278.0,Ayoze Pérez,Santi Comesaña
757694,home,81',4832.0,Dani Parejo,Pape Gueye
757699,home,38',2276.0,Alex Berenguer,Iñaki Williams because of an injury
757699,home,65',3841.0,Jesús Areso,Andoni Gorosabel
757699,home,65',3842.0,Íñigo Ruíz de Galarreta,Alejandro Rego
757699,home,65',3852.0,Robert Navarro,Nico Williams
757699,home,81',4855.0,Mikel Vesga,Oihan Sancet
757705,home,74',4418.0,Eduardo Camavinga,Arda Güler
757705,home,84',4995.0,Fran García,Vinícius Júnior
757705,home,84',5007.0,Franco Mastantuono,Brahim Díaz
757705,home,88',5258.0,Gonzalo García,Raúl Asencio because of an injury
757711,home,26',1540.0,José María Giménez,Robin Le Normand because of an injury
757711,home,62',3680.0,Alexander Sørloth,Antoine Griezmann
757711,home,62',3700.0,Thiago Almada,Koke
