event_id,home_away,minute,minute_sec,player_in,player_out
757657,home,70',4142.0,Franjo Ivanovic,Fredrik Aursnes
757657,home,70',4151.0,Gianluca Prestianni,Andreas Schjelderup
757657,home,79',4691.0,Henrique Araújo,Vangelis Pavlidis
757657,home,79',4694.0,Leandro Barreiro,Richard Ríos
757670,home,61',3635.0,Alisson Santos,Pote
757670,home,61',3646.0,Hidemasa Morita,Giorgi Kochorashvili
757670,home,61',3652.0,Fotis Ioannidis,Luis Suárez
757670,home,66',3901.0,Matheus Reis,Maximiliano Araújo
757670,home,70',4155.0,Zeno Debast,Morten Hjulmand
757675,away,73',4324.0,Tomás Araújo,António Silva because of an injury
757675,away,77',4594.0,Andreas Schjelderup,Dodi Lukébakio
757675,away,77',4605.0,Franjo Ivanovic,Heorhii Sudakov
757675,away,77',4611.0,Leandro Barreiro,Richard Ríos
757675,away,89',5340.0,Henrique Araújo,Fredrik Aursnes
757685,away,45',2700.0,Pote,Trincão
757685,away,45',2700.0,Luis Suárez,Geny Catamo
757685,away,67',3968.0,Zeno Debast,Eduardo Quaresma because of an injury
757685,away,67',3982.0,Alisson Santos,Fotis Ioannidis
757685,away,78',4662.0,Hidemasa Morita,João Simões
757696,away,63',3767.0,Franjo Ivanovic,Amar Dedic because of an injury
757706,home,64',3795.0,Fotis Ioannidis,João Simões
757706,home,64',3798.0,Geny Catamo,Geovany Quenda
757706,home,80',4759.0,Ousmane Diomande,Zeno Debast because of an injury
757706,home,80',4767.0,Alisson Santos,Iván Fresneda
757706,home,90'+3',5400.0,Matheus Reis,Maxi Araújo
757710,away,67',3982.0,Geny Catamo,Geovany Quenda
757710,away,67',3986.0,Eduardo Quaresma,Georgios Vagiannidis
757710,away,72',4267.0,Luis Suárez,Fotis Ioannidis
757710,away,82',4902.0,Alisson Santos,Pote
757710,away,82',4915.0,Hidemasa Morita,João Simões
757720,home,69',4113.0,Andreas Schjelderup,Samuel Dahl
757720,home,69',4121.0,Amar Dedic,Leandro Barreiro
757720,home,69',4129.0,Gianluca Prestianni,Heorhii Sudakov
757725,away,81',4847.0,Tomás Araújo,Heorhii Sudakov
757725,away,90'+2',5400.0,Manu Silva,Vangelis Pavlidis
757725,away,90'+3',5400.0,Rodrigo Rêgo,Leandro Barreiro
757741,home,63',3774.0,Hidemasa Morita,João Simões
757741,home,76',4523.0,Alisson Santos,Geny Catamo
757741,home,76',4527.0,Salvador Blopa,Geovany Quenda
757741,home,86',5110.0,Matheus Reis,Maxi Araújo
757741,home,86',5117.0,Rodrigo Ribeiro,Luis Suárez
757744,away,66',3930.0,Ricardo Mangas,Alisson Santos
757744,away,80',4794.0,Georgios Vagiannidis,Eduardo Quaresma
757744,away,81',4803.0,Fotis Ioannidis,Geny Catamo
757744,away,90'+2',5400.0,Salvador Blopa,Maxi Araújo
757744,away,90'+2',5400.0,Hidemasa Morita,João Simões
757754,home,76',4515.0,Vangelis Pavlidis,Franjo Ivanovic
757754,home,76',4533.0,António Silva,Heorhii Sudakov
757754,home,90'+4',5400.0,Tiago Freitas,Fredrik Aursnes
757754,home,90'+5',5400.0,José Neto,Leandro Barreiro
757768,home,63',3774.0,Georgios Vagiannidis,Ricardo Mangas
757768,home,87',5198.0,Daniel Bragança,João Simões
757768,home,87',5204.0,Alisson Santos,Geny Catamo
757768,home,90'+6',5400.0,Giorgi Kochorashvili,Trincão
757775,away,69',4131.0,Franjo Ivanovic,Andreas Schjelderup
757775,away,69',4140.0,Enzo Barrenechea,Heorhii Sudakov
757775,away,77',4613.0,João Rego,Gianluca Prestianni because of an injury
757781,away,26',1539.0,Matheus Reis,Gonçalo Inácio because of an injury
757781,away,54',3181.0,Pote,Daniel Bragança
757781,away,54',3188.0,Hidemasa Morita,João Simões
757781,away,54',3189.0,Eduardo Quaresma,Ousmane Diomande
757781,away,87',5166.0,Alisson Santos,Trincão
757785,home,83',4953.0,Enzo Barrenechea,Heorhii Sudakov
757785,home,87',5190.0,João Rego,Gianluca Prestianni
757785,home,90'+3',5400.0,Franjo Ivanovic,Vangelis Pavlidis
757785,home,90'+3',5400.0,António Silva,Andreas Schjelderup
401858735,home,74',4391.0,Richard Ríos,Rafa
401858735,home,74',4397.0,Heorhii Sudakov,Andreas Schjelderup
401858735,home,80',4767.0,Sidny Cabral,Fredrik Aursnes
401858735,home,81',4805.0,Dodi Lukébakio,Gianluca Prestianni
401858769,away,85',5082.0,Enzo Barrenechea,Fredrik Aursnes
401858769,away,85',5088.0,Franjo Ivanovic,Andreas Schjelderup
401858769,away,90'+1',5400.0,Sidny Cabral,Leandro Barreiro
401862583,away,62',3715.0,Hidemasa Morita,João Simões
401862583,away,63',3733.0,Nuno Santos,Georgios Vagiannidis
401862583,away,63',3740.0,Souleymane Faye,Geny Catamo
401862583,away,80',4750.0,Daniel Bragança,Luis Guilherme
401862584,home,64',3811.0,Zeno Debast,Eduardo Quaresma
401862584,home,68',4063.0,Nuno Santos,Pote
401862584,home,68',4070.0,Daniel Bragança,Hidemasa Morita
401862584,home,110',6575.0,Ousmane Diomande,Maxi Araújo because of an injury
401862584,home,110',6587.0,Souleymane Faye,Trincão
401862584,home,116',6925.0,Rafael Nel,Luis Suárez
401862888,home,62',3695.0,Daniel Bragança,João Simões
401862888,home,79',4699.0,Rafael Nel,Pote
401862890,away,71',4204.0,Geovany Quenda,Geny Catamo
401862890,away,71',4208.0,Daniel Bragança,Pote
401862890,away,77',4608.0,João Simões,Hidemasa Morita
401862890,away,85',5084.0,Georgios Vagiannidis,Eduardo Quaresma
401862890,away,85',5092.0,Rafael Nel,Trincão
757801,home,62',3705.0,Jean-Baptiste Gorby,João Moutinho
757801,home,62',3708.0,Fran Navarro,Amine El Ouazzani
757801,home,71',4231.0,Pau Víctor,Rodrigo Zalazar
757801,home,71',4243.0,Diego Rodrigues,Ricardo Horta
757801,home,81',4855.0,Vítor Carvalho,Sikou Niakaté
757811,away,53',3142.0,William Gomes,Pepê
757811,away,53',3158.0,Francisco Moura,Gabri Veiga
757811,away,53',3160.0,Martim Fernandes,Zaidu Sanusi because of an injury
757811,away,66',3914.0,Rodrigo Mora,Alan Varela
757811,away,77',4590.0,Deniz Gül,Samu Aghehowa
