event_id,home_away,minute,minute_sec,player_in,player_out
757655,away,66',3954.0,Igor Paixão,Matt O'Riley
757655,away,67',3965.0,Arthur Vermeeren,Geoffrey Kondogbia
757655,away,78',4625.0,Amine Gouiri,Timothy Weah
757655,away,78',4628.0,Amir Murillo,Emerson
757655,away,88',5221.0,CJ Egan-Riley,Benjamin Pavard
757661,home,55',3254.0,Warren Zaïre-Emery,Fabián Ruiz
757661,home,55',3255.0,Lee Kang-In,Senny Mayulu
757661,home,58',3429.0,Gonçalo Ramos,João Neves because of an injury
757661,home,75',4464.0,Illia Zabarnyi,Nuno Mendes
757661,home,75',4478.0,Ibrahim Mbaye,Khvicha Kvaratskhelia
757665,away,45',2700.0,Thilo Kehrer,Caio Henrique
757665,away,45',2700.0,Mamadou Coulibaly,Aladji Bamba
757665,away,63',3765.0,Ansu Fati,Folarin Balogun
757665,away,63',3774.0,George Ilenikhena,Mika Biereth
757665,away,78',4657.0,Kassoum Ouattara,Christian Mawissa because of an injury
757679,home,36',2144.0,CJ Egan-Riley,Facundo Medina because of an injury
757679,home,45',2700.0,Timothy Weah,Bilal Nadir
757679,home,62',3700.0,Angel Gomes,Igor Paixão
757679,home,62',3701.0,Pierre-Emile Højbjerg,Matt O'Riley
757679,home,82',4920.0,Amir Murillo,Arthur Vermeeren
757686,home,22',1277.0,Kassoum Ouattara,Vanderson because of an injury
757686,home,64',3838.0,Stanis Idumbo,Ansu Fati
757686,home,82',4898.0,Pape Cabral,Mamadou Coulibaly
757686,home,82',4905.0,Mika Biereth,Folarin Balogun
757686,home,83',4924.0,George Ilenikhena,Mohammed Salisu
757687,away,65',3888.0,Lucas Hernández,Ibrahim Mbaye
757687,away,72',4301.0,Gonçalo Ramos,Fabián Ruiz
757687,away,80',4771.0,Quentin Ndjantou,Bradley Barcola
757687,away,80',4793.0,Lee Kang-In,Senny Mayulu
757693,away,45',2700.0,Lucas Hernández,Désiré Doué
