event_id,home_away,minute,minute_sec,player_in,player_out
757656,home,59',3531.0,João Mário,Weston McKennie
757656,home,60',3543.0,Dusan Vlahovic,Jonathan David
757656,home,69',4090.0,Manuel Locatelli,Teun Koopmeiners
757656,home,69',4101.0,Vasilije Adzic,Loïs Openda
757656,home,87',5165.0,Edon Zhegrova,Kenan Yildiz
757664,away,69',4136.0,Davide Frattesi,Henrikh Mkhitaryan
757664,away,80',4751.0,Piotr Zielinski,Nicolò Barella
757664,away,80',4760.0,Carlos Augusto,Federico Dimarco
757664,away,87',5171.0,Petar Sucic,Hakan Çalhanoglu
757664,away,87',5178.0,Ange-Yoan Bonny,Marcus Thuram
757661,away,45',2700.0,Nikola Krstovic,Daniel Maldini
757661,away,45',2700.0,Lazar Samardzic,Charles De Ketelaere
757661,away,75',4474.0,Giorgio Scalvini,Berat Djimsiti
757661,away,75',4481.0,Marco Brescianini,Yunus Musah
757661,away,85',5052.0,Honest Ahanor,Giorgio Scalvini because of an injury
757667,away,26',1526.0,Mathías Olivera,Kevin De Bruyne
757667,away,55',3264.0,Juan Jesus,Matteo Politano
757667,away,71',4256.0,Eljif Elmas,Frank Anguissa
757667,away,72',4261.0,David Neres,Rasmus Højlund
757667,away,72',4274.0,Billy Gilmour,Stanislav Lobotka
757672,home,45',2700.0,Davide Zappacosta,Raoul Bellanova
757672,home,53',3125.0,Yunus Musah,Odilon Kossounou because of an injury
757672,home,61',3624.0,Lazar Samardzic,Éderson
757672,home,61',3626.0,Kamaldeen Sulemana,Ademola Lookman
757672,home,88',5277.0,Marco Brescianini,Nikola Krstovic
757678,home,66',3950.0,Ange-Yoan Bonny,Marcus Thuram
757678,home,67',3972.0,Francesco Pio Esposito,Lautaro Martínez
757678,home,67',3976.0,Manuel Akanji,Yann Bisseck
757678,home,67',3990.0,Nicolò Barella,Piotr Zielinski
757678,home,76',4510.0,Matteo Darmian,Denzel Dumfries
757685,home,69',4123.0,David Neres,Matteo Politano
757685,home,69',4132.0,Noa Lang,Scott McTominay
757685,home,81',4832.0,Mathías Olivera,Miguel Gutiérrez
757685,home,81',4840.0,Billy Gilmour,Kevin De Bruyne
757685,home,90',5364.0,Lorenzo Lucca,Rasmus Højlund
757682,away,16',917.0,João Mário,Juan Cabal because of an injury
757682,away,45',2700.0,Francisco Conceição,Teun Koopmeiners
757682,away,79',4740.0,Daniele Rugani,Andrea Cambiaso
757682,away,80',4747.0,Vasilije Adzic,Kenan Yildiz
