player,norm_key,squad,pos,90s,dead_ball_passes_per90,free_kick_passes_per90,throw_ins_per90,corner_kicks_per90,inswing_corners_per90,outswing_corners_per90,straight_corners_per90,sca_sca90,dead_ball_sca_per90,gca_gca90,dead_ball_gca_per90,fouls_per90_fbref,fouled_per90_fbref,pens_won_per90_fbref,pens_conceded_per90_fbref
Aaron Hickey,aaron hickey,Brentford,"DF,MF",7.7,,,,,,,,,,,,0.9090909090909091,1.1688311688311688,,
Aaron Ramsdale,aaron ramsdale,Newcastle United,GK,11.2,,,,,,,,,,,,0.0,0.08928571428571429,,
Aaron Wan-Bissaka,aaron wan-bissaka,West Ham United,"DF,MF",23.1,,,,,,,,,,,,0.9956709956709956,0.5194805194805194,,
Abdukodir Khusanov,abdukodir khusanov,Manchester City,DF,15.9,,,,,,,,,,,,0.8805031446540881,0.3773584905660377,,
Adam Armstrong,adam armstrong,Wolves,"FW,MF",12.7,,,,,,,,,,,,0.9448818897637796,0.2362204724409449,,
Adam Smith,adam smith,Bournemouth,DF,12.0,,,,,,,,,,,,1.5833333333333333,0.9166666666666666,,
Adam Wharton,adam wharton,Crystal Palace,MF,28.4,,,,,,,,,,,,1.2323943661971832,1.091549295774648,,
Adama Traoré,adama traore,Fulham,MF,3.0,,,,,,,,,,,,2.0,2.6666666666666665,,
Adama Traoré,adama traore,West Ham United,"FW,MF",1.3,,,,,,,,,,,,0.7692307692307692,0.0,,
Adrien Truffert,adrien truffert,Bournemouth,DF,37.5,,,,,,,,,,,,1.04,0.8533333333333334,,
Alejandro Garnacho,alejandro garnacho,Chelsea,MF,14.1,,,,,,,,,,,,0.6382978723404256,1.6312056737588654,,
Alex Iwobi,alex iwobi,Fulham,MF,26.9,,,,,,,,,,,,0.29739776951672864,0.3717472118959108,,
Alex Murphy,alex murphy,Newcastle United,DF,0.1,,,,,,,,,,,,0.0,0.0,,
Alex Scott,alex scott,Bournemouth,MF,31.7,,,,,,,,,,,,1.4195583596214512,1.8927444794952681,,
Alex Tóth,alex toth,Bournemouth,MF,1.6,,,,,,,,,,,,0.625,1.25,,
Alexander Isak,alexander isak,Liverpool,FW,7.8,,,,,,,,,,,,0.6410256410256411,0.12820512820512822,,
Alexis Mac Allister,alexis mac allister,Liverpool,MF,29.5,,,,,,,,,,,,1.1864406779661016,1.0847457627118644,,
Alisson,alisson,Liverpool,GK,26.0,,,,,,,,,,,,0.038461538461538464,0.2692307692307692,,
Alphonse Areola,alphonse areola,West Ham United,GK,20.0,,,,,,,,,,,,0.05,0.05,,
Altay Bayındır,altay bayindir,Manchester Utd,GK,6.0,,,,,,,,,,,,0.0,0.5,,
Alysson Edward,alysson edward,Aston Villa,MF,0.5,,,,,,,,,,,,0.0,2.0,,
Amad Diallo,amad diallo,Manchester Utd,MF,26.0,,,,,,,,,,,,0.9230769230769231,1.4615384615384615,,
Amadou Onana,amadou onana,Aston Villa,MF,19.5,,,,,,,,,,,,1.0256410256410255,1.2820512820512822,,
Amine Adli,amine adli,Bournemouth,MF,12.1,,,,,,,,,,,,2.396694214876033,1.9008264462809918,,
Andrey Santos,andrey santos,Chelsea,MF,14.0,,,,,,,,,,,,0.9285714285714286,1.5714285714285714,,
André,andre,Wolves,MF,30.7,,,,,,,,,,,,1.5309446254071661,1.4006514657980456,,
