squad,90s,dead_ball_passes_per90,free_kick_passes_per90,throw_ins_per90,corner_kicks_per90,inswing_corners_per90,outswing_corners_per90,straight_corners_per90,sca_sca90,dead_ball_sca_per90,gca_gca90,dead_ball_gca_per90,fouls_per90_fbref,fouled_per90_fbref,pens_won_per90_fbref,pens_conceded_per90_fbref
Arsenal,38.0,,,,,,,,,,,,10.2895,10.7368,,
Aston Villa,38.0,,,,,,,,,,,,9.9737,12.3947,,
Bournemouth,38.0,,,,,,,,,,,,12.0526,10.1053,,
Brentford,38.0,,,,,,,,,,,,10.2632,8.9211,,
Brighton,38.0,,,,,,,,,,,,11.9211,9.7105,,
Burnley,38.0,,,,,,,,,,,,10.3158,8.7632,,
Chelsea,38.0,,,,,,,,,,,,11.0263,11.7105,,
Crystal Palace,38.0,,,,,,,,,,,,10.4737,9.3684,,
Everton,38.0,,,,,,,,,,,,10.7632,10.6579,,
Fulham,38.0,,,,,,,,,,,,10.8947,9.5,,
Leeds United,38.0,,,,,,,,,,,,10.4737,10.9474,,
Liverpool,38.0,,,,,,,,,,,,10.1053,10.1842,,
Manchester City,38.0,,,,,,,,,,,,9.6579,10.8684,,
Manchester Utd,38.0,,,,,,,,,,,,10.2632,10.3684,,
Newcastle United,38.0,,,,,,,,,,,,10.1316,11.5789,,
Nottingham Forest,38.0,,,,,,,,,,,,10.6842,11.1053,,
Sunderland,38.0,,,,,,,,,,,,10.7105,10.7105,,
Tottenham Hotspur,38.0,,,,,,,,,,,,12.1579,9.9474,,
West Ham United,38.0,,,,,,,,,,,,11.0789,10.1316,,
Wolves,38.0,,,,,,,,,,,,13.0,10.6053,,
