detected_at,team,previous_manager,detected_manager,official_change_date,previous_appointed,previous_left_date,new_appointed,change_type,accepted,source
2026-06-18 14:04,Burnley,Scott Parker,Mike Jackson (interim),,Jul 2024,,,interim,true,Wikipedia 2025-26 Premier League
2026-06-18 14:04,Chelsea,Enzo Maresca,Calum McFarlane (interim),,Jul 2024,,,interim,true,Wikipedia 2025-26 Premier League
2026-06-18 14:04,Manchester Utd,Ruben Amorim,Michael Carrick,,Nov 2024,,,detected,true,Wikipedia 2025-26 Premier League
2026-06-18 14:04,Nottingham Forest,Sean Dyche,Vítor Pereira,,Oct 2025,,,detected,true,Wikipedia 2025-26 Premier League
2026-06-18 14:04,Tottenham Hotspur,Thomas Frank,Roberto De Zerbi,,Jun 2025,,,detected,true,Wikipedia 2025-26 Premier League
2026-07-01 16:00,Bournemouth,Andoni Iraola,Marco Rose,1 June 2026,Jun 2023,,1 June 2026,detected,false,Wikipedia 2026-27 Premier League
2026-07-01 16:00,Chelsea,Calum McFarlane (interim),Xabi Alonso,,22 April 2026,,,detected,false,Wikipedia 2026-27 Premier League
2026-07-01 16:00,Crystal Palace,Oliver Glasner,Pierre Sage,,Feb 2024,,,detected,false,Wikipedia 2026-27 Premier League
2026-07-01 16:00,Fulham,Marco Silva,TBD,,Jul 2021,,,detected,false,Wikipedia 2026-27 Premier League
2026-07-01 16:00,Liverpool,Arne Slot,Andoni Iraola,,Jun 2024,,,detected,false,Wikipedia 2026-27 Premier League
2026-07-01 16:00,Manchester City,Pep Guardiola,Enzo Maresca,,Jul 2016,,,detected,false,Wikipedia 2026-27 Premier League
2026-07-07 08:00,Nottingham Forest,Vítor Pereira,Oliver Glasner,,,,,detected,true,Wikipedia 2026-27 Premier League
2026-07-08 07:06,Fulham,Marco Silva,Álvaro Arbeloa,,Jul 2021,,,detected,true,Wikipedia 2026-27 Premier League
