squad,player,norm_key,ucl_starts,ucl_apps,uel_starts,uel_apps,conf_starts,conf_apps,facup_starts,facup_apps,lcup_starts,lcup_apps,euro_starts,euro_apps,cup_starts,cup_apps
Arsenal,David Raya,david raya,14,14,0,0,0,0,0,0,0,0,14,14,0,0
Arsenal,William Saliba,william saliba,12,12,0,0,0,0,1,2,5,5,12,12,6,7
Arsenal,Gabriel Magalhães,gabriel magalhaes,11,12,0,0,0,0,2,2,3,5,11,12,5,7
Arsenal,Martín Zubimendi,martin zubimendi,11,13,0,0,0,0,0,3,3,3,11,13,3,6
Arsenal,Declan Rice,declan rice,11,13,0,0,0,0,0,0,3,6,11,13,3,6
Arsenal,Viktor Gyökeres,viktor gyokeres,11,13,0,0,0,0,0,2,3,4,11,13,3,6
Arsenal,Eberechi Eze,eberechi eze,9,13,0,0,0,0,2,3,4,4,9,13,6,7
Arsenal,Myles Lewis-Skelly,myles lewis-skelly,8,10,0,0,0,0,3,3,3,3,8,10,6,6
Arsenal,Bukayo Saka,bukayo saka,8,11,0,0,0,0,1,2,3,5,8,11,4,7
Arsenal,Leandro Trossard,leandro trossard,8,11,0,0,0,0,1,2,2,6,8,11,3,8
Arsenal,Gabriel Martinelli,gabriel martinelli,7,14,0,0,0,0,4,4,3,5,7,14,7,9
Arsenal,Ben White,ben white,7,11,0,0,0,0,3,3,4,4,7,11,7,7
Arsenal,Piero Hincapié,piero hincapie,7,10,0,0,0,0,0,1,3,3,7,10,3,4
Arsenal,Cristhian Mosquera,cristhian mosquera,6,10,0,0,0,0,3,3,2,2,6,10,5,5
Arsenal,Noni Madueke,noni madueke,6,10,0,0,0,0,3,4,2,3,6,10,5,7
Arsenal,Mikel Merino,mikel merino,6,7,0,0,0,0,1,1,3,4,6,7,4,5
Arsenal,Jurriën Timber,jurrien timber,6,8,0,0,0,0,0,2,3,4,6,8,3,6
Arsenal,Martin Ødegaard,martin odegaard,5,8,0,0,0,0,1,2,1,2,5,8,2,4
Arsenal,Riccardo Calafiori,riccardo calafiori,4,6,0,0,0,0,1,2,1,2,4,6,2,4
Arsenal,Christian Nørgaard,christian norgaard,3,6,0,0,0,0,4,4,3,3,3,6,7,7
Arsenal,Kai Havertz,kai havertz,2,6,0,0,0,0,2,3,1,3,2,6,3,6
Arsenal,Kepa Arrizabalaga,kepa arrizabalaga,1,1,0,0,0,0,4,4,6,6,1,1,10,10
Arsenal,Gabriel Jesus,gabriel jesus,1,6,0,0,0,0,4,4,1,3,1,6,5,7
Arsenal,Ethan Nwaneri,ethan nwaneri,1,3,0,0,0,0,1,1,2,2,1,3,3,3
Arsenal,Max Dowman,max dowman,0,3,0,0,0,0,2,2,1,2,0,3,3,4
Arsenal,Andre Annous,andre annous,0,1,0,0,0,0,0,0,1,1,0,1,1,1
Arsenal,Marli Salmon,marli salmon,0,1,0,0,0,0,1,3,0,0,0,1,1,3
Arsenal,Brando Bailey-Joseph,brando bailey-joseph,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Arsenal,Ife Ibrahim,ife ibrahim,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Arsenal,Tommy Setford,tommy setford,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Arsenal,Jaden Dixon,jaden dixon,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Aston Villa,Pau Torres,pau torres,0,0,12,12,0,0,2,2,1,1,12,12,3,3
Aston Villa,Morgan Rogers,morgan rogers,0,0,12,15,0,0,2,2,0,1,12,15,2,3
Aston Villa,Emiliano Buendía,emiliano buendia,0,0,12,15,0,0,1,2,0,1,12,15,1,3
Aston Villa,Emiliano Martínez,emiliano martinez,0,0,11,11,0,0,0,1,0,0,11,11,0,1
Aston Villa,Ezri Konsa,ezri konsa,0,0,10,12,0,0,1,1,1,1,10,12,2,2
Aston Villa,Amadou Onana,amadou onana,0,0,10,12,0,0,1,1,0,0,10,12,1,1
Aston Villa,Ollie Watkins,ollie watkins,0,0,10,15,0,0,0,2,0,1,10,15,0,3
Aston Villa,Matty Cash,matty cash,0,0,9,12,0,0,1,1,1,1,9,12,2,2
Aston Villa,Lucas Digne,lucas digne,0,0,9,11,0,0,1,2,0,0,9,11,1,2
Aston Villa,Victor Lindelöf,victor lindelof,0,0,9,10,0,0,1,1,0,0,9,10,1,1
Aston Villa,Lamare Bogarde,lamare bogarde,0,0,8,13,0,0,2,2,1,1,8,13,3,3
Aston Villa,John McGinn,john mcginn,0,0,8,12,0,0,1,1,1,1,8,12,2,2
Aston Villa,Jadon Sancho,jadon sancho,0,0,8,13,0,0,0,2,1,1,8,13,1,3
Aston Villa,Youri Tielemans,youri tielemans,0,0,7,9,0,0,0,1,0,0,7,9,0,1
Aston Villa,Ian Maatsen,ian maatsen,0,0,6,11,0,0,1,2,1,1,6,11,2,3
Aston Villa,Evann Guessand,evann guessand,0,0,6,7,0,0,0,0,1,1,6,7,1,1
Aston Villa,Marco Bizot,marco bizot,0,0,4,4,0,0,2,2,1,1,4,4,3,3
Aston Villa,Donyell Malen,donyell malen,0,0,4,6,0,0,1,1,1,1,4,6,2,2
Aston Villa,Tyrone Mings,tyrone mings,0,0,3,5,0,0,0,0,0,0,3,5,0,0
Aston Villa,Boubacar Kamara,boubacar kamara,0,0,2,6,0,0,1,1,0,1,2,6,1,2
Aston Villa,Douglas Luiz,douglas luiz,0,0,2,6,0,0,1,1,0,0,2,6,1,1
Aston Villa,Harvey Elliott,harvey elliott,0,0,1,4,0,0,0,0,1,1,1,4,1,1
Aston Villa,Tammy Abraham,tammy abraham,0,0,1,3,0,0,1,1,0,0,1,3,1,1
Aston Villa,George Hemmings,george hemmings,0,0,1,2,0,0,0,0,0,0,1,2,0,0
Aston Villa,Ross Barkley,ross barkley,0,0,0,1,0,0,1,1,0,0,0,1,1,1
Aston Villa,Leon Bailey,leon bailey,0,0,0,5,0,0,1,1,0,0,0,5,1,1
Aston Villa,Andrés García,andres garcia,0,0,0,1,0,0,0,1,0,0,0,1,0,1
Aston Villa,Jamaldeen Jimoh,jamaldeen jimoh,0,0,0,1,0,0,0,0,0,1,0,1,0,1
Aston Villa,Kadan Young,kadan young,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Bournemouth,Djordje Petrovic,djordje petrovic,0,0,0,0,0,0,1,1,1,1,0,0,2,2
Bournemouth,Bafodé Diakité,bafode diakite,0,0,0,0,0,0,1,1,1,1,0,0,2,2
Bournemouth,James Hill,james hill,0,0,0,0,0,0,1,1,1,1,0,0,2,2
Bournemouth,Julio Soler,julio soler,0,0,0,0,0,0,1,1,1,1,0,0,2,2
Bournemouth,Junior Kroupi,junior kroupi,0,0,0,0,0,0,1,1,1,1,0,0,2,2
Bournemouth,Alex Scott,alex scott,0,0,0,0,0,0,1,1,1,1,0,0,2,2
Bournemouth,Amine Adli,amine adli,0,0,0,0,0,0,1,1,1,1,0,0,2,2
Bournemouth,Adam Smith,adam smith,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Bournemouth,Lewis Cook,lewis cook,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Bournemouth,Enes Ünal,enes unal,0,0,0,0,0,0,1,1,0,0,0,0,1,1
