squad,player,norm_key,ucl_starts,ucl_apps,uel_starts,uel_apps,conf_starts,conf_apps,euro_starts,euro_apps,cup_starts,cup_apps
Club Brugge,Brandon Mechele,brandon mechele,10,10,0,0,0,0,10,10,0,0
Club Brugge,Joel Ordóñez,joel ordonez,10,10,0,0,0,0,10,10,0,0
Club Brugge,Hans Vanaken,hans vanaken,10,10,0,0,0,0,10,10,0,0
Club Brugge,Aleksandar Stankovic,aleksandar stankovic,10,10,0,0,0,0,10,10,0,0
Club Brugge,Carlos Forbs,carlos forbs,9,9,0,0,0,0,9,9,0,0
Club Brugge,Kyriani Sabbe,kyriani sabbe,8,9,0,0,0,0,8,9,0,0
Club Brugge,Christos Tzolis,christos tzolis,8,9,0,0,0,0,8,9,0,0
Club Brugge,Joaquin Seys,joaquin seys,8,9,0,0,0,0,8,9,0,0
Club Brugge,Nicolo Tresoldi,nicolo tresoldi,7,10,0,0,0,0,7,10,0,0
Club Brugge,Raphael Onyedika,raphael onyedika,6,6,0,0,0,0,6,6,0,0
Club Brugge,Nordin Jackers,nordin jackers,5,6,0,0,0,0,5,6,0,0
Club Brugge,Simon Mignolet,simon mignolet,4,4,0,0,0,0,4,4,0,0
Club Brugge,Mamadou Diakhon,mamadou diakhon,3,9,0,0,0,0,3,9,0,0
Club Brugge,Romeo Vermant,romeo vermant,3,8,0,0,0,0,3,8,0,0
Club Brugge,Bjorn Meijer,bjorn meijer,2,7,0,0,0,0,2,7,0,0
Club Brugge,Hugo Vetlesen,hugo vetlesen,2,7,0,0,0,0,2,7,0,0
Club Brugge,Hugo Siquet,hugo siquet,2,6,0,0,0,0,2,6,0,0
Club Brugge,Lynnt Audoor,lynnt audoor,1,3,0,0,0,0,1,3,0,0
Club Brugge,Cisse Sandra,cisse sandra,1,3,0,0,0,0,1,3,0,0
Club Brugge,Dani van den Heuvel,dani van den heuvel,1,1,0,0,0,0,1,1,0,0
Club Brugge,Jorne Spileers,jorne spileers,0,4,0,0,0,0,0,4,0,0
Club Brugge,Zaid Romero,zaid romero,0,2,0,0,0,0,0,2,0,0
Club Brugge,Shandre Campbell,shandre campbell,0,3,0,0,0,0,0,3,0,0
Club Brugge,Kaye Furo,kaye furo,0,1,0,0,0,0,0,1,0,0
Club Brugge,Felix Lemarechal,felix lemarechal,0,2,0,0,0,0,0,2,0,0
Club Brugge,Gustaf Nilsson,gustaf nilsson,0,1,0,0,0,0,0,1,0,0
Genk,Matte Smets,matte smets,0,0,12,12,0,0,12,12,0,0
Genk,Bryan Heynen,bryan heynen,0,0,12,12,0,0,12,12,0,0
Genk,Mujaid Sadick,mujaid sadick,0,0,10,11,0,0,10,11,0,0
Genk,Zakaria El Ouahdi,zakaria el ouahdi,0,0,9,9,0,0,9,9,0,0
Genk,Daan Heymans,daan heymans,0,0,9,10,0,0,9,10,0,0
Genk,Joris Kayembe,joris kayembe,0,0,8,9,0,0,8,9,0,0
Genk,Konstantinos Karetsas,konstantinos karetsas,0,0,8,11,0,0,8,11,0,0
Genk,Oh Hyeon-Gyu,oh hyeon-gyu,0,0,7,8,0,0,7,8,0,0
Genk,Hendrik van Crombrugge,hendrik van crombrugge,0,0,6,6,0,0,6,6,0,0
Genk,Ibrahima Bangoura,ibrahima bangoura,0,0,6,9,0,0,6,9,0,0
Genk,Patrik Hrosovský,patrik hrosovsky,0,0,6,6,0,0,6,6,0,0
Genk,Yaimar Medina,yaimar medina,0,0,6,11,0,0,6,11,0,0
Genk,Tobias Lawal,tobias lawal,0,0,6,6,0,0,6,6,0,0
Genk,Junya Ito,junya ito,0,0,5,6,0,0,5,6,0,0
Genk,Jarne Steuckers,jarne steuckers,0,0,4,8,0,0,4,8,0,0
Genk,Yira Sor,yira sor,0,0,4,11,0,0,4,11,0,0
Genk,Aaron Bibout,aaron bibout,0,0,4,6,0,0,4,6,0,0
Genk,Ken Nkuba Tshiend,ken nkuba tshiend,0,0,3,5,0,0,3,5,0,0
Genk,Noah Adedeji-Sternberg,noah adedeji-sternberg,0,0,2,7,0,0,2,7,0,0
Genk,Josué Ndenge,josue ndenge,0,0,2,3,0,0,2,3,0,0
Genk,Nikolas Sattlberger,nikolas sattlberger,0,0,1,7,0,0,1,7,0,0
Genk,Robin Mirisola,robin mirisola,0,0,1,7,0,0,1,7,0,0
Genk,Adrian Palacios,adrian palacios,0,0,1,2,0,0,1,2,0,0
Genk,Jusef Erabi,jusef erabi,0,0,0,5,0,0,0,5,0,0
Union SG,Kjell Scherpen,kjell scherpen,8,8,0,0,0,0,8,8,0,0
Union SG,Christian Burgess,christian burgess,8,8,0,0,0,0,8,8,0,0
Union SG,Kevin Mac Allister,kevin mac allister,8,8,0,0,0,0,8,8,0,0
Union SG,Adem Zorgane,adem zorgane,8,8,0,0,0,0,8,8,0,0
