squad,player,norm_key,ucl_starts,ucl_apps,uel_starts,uel_apps,conf_starts,conf_apps,pokal_starts,pokal_apps,euro_starts,euro_apps,cup_starts,cup_apps
Augsburg,Finn Dahmen,finn dahmen,0,0,0,0,0,0,1,1,0,0,1,1
Augsburg,Keven Schlotterbeck,keven schlotterbeck,0,0,0,0,0,0,1,2,0,0,1,2
Augsburg,Jeffrey Gouweleeuw,jeffrey gouweleeuw,0,0,0,0,0,0,1,1,0,0,1,1
Augsburg,Dimitris Giannoulis,dimitris giannoulis,0,0,0,0,0,0,1,2,0,0,1,2
Augsburg,Chrislain Matsima,chrislain matsima,0,0,0,0,0,0,2,2,0,0,2,2
Augsburg,Kristijan Jakic,kristijan jakic,0,0,0,0,0,0,2,2,0,0,2,2
Augsburg,Han-Noah Massengo,han-noah massengo,0,0,0,0,0,0,1,1,0,0,1,1
Augsburg,Mert Kömür,mert komur,0,0,0,0,0,0,1,2,0,0,1,2
Augsburg,Marius Wolf,marius wolf,0,0,0,0,0,0,2,2,0,0,2,2
Augsburg,Steve Mounié,steve mounie,0,0,0,0,0,0,1,1,0,0,1,1
Augsburg,Phillip Tietz,phillip tietz,0,0,0,0,0,0,2,2,0,0,2,2
Augsburg,Samuel Essende,samuel essende,0,0,0,0,0,0,0,2,0,0,0,2
Augsburg,Cédric Zesiger,cedric zesiger,0,0,0,0,0,0,1,2,0,0,1,2
Augsburg,Elias Saad,elias saad,0,0,0,0,0,0,0,1,0,0,0,1
Augsburg,Robin Fellhauer,robin fellhauer,0,0,0,0,0,0,1,2,0,0,1,2
Augsburg,Nediljko Labrovic,nediljko labrovic,0,0,0,0,0,0,1,1,0,0,1,1
Augsburg,Elvis Rexhbecaj,elvis rexhbecaj,0,0,0,0,0,0,1,1,0,0,1,1
Augsburg,Anton Kade,anton kade,0,0,0,0,0,0,1,1,0,0,1,1
Augsburg,Ismaël Gharbi,ismael gharbi,0,0,0,0,0,0,1,1,0,0,1,1
Augsburg,Fabian Rieder,fabian rieder,0,0,0,0,0,0,1,1,0,0,1,1
Augsburg,Alexis Claude-Maurice,alexis claude-maurice,0,0,0,0,0,0,0,1,0,0,0,1
Bayern Munich,Aleksandar Pavlovic,aleksandar pavlovic,14,14,0,0,0,0,6,6,14,14,6,6
Bayern Munich,Jonathan Tah,jonathan tah,13,14,0,0,0,0,6,6,13,14,6,6
Bayern Munich,Joshua Kimmich,joshua kimmich,13,13,0,0,0,0,6,6,13,13,6,6
Bayern Munich,Dayot Upamecano,dayot upamecano,12,12,0,0,0,0,5,5,12,12,5,5
Bayern Munich,Harry Kane,harry kane,12,13,0,0,0,0,6,6,12,13,6,6
Bayern Munich,Luis Díaz,luis diaz,12,12,0,0,0,0,6,6,12,12,6,6
Bayern Munich,Michael Olise,michael olise,12,13,0,0,0,0,6,6,12,13,6,6
Bayern Munich,Manuel Neuer,manuel neuer,11,11,0,0,0,0,3,3,11,11,3,3
Bayern Munich,Josip Stanisic,josip stanisic,10,10,0,0,0,0,5,6,10,10,5,6
Bayern Munich,Konrad Laimer,konrad laimer,10,11,0,0,0,0,4,6,10,11,4,6
Bayern Munich,Serge Gnabry,serge gnabry,7,11,0,0,0,0,2,4,7,11,2,4
Bayern Munich,Lennart Karl,lennart karl,6,8,0,0,0,0,2,4,6,8,2,4
Bayern Munich,Raphaël Guerreiro,raphael guerreiro,4,7,0,0,0,0,1,3,4,7,1,3
Bayern Munich,Kim Min-Jae,kim min-jae,3,8,0,0,0,0,1,3,3,8,1,3
Bayern Munich,Nicolas Jackson,nicolas jackson,3,10,0,0,0,0,0,1,3,10,0,1
Bayern Munich,Tom Bischof,tom bischof,3,10,0,0,0,0,0,1,3,10,0,1
Bayern Munich,Jonas Urbig,jonas urbig,3,3,0,0,0,0,3,3,3,3,3,3
Bayern Munich,Jamal Musiala,jamal musiala,3,6,0,0,0,0,2,3,3,6,2,3
Bayern Munich,Leon Goretzka,leon goretzka,1,10,0,0,0,0,0,6,1,10,0,6
Bayern Munich,Alphonso Davies,alphonso davies,1,8,0,0,0,0,1,2,1,8,1,2
Bayern Munich,Hiroki Ito,hiroki ito,1,4,0,0,0,0,0,3,1,4,0,3
Bayern Munich,Sacha Boey,sacha boey,0,3,0,0,0,0,1,2,0,3,1,2
Bayern Munich,Wisdom Mike,wisdom mike,0,1,0,0,0,0,0,0,0,1,0,0
Bayern Munich,Filip Pavic,filip pavic,0,1,0,0,0,0,0,0,0,1,0,0
Bayern Munich,Deniz Ofli,deniz ofli,0,1,0,0,0,0,0,0,0,1,0,0
Dortmund,Gregor Kobel,gregor kobel,10,10,0,0,0,0,3,3,10,10,3,3
Dortmund,Waldemar Anton,waldemar anton,9,9,0,0,0,0,3,3,9,9,3,3
Dortmund,Ramy Bensebaini,ramy bensebaini,9,9,0,0,0,0,1,2,9,9,1,2
Dortmund,Felix Nmecha,felix nmecha,9,10,0,0,0,0,2,3,9,10,2,3
Dortmund,Serhou Guirassy,serhou guirassy,9,10,0,0,0,0,1,3,9,10,1,3
Dortmund,Daniel Svensson,daniel svensson,8,9,0,0,0,0,3,3,8,9,3,3
Dortmund,Maximilian Beier,maximilian beier,7,9,0,0,0,0,2,3,7,9,2,3
Dortmund,Jobe Bellingham,jobe bellingham,7,10,0,0,0,0,2,3,7,10,2,3
Dortmund,Julian Ryerson,julian ryerson,6,9,0,0,0,0,2,2,6,9,2,2
Dortmund,Julian Brandt,julian brandt,6,9,0,0,0,0,1,3,6,9,1,3
Dortmund,Nico Schlotterbeck,nico schlotterbeck,6,7,0,0,0,0,2,2,6,7,2,2
Dortmund,Yan Couto,yan couto,5,7,0,0,0,0,1,1,5,7,1,1
Dortmund,Karim Adeyemi,karim adeyemi,5,9,0,0,0,0,2,2,5,9,2,2
Dortmund,Marcel Sabitzer,marcel sabitzer,4,6,0,0,0,0,2,2,4,6,2,2
Dortmund,Fábio Silva,fabio silva,2,9,0,0,0,0,1,2,2,9,1,2
Dortmund,Aaron Anselmino,aaron anselmino,2,3,0,0,0,0,1,1,2,3,1,1
Dortmund,Emre Can,emre can,2,6,0,0,0,0,1,1,2,6,1,1
Dortmund,Niklas Süle,niklas sule,1,1,0,0,0,0,0,1,1,1,0,1
Dortmund,Carney Chukwuemeka,carney chukwuemeka,1,8,0,0,0,0,1,2,1,8,1,2
Dortmund,Filippo Mané,filippo mane,1,1,0,0,0,0,1,1,1,1,1,1
Dortmund,Luca Reggiani,luca reggiani,1,1,0,0,0,0,0,0,1,1,0,0
Dortmund,Pascal Gross,pascal gross,0,3,0,0,0,0,1,2,0,3,1,2
Dortmund,Salih Özcan,salih ozcan,0,0,0,0,0,0,0,1,0,0,0,1
Frankfurt,Arthur Theate,arthur theate,8,8,0,0,0,0,1,1,8,8,1,1
Frankfurt,Robin Koch,robin koch,8,8,0,0,0,0,2,2,8,8,2,2
Frankfurt,Nathaniel Brown,nathaniel brown,8,8,0,0,0,0,1,1,8,8,1,1
Frankfurt,Ansgar Knauff,ansgar knauff,7,8,0,0,0,0,1,2,7,8,1,2
Frankfurt,Hugo Larsson,hugo larsson,6,7,0,0,0,0,2,2,6,7,2,2
Frankfurt,Ritsu Doan,ritsu doan,6,7,0,0,0,0,2,2,6,7,2,2
Frankfurt,Michael Zetterer,michael zetterer,5,5,0,0,0,0,1,1,5,5,1,1
Frankfurt,Nnamdi Collins,nnamdi collins,5,6,0,0,0,0,1,1,5,6,1,1
Frankfurt,Farès Chaïbi,fares chaibi,5,8,0,0,0,0,2,2,5,8,2,2
Frankfurt,Mario Götze,mario gotze,5,7,0,0,0,0,1,1,5,7,1,1
Frankfurt,Jonathan Burkardt,jonathan burkardt,4,5,0,0,0,0,2,2,4,5,2,2
Frankfurt,Ellyes Skhiri,ellyes skhiri,4,8,0,0,0,0,0,1,4,8,0,1
Frankfurt,Rasmus Kristensen,rasmus kristensen,4,4,0,0,0,0,2,2,4,4,2,2
