squad,player,norm_key,ucl_starts,ucl_apps,uel_starts,uel_apps,conf_starts,conf_apps,beker_starts,beker_apps,euro_starts,euro_apps,cup_starts,cup_apps
AZ Alkmaar,Sven Mijnans,sven mijnans,0,0,0,0,11,11,0,0,11,11,0,0
AZ Alkmaar,Alexandre Penetra,alexandre penetra,0,0,0,0,10,10,0,0,10,10,0,0
AZ Alkmaar,Wouter Goes,wouter goes,0,0,0,0,10,10,0,0,10,10,0,0
AZ Alkmaar,Peer Koopmeiners,peer koopmeiners,0,0,0,0,10,10,0,0,10,10,0,0
AZ Alkmaar,Mees De Wit,mees de wit,0,0,0,0,9,11,0,0,9,11,0,0
AZ Alkmaar,Troy Parrott,troy parrott,0,0,0,0,9,10,0,0,9,10,0,0
AZ Alkmaar,Rome-Jayden Owusu-Oduro,rome-jayden owusu-oduro,0,0,0,0,8,8,0,0,8,8,0,0
AZ Alkmaar,Weslley Patati,weslley patati,0,0,0,0,8,10,0,0,8,10,0,0
AZ Alkmaar,Kees Smit,kees smit,0,0,0,0,8,10,0,0,8,10,0,0
AZ Alkmaar,Isak Jensen,isak jensen,0,0,0,0,6,11,0,0,6,11,0,0
AZ Alkmaar,Ro-Zangelo Daal,ro-zangelo daal,0,0,0,0,5,9,0,0,5,9,0,0
AZ Alkmaar,Mateo Chávez,mateo chavez,0,0,0,0,5,7,0,0,5,7,0,0
AZ Alkmaar,Ibrahim Sadiq,ibrahim sadiq,0,0,0,0,5,9,0,0,5,9,0,0
AZ Alkmaar,Denso Kasius,denso kasius,0,0,0,0,4,4,0,0,4,4,0,0
AZ Alkmaar,Elijah Dijkstra,elijah dijkstra,0,0,0,0,4,10,0,0,4,10,0,0
AZ Alkmaar,Jeroen Zoet,jeroen zoet,0,0,0,0,4,4,0,0,4,4,0,0
AZ Alkmaar,Billy Van Duijl,billy van duijl,0,0,0,0,3,4,0,0,3,4,0,0
AZ Alkmaar,Dave Kwakman,dave kwakman,0,0,0,0,2,3,0,0,2,3,0,0
AZ Alkmaar,Mexx Meerdink,mexx meerdink,0,0,0,0,2,6,0,0,2,6,0,0
AZ Alkmaar,Maxim Dekker,maxim dekker,0,0,0,0,2,3,0,0,2,3,0,0
AZ Alkmaar,Kasper Boogaard,kasper boogaard,0,0,0,0,2,4,0,0,2,4,0,0
AZ Alkmaar,Seiya Maikuma,seiya maikuma,0,0,0,0,2,2,0,0,2,2,0,0
AZ Alkmaar,Matej Sin,matej sin,0,0,0,0,1,7,0,0,1,7,0,0
AZ Alkmaar,Wassim Bouziane,wassim bouziane,0,0,0,0,1,1,0,0,1,1,0,0
AZ Alkmaar,Rion Ichihara,rion ichihara,0,0,0,0,1,1,0,0,1,1,0,0
AZ Alkmaar,Lequincio Zeefuik,lequincio zeefuik,0,0,0,0,0,3,0,0,0,3,0,0
AZ Alkmaar,Ayoub Oufkir,ayoub oufkir,0,0,0,0,0,3,0,0,0,3,0,0
AZ Alkmaar,Rio Robbemond,rio robbemond,0,0,0,0,0,1,0,0,0,1,0,0
AZ Alkmaar,Mathijs Menu,mathijs menu,0,0,0,0,0,1,0,0,0,1,0,0
AZ Alkmaar,Bendegúz Kovács,bendeguz kovacs,0,0,0,0,0,1,0,0,0,1,0,0
Ajax,Youri Baas,youri baas,8,8,0,0,0,0,0,0,8,8,0,0
Ajax,Mika Godts,mika godts,7,8,0,0,0,0,0,0,7,8,0,0
Ajax,Vitezslav Jaros,vitezslav jaros,6,6,0,0,0,0,0,0,6,6,0,0
Ajax,Owen Wijndal,owen wijndal,6,6,0,0,0,0,0,0,6,6,0,0
Ajax,Youri Regeer,youri regeer,6,8,0,0,0,0,0,0,6,8,0,0
Ajax,Davy Klaassen,davy klaassen,6,8,0,0,0,0,0,0,6,8,0,0
Ajax,Oscar Gloukh,oscar gloukh,6,8,0,0,0,0,0,0,6,8,0,0
Ajax,Kou Itakura,kou itakura,5,6,0,0,0,0,0,0,5,6,0,0
Ajax,Anton Gaaei,anton gaaei,5,7,0,0,0,0,0,0,5,7,0,0
Ajax,Kenneth Taylor,kenneth taylor,4,4,0,0,0,0,0,0,4,4,0,0
Ajax,Wout Weghorst,wout weghorst,4,5,0,0,0,0,0,0,4,5,0,0
Ajax,Josip Sutalo,josip sutalo,4,6,0,0,0,0,0,0,4,6,0,0
