squad,player,norm_key,ucl_starts,ucl_apps,uel_starts,uel_apps,conf_starts,conf_apps,copa_starts,copa_apps,euro_starts,euro_apps,cup_starts,cup_apps
Alavés,Jaime González,jaime gonzalez,0,0,0,0,0,0,3,3,0,0,3,3
Alavés,Manuel Farrando,manuel farrando,0,0,0,0,0,0,2,3,0,0,2,3
Alavés,Álvaro López,alvaro lopez,0,0,0,0,0,0,3,3,0,0,3,3
Alavés,David Cuenca Barreno,david cuenca barreno,0,0,0,0,0,0,3,3,0,0,3,3
Alavés,Fran Rodríguez,fran rodriguez,0,0,0,0,0,0,1,1,0,0,1,1
Alavés,Pedro Capó,pedro capo,0,0,0,0,0,0,2,3,0,0,2,3
Alavés,Roberto Doncel,roberto doncel,0,0,0,0,0,0,3,3,0,0,3,3
Alavés,Nahuel Arroyo,nahuel arroyo,0,0,0,0,0,0,2,3,0,0,2,3
Alavés,Edu Gallardo,edu gallardo,0,0,0,0,0,0,3,3,0,0,3,3
Alavés,Gonzalo Di Renzo,gonzalo di renzo,0,0,0,0,0,0,3,3,0,0,3,3
Alavés,Sergio Montero,sergio montero,0,0,0,0,0,0,2,3,0,0,2,3
Alavés,Luis Sánchez,luis sanchez,0,0,0,0,0,0,1,3,0,0,1,3
Alavés,Marcos Moreno,marcos moreno,0,0,0,0,0,0,1,3,0,0,1,3
Alavés,Ivan Ayllon,ivan ayllon,0,0,0,0,0,0,0,1,0,0,0,1
Alavés,Sergi Molina,sergi molina,0,0,0,0,0,0,1,3,0,0,1,3
Alavés,Raúl Fernández,raul fernandez,0,0,0,0,0,0,5,5,0,0,5,5
Alavés,Victor Parada,victor parada,0,0,0,0,0,0,2,3,0,0,2,3
Alavés,Carlos Protesoni,carlos protesoni,0,0,0,0,0,0,3,4,0,0,3,4
Alavés,Moussa Diarra,moussa diarra,0,0,0,0,0,0,2,2,0,0,2,2
Alavés,Carlos Ballestero,carlos ballestero,0,0,0,0,0,0,1,1,0,0,1,1
Alavés,Pablo Ibáñez,pablo ibanez,0,0,0,0,0,0,2,4,0,0,2,4
Alavés,Ander Guevara,ander guevara,0,0,0,0,0,0,4,5,0,0,4,5
Alavés,Abde Rebbach,abde rebbach,0,0,0,0,0,0,3,3,0,0,3,3
Alavés,Carlos Vicente,carlos vicente,0,0,0,0,0,0,3,4,0,0,3,4
Alavés,Mariano,mariano,0,0,0,0,0,0,2,2,0,0,2,2
Alavés,Jon Guridi,jon guridi,0,0,0,0,0,0,2,5,0,0,2,5
Alavés,Lander Pinillos,lander pinillos,0,0,0,0,0,0,0,1,0,0,0,1
Alavés,Youssef Lekhedim,youssef lekhedim,0,0,0,0,0,0,3,4,0,0,3,4
