squad,player,norm_key,ucl_starts,ucl_apps,uel_starts,uel_apps,conf_starts,conf_apps,taca_starts,taca_apps,leaguecup_starts,leaguecup_apps,euro_starts,euro_apps,cup_starts,cup_apps
Benfica,Anatoliy Trubin,anatoliy trubin,10,10,0,0,0,0,0,0,0,0,10,10,0,0
Benfica,Nicolás Otamendi,nicolas otamendi,10,10,0,0,0,0,0,0,0,0,10,10,0,0
Benfica,Fredrik Aursnes,fredrik aursnes,10,10,0,0,0,0,0,0,0,0,10,10,0,0
Benfica,Samuel Dahl,samuel dahl,9,9,0,0,0,0,0,0,0,0,9,9,0,0
Benfica,Amar Dedic,amar dedic,9,10,0,0,0,0,0,0,0,0,9,10,0,0
Benfica,Vangelis Pavlidis,vangelis pavlidis,9,10,0,0,0,0,0,0,0,0,9,10,0,0
Benfica,Georgiy Sudakov,georgiy sudakov,8,9,0,0,0,0,0,0,0,0,8,9,0,0
Benfica,Richard Ríos,richard rios,7,8,0,0,0,0,0,0,0,0,7,8,0,0
Benfica,Leandro Barreiro,leandro barreiro,7,9,0,0,0,0,0,0,0,0,7,9,0,0
Benfica,Tomás Araújo,tomas araujo,7,9,0,0,0,0,0,0,0,0,7,9,0,0
Benfica,Enzo Barrenechea,enzo barrenechea,6,9,0,0,0,0,0,0,0,0,6,9,0,0
Benfica,Andreas Schjelderup,andreas schjelderup,5,7,0,0,0,0,0,0,0,0,5,7,0,0
Benfica,António Silva,antonio silva,4,6,0,0,0,0,0,0,0,0,4,6,0,0
Benfica,Gianluca Prestianni,gianluca prestianni,3,5,0,0,0,0,0,0,0,0,3,5,0,0
Benfica,Dodi Lukébakio,dodi lukebakio,3,4,0,0,0,0,0,0,0,0,3,4,0,0
Benfica,Rafa Silva,rafa silva,2,2,0,0,0,0,0,0,0,0,2,2,0,0
Benfica,Franjo Ivanovic,franjo ivanovic,1,7,0,0,0,0,0,0,0,0,1,7,0,0
