squad,player,norm_key,ucl_starts,ucl_apps,uel_starts,uel_apps,conf_starts,conf_apps,coupe_starts,coupe_apps,euro_starts,euro_apps,cup_starts,cup_apps
Angers,Jack Butland,jack butland,0,0,8,8,0,0,0,0,8,8,0,0
Angers,Nicolas Raskin,nicolas raskin,0,0,8,8,0,0,0,0,8,8,0,0
Angers,Djeidi Gassama,djeidi gassama,0,0,8,8,0,0,0,0,8,8,0,0
Angers,Jayden Meghoma,jayden meghoma,0,0,7,8,0,0,0,0,7,8,0,0
Angers,James Tavernier,james tavernier,0,0,7,7,0,0,0,0,7,7,0,0
Angers,Youssef Chermiti,youssef chermiti,0,0,7,8,0,0,0,0,7,8,0,0
Angers,Nasser Djiga,nasser djiga,0,0,6,6,0,0,0,0,6,6,0,0
Angers,Max Aarons,max aarons,0,0,5,6,0,0,0,0,5,6,0,0
Angers,John Souttar,john souttar,0,0,4,5,0,0,0,0,4,5,0,0
Angers,Mohammed Diomande,mohammed diomande,0,0,4,5,0,0,0,0,4,5,0,0
Angers,Thelo Aasgaard,thelo aasgaard,0,0,4,8,0,0,0,0,4,8,0,0
Angers,Connor Barron,connor barron,0,0,4,6,0,0,0,0,4,6,0,0
Angers,Emmanuel Fernandez,emmanuel fernandez,0,0,4,4,0,0,0,0,4,4,0,0
Angers,Mikey Moore,mikey moore,0,0,3,7,0,0,0,0,3,7,0,0
Angers,Derek Cornelius,derek cornelius,0,0,2,3,0,0,0,0,2,3,0,0
Angers,Oliver Antman,oliver antman,0,0,2,5,0,0,0,0,2,5,0,0
Angers,Danilo,danilo,0,0,2,5,0,0,0,0,2,5,0,0
Angers,Bojan Miovski,bojan miovski,0,0,1,8,0,0,0,0,1,8,0,0
Angers,Joe Rothwell,joe rothwell,0,0,1,3,0,0,0,0,1,3,0,0
Angers,Findlay Curtis,findlay curtis,0,0,1,4,0,0,0,0,1,4,0,0
Angers,Dujon Sterling,dujon sterling,0,0,0,1,0,0,0,0,0,1,0,0
Angers,Oumar Pona,oumar pona,0,0,0,0,0,0,2,2,0,0,2,2
Angers,Jordan Lefort,jordan lefort,0,0,0,0,0,0,2,2,0,0,2,2
Angers,Abdoulaye Bamba,abdoulaye bamba,0,0,0,0,0,0,1,1,0,0,1,1
Angers,Florent Hanin,florent hanin,0,0,0,0,0,0,1,2,0,0,1,2
Angers,Carlens Arcus,carlens arcus,0,0,0,0,0,0,1,2,0,0,1,2
Angers,Louis Mouton,louis mouton,0,0,0,0,0,0,2,2,0,0,2,2
Angers,Pierrick Capelle,pierrick capelle,0,0,0,0,0,0,2,2,0,0,2,2
Angers,Marius Courcoul,marius courcoul,0,0,0,0,0,0,1,2,0,0,1,2
Angers,Prosper Peter,prosper peter,0,0,0,0,0,0,2,2,0,0,2,2
Angers,Amine Sbaï,amine sbai,0,0,0,0,0,0,2,2,0,0,2,2
Angers,Lilian Raolisoa,lilian raolisoa,0,0,0,0,0,0,2,2,0,0,2,2
Angers,Lanroy Machine,lanroy machine,0,0,0,0,0,0,0,2,0,0,0,2
Angers,Sidiki Cherif,sidiki cherif,0,0,0,0,0,0,0,1,0,0,0,1
Angers,Dan Sinaté,dan sinate,0,0,0,0,0,0,0,1,0,0,0,1
Angers,Emmanuel Biumla,emmanuel biumla,0,0,0,0,0,0,1,1,0,0,1,1
Angers,Jacques Ekomie,jacques ekomie,0,0,0,0,0,0,1,1,0,0,1,1
Angers,Haris Belkebla,haris belkebla,0,0,0,0,0,0,1,1,0,0,1,1
Angers,Yassin Belkhdim,yassin belkhdim,0,0,0,0,0,0,1,1,0,0,1,1
Angers,Amine Moussaoui,amine moussaoui,0,0,0,0,0,0,0,1,0,0,0,1
