squad,player,norm_key,ucl_starts,ucl_apps,uel_starts,uel_apps,conf_starts,conf_apps,coppa_starts,coppa_apps,euro_starts,euro_apps,cup_starts,cup_apps
Atalanta,Marco Carnesecchi,marco carnesecchi,10,10,0,0,0,0,3,3,10,10,3,3
Atalanta,Odilon Kossounou,odilon kossounou,10,10,0,0,0,0,0,3,10,10,0,3
Atalanta,Marten de Roon,marten de roon,10,12,0,0,0,0,4,4,10,12,4,4
Atalanta,Lorenzo Bernasconi,lorenzo bernasconi,10,10,0,0,0,0,3,4,10,10,3,4
Atalanta,Éderson,ederson,9,9,0,0,0,0,2,2,9,9,2,2
Atalanta,Berat Djimsiti,berat djimsiti,8,10,0,0,0,0,3,3,8,10,3,3
Atalanta,Davide Zappacosta,davide zappacosta,8,10,0,0,0,0,3,3,8,10,3,3
Atalanta,Isak Hien,isak hien,7,9,0,0,0,0,2,2,7,9,2,2
Atalanta,Charles De Ketelaere,charles de ketelaere,7,8,0,0,0,0,3,3,7,8,3,3
Atalanta,Gianluca Scamacca,gianluca scamacca,7,10,0,0,0,0,2,4,7,10,2,4
Atalanta,Mario Pasalic,mario pasalic,6,9,0,0,0,0,2,4,6,9,2,4
Atalanta,Raoul Bellanova,raoul bellanova,6,9,0,0,0,0,1,3,6,9,1,3
Atalanta,Ademola Lookman,ademola lookman,6,7,0,0,0,0,0,0,6,7,0,0
Atalanta,Nikola Krstovic,nikola krstovic,5,12,0,0,0,0,2,3,5,12,2,3
Atalanta,Sead Kolasinac,sead kolasinac,5,6,0,0,0,0,3,3,5,6,3,3
Atalanta,Nicola Zalewski,nicola zalewski,4,6,0,0,0,0,3,3,4,6,3,3
Atalanta,Honest Ahanor,honest ahanor,3,9,0,0,0,0,1,4,3,9,1,4
Atalanta,Yunus Musah,yunus musah,2,7,0,0,0,0,0,1,2,7,0,1
Atalanta,Giorgio Scalvini,giorgio scalvini,2,3,0,0,0,0,3,3,2,3,3,3
Atalanta,Lazar Samardzic,lazar samardzic,2,10,0,0,0,0,1,2,2,10,1,2
Atalanta,Kamaldeen Sulemana,kamaldeen sulemana,2,9,0,0,0,0,1,3,2,9,1,3
Atalanta,Marco Sportiello,marco sportiello,2,2,0,0,0,0,1,1,2,2,1,1
Atalanta,Daniel Maldini,daniel maldini,1,1,0,0,0,0,0,1,1,1,0,1
Atalanta,Marco Brescianini,marco brescianini,0,2,0,0,0,0,0,1,0,2,0,1
Atalanta,Giacomo Raspadori,giacomo raspadori,0,1,0,0,0,0,1,2,0,1,1,2
Bologna,Lewis Ferguson,lewis ferguson,0,0,12,14,0,0,2,2,12,14,2,2
Bologna,Santiago Castro,santiago castro,0,0,11,12,0,0,1,2,11,12,1,2
Bologna,Jhon Lucumí,jhon lucumi,0,0,10,10,0,0,2,2,10,10,2,2
Bologna,Remo Freuler,remo freuler,0,0,10,10,0,0,0,1,10,10,0,1
Bologna,Federico Bernardeschi,federico bernardeschi,0,0,10,13,0,0,1,2,10,13,1,2
Bologna,Lukasz Skorupski,lukasz skorupski,0,0,9,9,0,0,1,1,9,9,1,1
Bologna,Jon Rowe,jon rowe,0,0,9,12,0,0,1,1,9,12,1,1
Bologna,Nadir Zortea,nadir zortea,0,0,8,10,0,0,1,1,8,10,1,1
Bologna,Juan Miranda,juan miranda,0,0,8,10,0,0,1,1,8,10,1,1
Bologna,Nikola Moro,nikola moro,0,0,8,11,0,0,1,1,8,11,1,1
Bologna,Martin Vitík,martin vitik,0,0,7,10,0,0,1,1,7,10,1,1
Bologna,Torbjørn Heggem,torbjorn heggem,0,0,6,8,0,0,1,1,6,8,1,1
Bologna,Tommaso Pobega,tommaso pobega,0,0,6,9,0,0,0,1,6,9,0,1
Bologna,Charalampos Lykogiannis,charalampos lykogiannis,0,0,5,7,0,0,1,1,5,7,1,1
Bologna,Federico Ravaglia,federico ravaglia,0,0,5,5,0,0,1,1,5,5,1,1
Bologna,João Mário,joao mario,0,0,5,5,0,0,0,0,5,5,0,0
Bologna,Jens Odgaard,jens odgaard,0,0,4,11,0,0,1,2,4,11,1,2
Bologna,Nicolò Cambiaghi,nicolo cambiaghi,0,0,4,11,0,0,1,1,4,11,1,1
Bologna,Riccardo Orsolini,riccardo orsolini,0,0,4,13,0,0,1,1,4,13,1,1
Bologna,Nicolo Casale,nicolo casale,0,0,4,6,0,0,0,0,4,6,0,0
Bologna,Emil Holm,emil holm,0,0,3,5,0,0,1,1,3,5,1,1
Bologna,Thijs Dallinga,thijs dallinga,0,0,3,11,0,0,1,2,3,11,1,2
Bologna,Giovanni Fabbian,giovanni fabbian,0,0,2,5,0,0,1,1,2,5,1,1
Bologna,Benjamín Domínguez,benjamin dominguez,0,0,1,3,0,0,0,1,1,3,0,1
Bologna,Simon Sohm,simon sohm,0,0,0,3,0,0,0,1,0,3,0,1
Bologna,Sulemana,sulemana,0,0,0,0,0,0,1,1,0,0,1,1
Bologna,Ciro Immobile,ciro immobile,0,0,0,0,0,0,0,1,0,0,0,1
Bologna,Eivind Helland,eivind helland,0,0,0,0,0,0,0,1,0,0,0,1
Cagliari,Elia Caprile,elia caprile,0,0,0,0,0,0,2,2,0,0,2,2
Cagliari,Yerry Mina,yerry mina,0,0,0,0,0,0,1,1,0,0,1,1
Cagliari,Adam Obert,adam obert,0,0,0,0,0,0,2,2,0,0,2,2
Cagliari,Alessandro Deiola,alessandro deiola,0,0,0,0,0,0,2,3,0,0,2,3
Cagliari,Michael Folorunsho,michael folorunsho,0,0,0,0,0,0,1,1,0,0,1,1
Cagliari,Michel Adopo,michel adopo,0,0,0,0,0,0,2,3,0,0,2,3
Cagliari,Matteo Prati,matteo prati,0,0,0,0,0,0,1,2,0,0,1,2
Cagliari,Riyad Idrissi,riyad idrissi,0,0,0,0,0,0,2,3,0,0,2,3
Cagliari,Nadir Zortea,nadir zortea,0,0,0,0,0,0,1,1,0,0,1,1
Cagliari,Roberto Piccoli,roberto piccoli,0,0,0,0,0,0,1,1,0,0,1,1
Cagliari,Zito Luvumbo,zito luvumbo,0,0,0,0,0,0,2,2,0,0,2,2
Cagliari,Nicolò Cavuoti,nicolo cavuoti,0,0,0,0,0,0,1,2,0,0,1,2
Cagliari,Gabriele Zappa,gabriele zappa,0,0,0,0,0,0,1,2,0,0,1,2
Cagliari,Semih Kiliçsoy,semih kilicsoy,0,0,0,0,0,0,2,3,0,0,2,3
Cagliari,Luca Mazzitelli,luca mazzitelli,0,0,0,0,0,0,1,2,0,0,1,2
Cagliari,Sebastiano Esposito,sebastiano esposito,0,0,0,0,0,0,0,3,0,0,0,3
Cagliari,Mattia Felici,mattia felici,0,0,0,0,0,0,0,2,0,0,0,2
Cagliari,Alessandro Di Pardo,alessandro di pardo,0,0,0,0,0,0,1,2,0,0,1,2
Cagliari,Giuseppe Ciocci,giuseppe ciocci,0,0,0,0,0,0,1,1,0,0,1,1
Cagliari,Sebastiano Luperto,sebastiano luperto,0,0,0,0,0,0,2,2,0,0,2,2
Cagliari,Zé Pedro,ze pedro,0,0,0,0,0,0,1,1,0,0,1,1
Cagliari,Gennaro Borrelli,gennaro borrelli,0,0,0,0,0,0,1,2,0,0,1,2
Cagliari,Gianluca Gaetano,gianluca gaetano,0,0,0,0,0,0,2,2,0,0,2,2
Cagliari,Marko Rog,marko rog,0,0,0,0,0,0,1,1,0,0,1,1
Cagliari,Juan Rodríguez,juan rodriguez,0,0,0,0,0,0,1,1,0,0,1,1
Cagliari,Leonardo Pavoletti,leonardo pavoletti,0,0,0,0,0,0,1,1,0,0,1,1
Como,Jean Butez,jean butez,0,0,0,0,0,0,6,6,0,0,6,6
Como,Marc-Oliver Kempf,marc-oliver kempf,0,0,0,0,0,0,3,4,0,0,3,4
Como,Jacobo Ramón,jacobo ramon,0,0,0,0,0,0,5,5,0,0,5,5
Como,Alberto Moreno,alberto moreno,0,0,0,0,0,0,3,4,0,0,3,4
Como,Mërgim Vojvoda,mergim vojvoda,0,0,0,0,0,0,2,4,0,0,2,4
Como,Sergi Roberto,sergi roberto,0,0,0,0,0,0,4,4,0,0,4,4
Como,Lucas Da Cunha,lucas da cunha,0,0,0,0,0,0,5,6,0,0,5,6
Como,Nico Paz,nico paz,0,0,0,0,0,0,4,5,0,0,4,5
Como,Anastasios Douvikas,anastasios douvikas,0,0,0,0,0,0,4,6,0,0,4,6
Como,Jesús Rodriguez,jesus rodriguez,0,0,0,0,0,0,3,5,0,0,3,5
Como,Jayden Addai,jayden addai,0,0,0,0,0,0,3,4,0,0,3,4
Como,Máximo Perrone,maximo perrone,0,0,0,0,0,0,3,5,0,0,3,5
Como,Maxence Caqueret,maxence caqueret,0,0,0,0,0,0,4,6,0,0,4,6
Como,Assane Diao,assane diao,0,0,0,0,0,0,0,3,0,0,0,3
Como,Martin Baturina,martin baturina,0,0,0,0,0,0,3,5,0,0,3,5
Como,Álvaro Morata,alvaro morata,0,0,0,0,0,0,0,4,0,0,0,4
Como,Edoardo Goldaniga,edoardo goldaniga,0,0,0,0,0,0,1,1,0,0,1,1
Como,Stefan Posch,stefan posch,0,0,0,0,0,0,1,1,0,0,1,1
Como,Lorenzo Bonsignori Goggi,lorenzo bonsignori goggi,0,0,0,0,0,0,0,1,0,0,0,1
Como,Alberto Cerri,alberto cerri,0,0,0,0,0,0,0,1,0,0,0,1
Como,Nicolas Kühn,nicolas kuhn,0,0,0,0,0,0,1,2,0,0,1,2
Como,Diego Carlos,diego carlos,0,0,0,0,0,0,4,4,0,0,4,4
Como,Ignace van der Brempt,ignace van der brempt,0,0,0,0,0,0,2,3,0,0,2,3
Como,Ivan Smolcic,ivan smolcic,0,0,0,0,0,0,2,4,0,0,2,4
Como,Álex Valle,alex valle,0,0,0,0,0,0,3,3,0,0,3,3
Cremonese,Emil Audero,emil audero,0,0,0,0,0,0,1,1,0,0,1,1
Cremonese,Federico Baschirotto,federico baschirotto,0,0,0,0,0,0,1,1,0,0,1,1
Cremonese,Matteo Bianchetti,matteo bianchetti,0,0,0,0,0,0,1,1,0,0,1,1
Cremonese,Filippo Terracciano,filippo terracciano,0,0,0,0,0,0,1,1,0,0,1,1
Cremonese,Jari Vandeputte,jari vandeputte,0,0,0,0,0,0,1,1,0,0,1,1
Cremonese,Michele Collocolo,michele collocolo,0,0,0,0,0,0,1,1,0,0,1,1
Cremonese,Alberto Grassi,alberto grassi,0,0,0,0,0,0,1,1,0,0,1,1
Cremonese,Giuseppe Pezzella,giuseppe pezzella,0,0,0,0,0,0,1,1,0,0,1,1
Cremonese,Alessio Zerbin,alessio zerbin,0,0,0,0,0,0,1,1,0,0,1,1
Cremonese,Federico Bonazzoli,federico bonazzoli,0,0,0,0,0,0,1,1,0,0,1,1
Cremonese,Manuel De Luca,manuel de luca,0,0,0,0,0,0,1,1,0,0,1,1
Cremonese,Romano Floriani,romano floriani,0,0,0,0,0,0,0,1,0,0,0,1
Cremonese,David Okereke,david okereke,0,0,0,0,0,0,0,1,0,0,0,1
Cremonese,Franco Vázquez,franco vazquez,0,0,0,0,0,0,0,1,0,0,0,1
Cremonese,Dennis Johnsen,dennis johnsen,0,0,0,0,0,0,0,1,0,0,0,1
Cremonese,Warren Bondo,warren bondo,0,0,0,0,0,0,0,1,0,0,0,1
Fiorentina,Cher Ndour,cher ndour,0,0,0,0,10,11,1,1,10,11,1,1
Fiorentina,Roberto Piccoli,roberto piccoli,0,0,0,0,9,10,1,1,9,10,1,1
Fiorentina,Luca Ranieri,luca ranieri,0,0,0,0,8,8,1,1,8,8,1,1
Fiorentina,Marin Pongracic,marin pongracic,0,0,0,0,8,10,0,1,8,10,0,1
Fiorentina,Pietro Comuzzo,pietro comuzzo,0,0,0,0,8,11,1,1,8,11,1,1
Fiorentina,Niccolò Fortini,niccolo fortini,0,0,0,0,7,9,1,1,7,9,1,1
Fiorentina,David de Gea,david de gea,0,0,0,0,6,7,0,0,6,7,0,0
Fiorentina,Rolando Mandragora,rolando mandragora,0,0,0,0,6,12,0,0,6,12,0,0
Fiorentina,Robin Gosens,robin gosens,0,0,0,0,6,7,0,1,6,7,0,1
Fiorentina,Dodô,dodo,0,0,0,0,6,9,0,0,6,9,0,0
Fiorentina,Nicolò Fagioli,nicolo fagioli,0,0,0,0,5,9,0,1,5,9,0,1
Fiorentina,Edin Dzeko,edin dzeko,0,0,0,0,5,5,0,0,5,5,0,0
Fiorentina,Jacopo Fazzini,jacopo fazzini,0,0,0,0,5,9,1,1,5,9,1,1
Fiorentina,Hans Nicolussi Caviglia,hans nicolussi caviglia,0,0,0,0,5,5,0,0,5,5,0,0
Fiorentina,Giovanni Fabbian,giovanni fabbian,0,0,0,0,5,6,1,1,5,6,1,1
