norm_key,name,team,n_points,gw,gh,grid
viktor gyokeres,Viktor Gyökeres,Arsenal,769,12,8,4 0 0 0 14 21 14 43 18 18 54 14 0 0 0 7 25 46 29 46 54 50 46 29 7 4 4 7 14 32 39 68 54 32 71 46 25 4 7 11 29 21 25 43 71 32 57 50 21 11 7 7 21 39 39 50 61 36 100 54 7 0 4 4 14 50 43 57 68 68 57 46 4 0 4 14 21 43 32 43 32 50 61 43 0 4 0 21 11 21 29 14 57 36 29 29
bukayo saka,Bukayo Saka,Arsenal,1195,12,8,4 15 25 31 51 61 36 90 100 100 64 25 7 12 9 28 34 36 42 52 75 69 79 49 4 10 7 24 33 25 25 34 49 63 73 57 3 6 4 9 4 13 18 7 22 16 30 19 0 4 0 3 4 6 3 4 7 7 7 7 0 0 0 0 1 1 4 4 7 0 9 1 0 0 1 1 3 1 1 3 7 6 6 4 0 0 0 0 0 0 0 0 1 1 1 3
kai havertz,Kai Havertz,Arsenal,335,12,8,0 0 0 23 38 15 46 77 85 69 54 46 0 0 0 54 15 23 38 92 23 77 38 31 15 0 8 8 15 38 23 92 77 62 77 46 15 8 0 15 15 31 0 31 23 8 54 31 8 23 23 54 8 0 31 8 8 15 15 23 8 8 8 23 54 8 15 62 23 15 15 54 0 8 8 31 23 23 15 46 62 8 15 8 0 0 0 15 23 23 38 46 100 15 15 8
gabriel martinelli,Gabriel Martinelli,Arsenal,573,12,8,7 0 0 10 14 14 14 31 14 31 34 0 7 0 7 7 14 3 10 3 17 24 14 10 3 10 7 3 7 3 7 17 14 7 14 14 7 7 0 7 0 17 14 3 34 14 21 28 0 10 14 17 14 14 14 24 41 7 28 21 0 10 10 31 10 21 24 21 45 10 34 52 14 28 17 34 28 24 24 55 45 24 66 66 0 7 3 24 28 38 45 79 100 90 69 52
gabriel jesus,Gabriel Jesus,Arsenal,265,12,8,0 8 0 0 17 17 42 33 17 25 8 25 0 0 0 0 25 8 8 33 58 75 0 8 0 0 17 25 8 50 42 42 42 33 33 50 0 8 0 0 0 8 25 25 25 25 50 42 8 8 8 17 0 25 33 33 25 25 33 42 0 8 8 25 42 8 50 42 25 42 67 58 0 0 0 33 17 8 17 83 58 17 42 42 0 0 8 8 17 25 25 25 42 25 25 100
noni madueke,Noni Madueke,Arsenal,702,12,8,2 10 12 20 40 32 54 60 72 100 62 20 6 6 4 16 14 24 24 24 36 56 62 40 0 14 8 8 12 18 16 20 24 32 62 62 2 6 0 4 0 0 8 12 4 10 28 14 2 0 2 4 10 6 2 4 2 6 8 8 2 0 2 6 2 4 2 6 8 4 12 8 0 4 2 0 2 4 0 2 10 14 18 4 0 0 0 0 4 4 8 8 16 26 8 0
leandro trossard,Leandro Trossard,Arsenal,1086,12,8,0 0 2 0 2 2 0 0 6 6 8 3 0 2 0 0 2 0 0 0 6 10 6 5 2 3 2 6 11 5 10 3 11 10 10 5 2 5 6 10 10 6 6 10 23 5 11 3 0 18 8 11 10 10 16 13 18 19 21 16 5 19 21 21 31 16 23 31 65 50 48 32 10 16 19 37 31 32 26 48 60 56 71 32 6 8 18 39 52 39 44 89 90 100 50 24
martin odegaard,Martin Ødegaard,Arsenal,955,12,8,0 0 10 21 10 15 12 40 40 33 15 6 0 6 6 6 31 31 35 77 100 67 10 6 2 12 10 40 56 48 54 92 98 81 25 10 0 8 10 29 17 40 38 38 35 19 23 2 0 6 8 48 33 21 44 38 29 15 6 2 0 2 8 25 42 23 25 31 33 12 4 12 0 2 4 6 12 8 19 27 21 15 2 0 0 2 0 4 6 4 0 4 8 4 2 2
declan rice,Declan Rice,Arsenal,2366,12,8,3 16 18 30 25 23 36 38 46 36 21 11 7 11 15 21 26 21 36 66 54 25 0 3 13 20 21 59 79 64 59 64 59 31 3 13 25 36 39 69 62 56 66 67 51 15 15 5 18 39 41 64 77 80 75 56 62 31 18 13 13 26 44 77 97 74 85 90 80 43 18 10 15 11 23 66 70 77 75 92 100 48 25 11 10 13 25 51 59 43 46 57 59 39 36 16
eberechi eze,Eberechi Eze,Arsenal,987,12,8,0 3 0 14 20 14 17 20 14 11 3 0 0 0 0 11 29 17 43 80 74 29 9 11 6 0 9 20 51 43 49 94 100 57 14 11 3 3 11 26 31 29 37 40 83 46 37 6 6 17 9 26 37 49 43 37 89 51 66 6 3 3 11 26 63 60 63 83 80 63 23 9 0 6 14 34 57 37 74 37 80 40 20 11 3 9 6 20 43 34 31 29 46 29 6 9
mikel merino,Mikel Merino,Arsenal,667,12,8,11 0 5 16 26 11 63 74 53 68 16 16 5 0 0 37 89 58 63 74 47 26 5 11 0 11 11 84 89 84 63 84 58 53 26 21 16 21 37 37 47 37 68 47 63 21 16 63 26 47 11 32 47 26 58 42 58 42 37 37 21 16 0 79 63 100 84 63 95 26 16 11 5 11 16 37 47 21 37 47 68 63 21 11 5 16 0 16 21 37 26 37 37 21 16 26
max dowman,Max Dowman,Arsenal,132,12,8,0 0 0 27 45 45 27 100 82 82 36 9 0 0 0 0 9 27 27 36 55 27 45 9 0 0 0 9 18 9 27 27 73 55 36 55 0 0 0 0 0 18 0 9 9 27 9 0 0 0 0 0 9 18 9 0 0 9 18 0 0 0 0 0 27 18 0 9 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
martin zubimendi,Martín Zubimendi,Arsenal,2023,12,8,5 11 16 22 33 34 58 69 50 22 6 3 8 11 22 42 77 58 66 77 66 14 3 6 9 22 30 72 95 80 97 100 64 23 12 3 16 44 34 75 64 67 73 73 53 17 19 17 6 33 33 73 77 72 69 70 52 16 17 6 2 16 23 42 62 55 62 62 50 20 0 6 2 2 12 14 19 16 48 58 31 9 2 3 0 6 3 6 9 5 17 9 16 5 5 2
ethan nwaneri,Ethan Nwaneri,Arsenal,138,12,8,0 0 0 0 11 0 56 22 33 0 11 11 0 11 0 33 0 33 44 78 78 33 11 0 0 22 11 56 100 78 44 22 44 44 33 0 0 0 11 11 33 11 56 11 22 11 11 11 0 0 0 11 44 33 44 44 11 33 33 0 0 0 0 0 11 0 11 0 22 11 0 11 0 0 0 11 22 0 0 0 33 22 0 0 0 0 0 11 0 0 0 0 0 0 0 0
christian norgaard,Christian Nørgaard,Arsenal,108,12,8,0 20 0 20 0 0 40 60 40 20 0 0 0 20 0 80 40 40 60 40 20 0 20 0 40 60 40 60 100 40 60 80 60 60 20 20 0 60 20 40 0 80 20 40 20 20 0 0 20 60 0 80 20 20 0 60 0 0 0 0 0 40 20 20 20 100 20 60 20 0 20 0 0 0 0 20 60 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0
reiss nelson,Reiss Nelson,Arsenal,128,12,8,0 0 0 0 14 0 29 14 29 0 14 0 0 0 0 0 29 0 0 43 14 29 14 0 0 0 29 29 29 14 0 14 0 14 0 0 0 0 0 0 29 14 14 29 29 29 0 0 0 14 0 14 0 14 29 14 29 29 29 14 0 0 14 0 57 57 57 43 57 57 14 57 0 14 14 29 29 14 29 100 57 29 29 14 0 14 0 0 14 0 14 100 71 71 29 57
gabriel magalhaes,Gabriel Magalhães,Arsenal,1734,12,8,1 1 3 3 4 3 0 3 0 3 1 0 5 5 4 3 0 5 3 4 1 3 1 0 12 13 12 19 17 21 16 13 3 5 8 5 34 30 16 40 30 29 25 13 8 0 6 25 45 56 40 79 71 73 49 32 29 3 21 16 47 60 70 100 92 65 62 60 29 10 1 4 25 47 58 87 64 43 56 55 49 9 0 0 13 21 22 18 32 13 32 23 9 6 3 0
