norm_key,name,team,n_points,gw,gh,grid
esmir bajraktarevic,Esmir Bajraktarević,PSV Eindhoven,724,12,8,16 14 12 32 47 40 51 77 93 100 33 16 5 7 9 12 23 16 28 42 56 60 33 23 2 7 7 5 21 14 16 18 23 56 32 23 0 2 4 4 11 14 12 7 9 14 11 4 0 2 9 0 4 2 7 0 9 9 14 2 0 0 5 0 4 2 0 2 2 5 2 0 2 0 0 2 0 2 2 4 7 4 2 4 2 0 0 0 0 0 0 0 2 4 0 2
ricardo pepi,Ricardo Pepi,PSV Eindhoven,540,12,8,0 12 0 4 19 12 4 4 19 12 8 4 0 4 0 4 8 19 23 15 27 4 12 19 8 4 4 4 31 35 27 27 35 27 38 15 0 8 15 15 23 31 31 35 50 27 81 31 8 15 12 46 19 27 23 12 46 69 100 50 0 12 8 31 31 19 46 46 77 58 46 23 0 0 4 31 15 19 27 46 38 27 12 4 0 0 8 31 19 23 23 27 23 27 15 4
couhaib driouech,Couhaib Driouech,PSV Eindhoven,626,12,8,0 0 0 0 0 0 0 5 3 3 0 3 0 0 0 0 0 0 3 3 5 3 0 5 0 3 0 0 3 3 0 3 8 8 3 5 0 0 0 5 11 3 8 5 3 11 11 3 3 8 11 8 3 14 14 11 19 16 19 14 0 16 16 38 19 22 16 35 32 49 65 38 11 8 22 41 46 24 49 46 89 49 78 57 5 24 24 41 54 54 46 100 84 76 41 14
ruben van bommel,Ruben van Bommel,PSV Eindhoven,274,12,8,0 5 0 0 0 0 0 10 0 5 0 0 0 0 0 0 0 0 0 0 14 0 0 0 10 0 0 0 0 5 0 0 0 0 5 0 5 0 0 0 0 0 0 0 10 0 5 5 5 5 0 0 14 0 0 24 5 10 24 10 10 10 5 14 14 0 19 29 33 29 43 33 14 5 29 33 33 29 33 52 67 19 52 14 10 10 24 29 52 33 52 100 81 76 33 14
ivan perisic,Ivan Perišić,PSV Eindhoven,1406,12,8,2 9 12 12 26 21 21 46 68 30 16 12 2 4 12 14 7 14 7 18 35 7 19 5 9 9 7 12 14 7 11 11 7 21 23 30 16 11 9 5 5 14 9 7 12 12 11 9 18 18 12 11 5 16 12 9 26 14 18 25 4 18 16 19 33 23 19 42 44 35 63 51 12 7 16 33 49 51 35 67 47 54 58 61 14 19 26 54 53 56 89 100 89 93 72 61
dennis man,Dennis Man,PSV Eindhoven,915,12,8,11 23 32 54 64 57 68 88 100 71 54 23 14 9 18 29 27 38 43 50 79 71 52 18 2 11 4 25 29 14 20 25 50 61 64 52 0 7 2 4 2 4 2 9 11 18 25 21 2 5 7 0 0 2 2 0 5 5 18 5 2 0 0 2 0 0 0 4 0 2 0 4 0 0 0 2 0 0 2 0 0 0 2 0 2 2 0 0 0 0 0 0 4 2 2 4
paul wanner,Paul Wanner,PSV Eindhoven,1134,12,8,6 10 14 20 22 20 27 27 20 20 24 12 6 10 16 31 45 20 33 63 31 31 16 10 16 14 31 33 63 57 75 100 49 37 10 18 4 12 16 33 35 37 35 35 63 41 24 10 4 20 20 39 37 39 41 57 65 27 25 0 0 6 10 14 27 29 43 51 37 33 20 10 4 4 0 10 10 12 22 18 33 18 4 10 0 0 0 4 6 4 4 6 8 8 4 4
joey veerman,Joey Veerman,PSV Eindhoven,2092,12,8,3 10 10 20 22 20 20 38 38 33 23 17 10 13 22 35 17 20 30 60 63 32 10 3 13 20 45 70 48 37 58 72 72 33 5 8 17 17 27 58 55 53 45 65 48 17 8 7 17 25 22 60 65 65 67 60 67 35 17 2 18 27 38 43 82 72 83 88 88 37 17 10 10 15 32 55 62 67 95 80 100 38 12 3 8 7 12 25 37 33 57 53 62 32 15 7
guus til,Guus Til,PSV Eindhoven,1009,12,8,0 3 3 31 46 29 51 63 71 57 63 23 0 14 11 29 71 63 51 97 100 63 60 43 14 23 31 54 43 49 49 94 97 69 57 60 20 20 17 46 34 37 34 29 31 29 80 49 14 23 14 14 26 43 17 31 20 31 63 43 0 0 11 11 14 6 17 23 43 29 11 23 0 0 0 3 11 14 11 26 31 34 20 11 0 0 0 0 0 6 9 9 29 14 17 0
alassane plea,Alassane Pléa,PSV Eindhoven,59,12,8,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 25 0 0 0 0 0 0 25 0 25 0 25 0 50 100 0 0 0 0 25 25 50 25 0 0 50 0 50 0 0 25 0 0 0 50 25 25 75 75 75 25 0 0 0 0 0 25 25 25 25 75 25 75 0 25 0 0 0 0 0 50 25 25 0 0 25 0 0 25 0 0 0 75 25 25 25 0
