squad,player,norm_key,slot,apps,slot_dist,formation,sofa_id,number
Manchester Utd,Senne Lammens,senne lammens,GK,32,"{""GK"": 32}",,964753.0,31.0
Manchester Utd,Leny Yoro,leny yoro,RCB,18,"{""RCB"": 18}",,1153315.0,
Manchester Utd,Matthijs de Ligt,matthijs de ligt,CB,9,"{""CB"": 9, ""RCB"": 4}",,803031.0,
Manchester Utd,Luke Shaw,luke shaw,LB,20,"{""LCB"": 17, ""LB"": 20, ""LM"": 1}",,190839.0,
Manchester Utd,Amad Diallo,amad diallo,RCM,12,"{""RM"": 10, ""RDM"": 1, ""LDM"": 3, ""RCM"": 12, ""LCM"": 1}",,971037.0,16.0
Manchester Utd,Casemiro,casemiro,RDM,15,"{""RCM"": 13, ""LCM"": 2, ""RDM"": 15, ""LDM"": 3}",,122951.0,18.0
Manchester Utd,Bruno Fernandes,bruno fernandes,CM,18,"{""LCM"": 15, ""RCM"": 2, ""CM"": 18}",,288205.0,8.0
Manchester Utd,Diogo Dalot,diogo dalot,RB,16,"{""LM"": 9, ""RM"": 4, ""RB"": 16}",,843200.0,2.0
Manchester Utd,Bryan Mbeumo,bryan mbeumo,RDM,15,"{""RDM"": 15, ""LDM"": 1, ""ST"": 8, ""LCM"": 2, ""RCM"": 5}",,,
Manchester Utd,Matheus Cunha,matheus cunha,LCM,12,"{""LDM"": 6, ""ST"": 9, ""LCM"": 12, ""CM"": 1, ""RCM"": 1}",,886363.0,10.0
Manchester Utd,Benjamin Šeško,benjamin sesko,ST,17,"{""ST"": 17}",,986397.0,30.0
Manchester Utd,Harry Maguire,harry maguire,RCB,10,"{""CB"": 4, ""RCB"": 10, ""LCB"": 5}",,,
Manchester Utd,Noussair Mazraoui,noussair mazraoui,RM,4,"{""RM"": 4, ""RCB"": 3, ""RB"": 4}",,847030.0,3.0
Manchester Utd,Patrick Dorgu,patrick dorgu,LM,8,"{""LM"": 8, ""RCM"": 1, ""LCM"": 5, ""RDM"": 1}",,1397168.0,13.0
Manchester Utd,Joshua Zirkzee,joshua zirkzee,ST,4,"{""ST"": 4, ""RCM"": 1}",,,
Manchester Utd,Mason Mount,mason mount,LDM,8,"{""LDM"": 8, ""RDM"": 3, ""CM"": 1}",,,
Manchester Utd,Ayden Heaven,ayden heaven,CB,5,"{""CB"": 5, ""RCB"": 3, ""LCB"": 3}",,,
