player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,tm_photo
Adjani Mujangi Bia,Anderlecht,MF,15,2,0.0,0.0,0.0,0.0,,,,,,,,adjani mujangi bia,,,,,,
Adriano Bertaccini,Anderlecht,"MF,FW",24,1545,0.35,0.06,3.55,1.46,1.221,0.233,0.465,1.047,0.814,0.058,,adriano bertaccini,2029-06-30,364896,2026-07-07T15:50:45,2025-08-01,,https://img.a.transfermarkt.technology/portrait/medium/364896-1713353059.png?lm=1
Alexander De Ridder,Anderlecht,MF,17,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,alexander de ridder,,,,,,
Ali Maamar,Anderlecht,DF,20,1368,0.0,0.26,0.86,0.0,2.105,1.25,1.316,1.513,1.118,0.197,,ali maamar,2028-06-30,920585,2026-07-07T15:50:45,2025-01-16,,https://img.a.transfermarkt.technology/portrait/medium/920585-1691997804.jpg?lm=1
Anas Tajaouart,Anderlecht,MF,19,45,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,anas tajaouart,2029-06-30,1113308,2026-07-07T15:50:45,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/1113308-1691997287.jpg?lm=1
Basile Vroninks,Anderlecht,DF,18,45,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,0.0,,basile vroninks,,,,,,
Coba da Costa,Anderlecht,MF,23,147,0.0,0.0,1.22,0.61,2.5,1.875,1.875,2.5,2.5,0.0,,coba da costa,,,,,,
Colin Coosemans,Anderlecht,GK,32,3420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,colin coosemans,2028-06-30,154351,2026-07-07T15:50:45,2021-07-01,,https://img.a.transfermarkt.technology/portrait/medium/154351-1705415837.jpg?lm=1
César Huerta,Anderlecht,"MF,FW",24,540,0.17,0.0,2.67,1.0,1.833,0.5,1.833,2.167,1.333,0.0,,cesar huerta,2029-06-30,540315,2026-07-07T15:50:45,2025-01-10,,https://img.a.transfermarkt.technology/portrait/medium/540315-1722760933.jpg?lm=1
Danylo Sikan,Anderlecht,FW,24,410,0.44,0.22,3.07,2.2,0.217,0.217,0.652,3.043,1.739,0.217,,danylo sikan,2030-06-30,417228,2026-07-07T15:50:45,2026-01-21,,https://img.a.transfermarkt.technology/portrait/medium/417228-1756296842.png?lm=1
Enric Llansana,Anderlecht,MF,24,1710,0.0,0.05,0.95,0.05,0.263,1.0,2.421,2.579,0.947,0.053,,enric llansana,2029-06-30,412945,2026-07-07T15:50:45,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/412945-1690212386.jpg?lm=1
Ibrahim Kanaté,Anderlecht,FW,18,362,0.5,0.0,2.98,1.24,4.25,0.5,2.5,1.25,1.5,0.75,,ibrahim kanate,,,,,,
Ilay Camara,Anderlecht,"DF,MF",22,1303,0.14,0.07,1.04,0.48,2.552,1.862,0.966,1.793,0.828,0.276,,ilay camara,2030-06-30,570781,2026-07-07T15:50:45,2025-07-05,,https://img.a.transfermarkt.technology/portrait/medium/570781-1779366722.jpg?lm=1
Jan-Carlo Simic,Anderlecht,DF,20,177,0.0,0.0,0.51,0.0,0.0,2.0,2.0,0.5,1.0,0.0,,jan-carlo simic,,,,,,
Joshua Bethume,Anderlecht,MF,16,36,0.0,0.0,5.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,,joshua bethume,,,,,,
Justin Heekeren,Anderlecht,GK,24,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,justin heekeren,2029-06-30,453770,2026-07-07T15:50:45,2026-01-20,,https://img.a.transfermarkt.technology/portrait/medium/453770-1730797362.jpg?lm=1
Kasper Dolberg,Anderlecht,FW,27,123,0.0,0.0,5.12,2.93,0.0,0.0,0.0,0.0,0.714,0.0,,kasper dolberg,,,,,,
Killian Sardella,Anderlecht,DF,23,2041,0.0,0.04,1.01,0.26,2.115,0.881,0.881,1.278,0.705,0.044,,killian sardella,2028-06-30,454336,2026-07-07T15:50:45,2019-07-01,,https://img.a.transfermarkt.technology/portrait/medium/454336-1660676236.jpg?lm=1
Lucas Hey,Anderlecht,DF,22,2516,0.0,0.0,0.36,0.04,0.071,1.036,0.679,0.893,0.714,0.0,,lucas hey,2029-06-30,728924,2026-07-07T15:50:45,2025-01-21,,https://img.a.transfermarkt.technology/portrait/medium/728924-1684943150.jpg?lm=1
Ludwig Augustinsson,Anderlecht,DF,31,2073,0.0,0.13,0.91,0.13,3.652,0.826,1.13,1.13,0.391,0.13,,ludwig augustinsson,2027-06-30,170646,2026-07-07T15:50:45,2024-08-06,,https://img.a.transfermarkt.technology/portrait/medium/170646-1693900836.jpg?lm=1
Luis Vázquez,Anderlecht,FW,24,691,0.26,0.0,2.87,1.3,0.39,0.0,0.649,0.909,1.169,0.779,,luis vazquez,2028-06-30,844516,2026-07-07T15:50:45,2023-07-26,,https://img.a.transfermarkt.technology/portrait/medium/844516-1699907027.jpg?lm=1
Marco Kana,Anderlecht,"DF,MF",22,2039,0.0,0.0,0.4,0.09,0.0,1.013,0.485,1.101,0.176,0.0,,marco kana,2028-06-30,486051,2026-07-07T15:50:45,2019-07-01,,https://img.a.transfermarkt.technology/portrait/medium/486051-1660720218.jpg?lm=1
Mario Stroeykens,Anderlecht,MF,20,810,0.11,0.0,1.78,0.33,1.111,0.778,0.667,0.889,0.889,0.0,,mario stroeykens,2028-06-30,588866,2026-07-07T15:50:45,2021-01-01,,https://img.a.transfermarkt.technology/portrait/medium/588866-1760423610.jpg?lm=1
Mathys Angély,Anderlecht,DF,18,280,0.0,0.0,0.32,0.0,0.0,0.323,1.613,0.645,0.645,0.0,,mathys angely,,,,,,
Mats Rits,Anderlecht,MF,32,90,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,mats rits,,,,,,
Mihajlo Cvetković,Anderlecht,"FW,MF",18,1622,0.5,0.11,2.33,1.22,0.111,0.333,0.5,1.833,1.611,0.5,,mihajlo cvetkovic,2029-06-30,897510,2026-07-07T15:50:45,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/897510-1735138525.png?lm=1
Mihajlo Ilić,Anderlecht,DF,22,769,0.0,0.0,0.47,0.12,0.118,1.176,0.824,1.412,0.588,0.235,,mihajlo ilic,,,,,,
Moussa Diarra,Anderlecht,DF,24,966,0.0,0.0,0.47,0.09,0.654,1.869,0.467,1.495,1.495,0.093,,moussa diarra,,,,,,
Moussa N'Diaye,Anderlecht,DF,23,975,0.0,0.0,0.92,0.09,0.648,1.852,1.481,0.926,1.852,0.0,,moussa n'diaye,,,,,,
