player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,tm_photo
Aiman Dardari,Augsburg,MF,20,34,0.0,0.0,2.65,0.0,0.0,0.0,0.0,2.5,2.5,0.0,,aiman dardari,,,,,,
Alexis Claude-Maurice,Augsburg,"MF,FW",27,2097,0.17,0.17,3.05,1.12,2.79,0.343,1.116,0.987,1.803,0.043,,alexis claude-maurice,2027-06-30,384593,2026-07-03T17:44:21,2024-08-30,,https://img.a.transfermarkt.technology/portrait/medium/384593-1755201378.jpg?lm=1
Anton Kade,Augsburg,"MF,FW",21,1743,0.31,0.0,2.48,1.08,1.134,0.67,0.722,1.031,0.928,0.515,,anton kade,2029-06-30,654234,2026-07-03T17:44:21,2025-08-25,,https://img.a.transfermarkt.technology/portrait/medium/654234-1773671161.jpg?lm=1
Arne Maier,Augsburg,MF,26,4,0.0,0.0,0.0,0.0,,,,,,,,arne maier,,,,,,
Arthur Chaves,Augsburg,DF,24,829,0.22,0.0,0.43,0.22,0.109,0.87,1.413,0.87,0.87,0.0,,arthur chaves,,,,,,
Cedric Zesiger,Augsburg,DF,27,1816,0.0,0.0,0.59,0.15,1.683,0.842,1.188,0.891,0.792,0.0,,cedric zesiger,,,,,,
Chrislain Matsima,Augsburg,DF,23,1489,0.06,0.06,0.42,0.06,0.242,1.818,0.667,0.606,0.242,0.0,,chrislain matsima,2030-06-30,569383,2026-07-03T17:44:21,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/569383-1755200922.jpg?lm=1
Dimitris Giannoulis,Augsburg,MF,29,1888,0.1,0.24,0.48,0.29,4.714,1.0,0.952,0.762,0.952,0.19,,dimitris giannoulis,,,,,,
Elias Saad,Augsburg,"MF,FW",25,497,0.0,0.0,1.09,0.54,1.636,0.182,1.455,1.455,2.182,0.727,,elias saad,2029-06-30,526466,2026-07-03T17:44:21,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/526466-1755201952.jpg?lm=1
Elvis Rexhbeçaj,Augsburg,MF,27,1118,0.16,0.0,0.89,0.4,1.29,0.323,0.645,1.048,1.29,0.081,,elvis rexhbecaj,,,,,,
Fabian Rieder,Augsburg,MF,23,2343,0.15,0.12,1.46,0.5,4.462,0.5,0.769,1.731,1.462,0.077,,fabian rieder,2030-06-30,507341,2026-07-03T17:44:21,2025-09-01,,https://img.a.transfermarkt.technology/portrait/medium/507341-1773671220.jpg?lm=1
Finn Dahmen,Augsburg,GK,27,3060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,finn dahmen,2027-06-30,251299,2026-07-03T17:44:21,2023-07-01,,https://img.a.transfermarkt.technology/portrait/medium/251299-1755200500.jpg?lm=1
Han-Noah Massengo,Augsburg,MF,24,2427,0.07,0.04,0.74,0.22,0.63,1.333,0.667,0.926,0.852,0.0,,han-noah massengo,2030-06-30,536508,2026-07-03T17:44:21,2025-07-15,,https://img.a.transfermarkt.technology/portrait/medium/536508-1755200310.jpg?lm=1
Ismaël Gharbi,Augsburg,MF,21,94,0.0,0.0,2.87,0.0,4.0,0.0,1.0,2.0,8.0,0.0,,ismael gharbi,,,,,,
Jeffrey Gouweleeuw,Augsburg,DF,34,848,0.0,0.11,0.53,0.32,0.532,1.383,1.064,0.745,0.319,0.106,,jeffrey gouweleeuw,2027-06-30,106405,2026-07-03T17:44:21,2016-01-09,,https://img.a.transfermarkt.technology/portrait/medium/106405-1755201296.jpg?lm=1
Keven Schlotterbeck,Augsburg,DF,28,2031,0.0,0.04,0.53,0.13,0.265,1.46,1.106,1.106,0.885,0.044,,keven schlotterbeck,2027-06-30,413843,2026-07-03T17:44:21,2024-07-01,,https://img.a.transfermarkt.technology/portrait/medium/413843-1755201026.jpg?lm=1
Kristijan Jakić,Augsburg,"MF,DF",28,1653,0.11,0.05,0.98,0.33,0.217,0.924,1.359,0.924,0.924,0.109,,kristijan jakic,2028-06-30,374954,2026-07-03T17:44:21,2024-07-01,,https://img.a.transfermarkt.technology/portrait/medium/374954-1755201482.jpg?lm=1
Mads Pedersen,Augsburg,MF,28,210,0.0,0.0,1.29,0.0,4.783,0.435,0.87,2.174,1.304,0.435,,mads pedersen,2027-06-30,288429,2026-07-03T17:44:21,2019-07-01,,https://img.a.transfermarkt.technology/portrait/medium/288429-1755201256.jpg?lm=1
Marius Wolf,Augsburg,MF,30,1019,0.09,0.09,1.24,0.44,3.805,1.15,0.885,0.885,0.177,0.973,,marius wolf,2027-06-30,193900,2026-07-03T17:44:21,2024-08-08,,https://img.a.transfermarkt.technology/portrait/medium/193900-1755201094.jpg?lm=1
