player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,tm_photo
Alexandre Penetra,AZ Alkmaar,DF,23.0,2844,0.06,0.03,0.51,0.06,0.222,0.918,0.918,0.633,0.728,0.063,,alexandre penetra,2028-06-30,479643,2026-07-07T15:11:27,2023-07-24,,https://img.a.transfermarkt.technology/portrait/medium/479643-1753351033.jpg?lm=1
Ayoub Oufkir,AZ Alkmaar,MF,19.0,220,0.0,0.0,2.05,1.23,2.083,1.25,1.667,2.083,2.083,0.0,,ayoub oufkir,2030-06-30,1078350,2026-07-07T15:11:27,2026-01-01,,https://img.a.transfermarkt.technology/portrait/medium/1078350-1753439011.jpg?lm=1
Bendegúz Kovács,AZ Alkmaar,FW,18.0,29,0.0,0.0,6.21,0.0,0.0,0.0,0.0,6.667,0.0,0.0,,bendeguz kovacs,,,,,,
Billy van Duijl,AZ Alkmaar,DF,19.0,585,0.15,0.0,0.46,0.15,0.615,1.231,1.538,0.462,0.462,0.0,,billy van duijl,2031-06-30,1008564,2026-07-07T15:11:27,2025-08-04,,https://img.a.transfermarkt.technology/portrait/medium/1008564-1697908829.jpg?lm=1
Dave Kwakman,AZ Alkmaar,MF,20.0,108,0.0,0.0,0.0,0.0,1.667,0.833,2.5,0.833,5.0,0.0,,dave kwakman,2029-06-30,747017,2026-07-07T15:11:27,2024-07-01,,https://img.a.transfermarkt.technology/portrait/medium/747017-1771407127.jpg?lm=1
Denso Kasius,AZ Alkmaar,DF,22.0,1219,0.15,0.15,1.85,0.59,4.0,0.519,0.889,0.667,0.667,0.0,,denso kasius,2029-06-30,577394,2026-07-07T15:11:27,2023-07-03,,https://img.a.transfermarkt.technology/portrait/medium/577394-1753350609.jpg?lm=1
Elijah Dijkstra,AZ Alkmaar,"DF,MF",18.0,1268,0.0,0.0,0.5,0.07,0.851,1.56,1.206,0.567,1.135,0.0,,elijah dijkstra,2029-06-30,957241,2026-07-07T15:11:27,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/957241-1753350414.jpg?lm=1
Ernest Poku,AZ Alkmaar,FW,21.0,76,0.0,1.18,0.0,0.0,1.25,2.5,0.0,0.0,0.0,1.25,,ernest poku,,,,,,
Hobie Verhulst,AZ Alkmaar,GK,32.0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,hobie verhulst,2028-06-30,116471,2026-07-07T15:11:27,2020-07-01,,https://img.a.transfermarkt.technology/portrait/medium/116471-1753350247.jpg?lm=1
Ibrahim Sadiq,AZ Alkmaar,"MF,FW",25.0,636,0.28,0.0,2.97,1.42,1.69,0.423,0.704,1.127,1.408,0.423,,ibrahim sadiq,2028-06-30,543501,2026-07-07T15:11:27,2023-09-01,,https://img.a.transfermarkt.technology/portrait/medium/543501-1753350943.jpg?lm=1
Isak Jensen,AZ Alkmaar,"MF,FW",21.0,2035,0.09,0.18,1.5,0.4,3.407,0.354,0.708,0.619,1.195,0.177,,isak jensen,2030-06-30,801886,2026-07-07T15:11:27,2025-07-15,,https://img.a.transfermarkt.technology/portrait/medium/801886-1753350986.jpg?lm=1
Jeroen Zoet,AZ Alkmaar,GK,34.0,919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,jeroen zoet,2027-06-30,79045,2026-07-07T15:11:27,2024-07-15,,https://img.a.transfermarkt.technology/portrait/medium/79045-1753350290.jpg?lm=1
Jizz Hornkamp,AZ Alkmaar,FW,27.0,232,0.0,0.0,1.16,0.39,0.0,0.0,0.0,1.538,0.769,0.385,,jizz hornkamp,2030-06-30,185817,2026-07-07T15:11:27,2026-01-02,,https://img.a.transfermarkt.technology/portrait/medium/185817-1764163127.png?lm=1
Jordy Clasie,AZ Alkmaar,MF,34.0,812,0.11,0.11,0.89,0.33,0.111,1.0,1.333,0.889,0.444,0.0,,jordy clasie,2028-06-30,104223,2026-07-07T15:11:27,2019-07-22,,https://img.a.transfermarkt.technology/portrait/medium/104223-1721657656.jpg?lm=1
