player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,tm_photo
Abde Rebbach,Alavés,"MF,DF",26.0,1496,0.06,0.24,2.05,0.72,6.566,0.964,1.265,2.41,1.807,0.301,,abde rebbach,2022-07-01,718034,2026-07-03T08:31:07,2022-07-01,,https://img.a.transfermarkt.technology/portrait/medium/718034-1705337308.jpg?lm=1
Aitor Mañas,Alavés,FW,22.0,122,0.0,0.0,1.48,0.74,0.0,0.714,1.429,1.429,0.714,0.0,,aitor manas,2026-05-01,935232,2026-07-03T08:31:07,2026-05-01,RENEW,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Ander Guevara,Alavés,MF,28.0,654,0.14,0.14,0.69,0.14,0.822,1.233,1.096,1.507,0.685,0.0,,ander guevara,2023-07-09,465967,2026-07-03T08:31:07,2023-07-09,,https://img.a.transfermarkt.technology/portrait/medium/465967-1705338008.jpg?lm=1
Antonio Blanco,Alavés,MF,25.0,3110,0.06,0.09,1.16,0.38,0.867,1.474,1.416,2.052,1.243,0.058,,antonio blanco,2023-07-25,495621,2026-07-03T08:31:07,2023-07-25,,https://img.a.transfermarkt.technology/portrait/medium/495621-1705337231.jpg?lm=1
Antonio Sivera,Alavés,GK,28.0,3420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,antonio sivera,2017-07-19,298197,2026-07-03T08:31:07,2017-07-19,,https://img.a.transfermarkt.technology/portrait/medium/298197-1713856039.jpg?lm=1
Calebe,Alavés,MF,25.0,752,0.0,0.0,0.6,0.12,1.905,1.071,1.667,2.143,2.262,0.0,,calebe,2025-07-22,798114,2026-07-03T08:31:07,2025-07-22,,https://img.a.transfermarkt.technology/portrait/medium/798114-1762367600.jpg?lm=1
Carles Aleñá,Alavés,MF,27.0,1989,0.0,0.18,1.31,0.23,5.475,0.543,1.086,1.719,1.629,0.045,,carles alena,2025-07-24,284854,2026-07-03T08:31:07,2025-07-24,,https://img.a.transfermarkt.technology/portrait/medium/284854-1669364902.jpg?lm=1
Carlos Ballestero,Alavés,DF,21.0,1,0.0,0.0,0.0,0.0,,,,,,,,carlos ballestero,,945760,2026-07-03T08:31:07,,,https://img.a.transfermarkt.technology/portrait/medium/945760-1733488790.jpg?lm=1
Carlos Benavídez,Alavés,DF,27.0,324,0.0,0.0,0.83,0.56,0.278,0.833,1.667,2.222,0.556,0.0,,carlos benavidez,,,,,,
Carlos Vicente,Alavés,MF,26.0,1258,0.14,0.0,0.86,0.43,9.143,0.5,1.286,0.857,3.0,0.714,,carlos vicente,2024-01-01,540536,2026-07-03T08:31:07,2024-01-01,,https://img.a.transfermarkt.technology/portrait/medium/540536-1732115480.jpg?lm=1
Denis Suárez,Alavés,MF,31.0,1406,0.06,0.13,0.58,0.26,2.628,0.449,0.769,1.282,1.667,0.0,,denis suarez,2025-08-29,165007,2026-07-03T08:31:07,2025-08-29,,https://img.a.transfermarkt.technology/portrait/medium/165007-1687272769.jpg?lm=1
Diego Morcillo,Alavés,FW,22.0,10,0.0,0.0,9.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,,diego morcillo,,1035156,2026-07-03T08:31:07,,,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Facundo Garcés,Alavés,DF,25.0,793,0.0,0.0,0.91,0.45,0.114,0.795,0.909,1.477,0.341,0.227,,facundo garces,2025-01-01,533354,2026-07-03T08:31:07,2025-01-01,,https://img.a.transfermarkt.technology/portrait/medium/533354-1633539030.JPG?lm=1
Ibrahim Diabaté,Alavés,FW,25.0,578,0.31,0.0,2.34,0.78,0.0,0.312,0.156,0.938,0.781,0.469,,ibrahim diabate,2026-02-02,620696,2026-07-03T08:31:07,2026-02-02,,https://img.a.transfermarkt.technology/portrait/medium/620696-1755680442.jpg?lm=1
Jon Guridi,Alavés,"MF,FW",30.0,1238,0.0,0.0,1.09,0.29,0.87,0.725,1.377,1.087,0.58,0.145,,jon guridi,2022-07-11,289257,2026-07-03T08:31:07,2022-07-11,,https://img.a.transfermarkt.technology/portrait/medium/289257-1604301765.jpg?lm=1
Jon Pacheco,Alavés,DF,24.0,1735,0.0,0.0,0.21,0.05,0.207,0.57,0.829,0.725,0.363,0.052,,jon pacheco,2025-08-25,580560,2026-07-03T08:31:07,2025-08-25,,https://img.a.transfermarkt.technology/portrait/medium/580560-1631178086.jpg?lm=1
Jonny Castro,Alavés,DF,31.0,2994,0.0,0.0,0.27,0.09,0.691,1.201,1.231,1.111,0.901,0.03,,jonny castro,,,,,,
Lander Pinillos,Alavés,MF,21.0,2,0.0,0.0,0.0,0.0,,,,,,,,lander pinillos,,895591,2026-07-03T08:31:07,,,https://img.a.transfermarkt.technology/portrait/medium/895591-1746124756.jpg?lm=1
Lucas Boyé,Alavés,FW,29.0,1958,0.37,0.05,2.9,0.97,0.459,0.321,1.147,2.661,1.789,0.459,,lucas boye,2025-08-22,334222,2026-07-03T08:31:07,2025-08-22,,https://img.a.transfermarkt.technology/portrait/medium/334222-1734010923.jpg?lm=1
Mariano,Alavés,FW,31.0,288,0.0,0.0,1.87,0.94,0.938,0.0,0.312,4.062,0.0,1.875,,mariano,,,,,,
Moussa Diarra,Alavés,DF,24.0,216,0.0,0.0,0.0,0.0,0.417,0.417,0.833,1.667,0.417,0.0,,moussa diarra,2024-07-18,694509,2026-07-03T08:31:07,2024-07-18,,https://img.a.transfermarkt.technology/portrait/medium/694509-1708555512.jpg?lm=1
Nahuel Tenaglia,Alavés,DF,29.0,3239,0.06,0.0,0.67,0.22,0.472,1.306,1.194,0.861,1.167,0.139,,nahuel tenaglia,2023-08-20,533568,2026-07-03T08:31:07,2023-08-20,,https://img.a.transfermarkt.technology/portrait/medium/533568-1647530141.jpg?lm=1
Pablo Ibáñez,Alavés,MF,26.0,2236,0.04,0.04,1.89,0.52,1.532,0.847,1.492,1.532,2.661,0.121,,pablo ibanez,2025-07-01,785353,2026-07-03T08:31:07,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/785353-1680676751.jpg?lm=1
Toni Martínez,Alavés,FW,28.0,2714,0.43,0.1,3.08,1.19,0.464,0.132,0.497,1.523,1.225,0.43,,toni martinez,2024-08-27,302371,2026-07-03T08:31:07,2024-08-27,,https://img.a.transfermarkt.technology/portrait/medium/302371-1606396665.png?lm=1
Victor Parada,Alavés,DF,23.0,2146,0.0,0.13,0.5,0.13,1.303,0.378,0.588,1.218,0.63,0.168,,victor parada,2024-07-01,591957,2026-07-03T08:31:07,2024-07-01,,https://img.a.transfermarkt.technology/portrait/medium/591957-1664570831.jpg?lm=1
Ville Koski,Alavés,DF,23.0,282,0.0,0.0,0.32,0.32,0.0,1.29,0.968,0.645,0.0,0.0,,ville koski,2026-07-01,581326,2026-07-03T08:31:07,2026-07-01,NEW,https://img.a.transfermarkt.technology/portrait/medium/581326-1768659999.jpg?lm=1
Youssef Lekhedim,Alavés,"DF,MF",19.0,1335,0.0,0.07,0.74,0.2,4.122,0.811,0.676,1.622,0.878,0.0,,youssef lekhedim,,,,,,
Ángel Pérez,Alavés,"MF,DF",22.0,1288,0.07,0.21,0.98,0.28,5.944,0.629,0.909,1.119,1.189,0.42,,angel perez,2026-01-28,1124136,2026-07-03T08:31:07,2026-01-28,,https://img.a.transfermarkt.technology/portrait/medium/1124136-1757571837.png?lm=1
