player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,tm_photo
Aderlan Santos,AVS Futebol,DF,36.0,1033,0.09,0.0,1.13,0.17,0.087,1.043,1.13,0.696,0.261,0.087,,aderlan santos,,,,,,
Adriel,AVS Futebol,GK,24.0,1440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,adriel,,,,,,
André Green,AVS Futebol,FW,27.0,195,0.0,0.0,0.92,0.46,1.818,0.0,0.0,0.455,1.818,0.0,,andre green,2026-06-30,309841.0,2026-07-08T07:43:26,2026-02-02,,https://img.a.transfermarkt.technology/portrait/medium/309841-1648491795.png?lm=1
Babatunde Akinsola,AVS Futebol,"MF,FW",22.0,2436,0.04,0.15,1.81,0.44,3.063,0.627,0.554,0.812,1.255,0.332,,babatunde akinsola,,,,,,
Bruno Lourenço,AVS Futebol,MF,27.0,235,0.0,0.0,1.91,0.38,6.154,0.385,1.538,1.538,2.308,0.0,,bruno lourenco,,,,,,
Budiga Roni,AVS Futebol,MF,26.0,1312,0.14,0.0,1.03,0.27,0.411,1.575,1.575,1.301,0.479,0.0,,budiga roni,,,,,,
Carlos Ponck,AVS Futebol,"DF,MF",30.0,927,0.0,0.0,0.39,0.0,0.0,0.971,0.874,1.456,0.194,0.0,,carlos ponck,,,,,,
Christian Neiva Afonso,AVS Futebol,"DF,MF",30.0,1531,0.0,0.0,0.65,0.0,4.941,1.235,1.118,2.0,1.059,0.0,,christian neiva afonso,,,,,,
Cristian Castro,AVS Futebol,DF,24.0,2164,0.0,0.0,0.17,0.04,0.125,1.458,0.458,0.833,0.708,0.042,,cristian castro,,,,,,
Daniel Rivas,AVS Futebol,DF,23.0,1526,0.0,0.06,0.35,0.06,1.706,1.294,1.235,0.765,0.471,0.059,,daniel rivas,2027-06-30,690124.0,2026-07-08T07:43:26,2025-07-25,,https://img.a.transfermarkt.technology/portrait/medium/690124-1710426613.jpg?lm=1
Diego Duarte,AVS Futebol,"FW,MF",23.0,1293,0.21,0.07,2.16,0.77,0.833,0.278,1.319,0.972,1.389,0.417,,diego duarte,,,,,,
Diogo Spencer,AVS Futebol,"MF,DF",21.0,1004,0.09,0.18,0.54,0.18,2.679,0.893,0.804,1.339,0.625,0.0,,diogo spencer,,,,,,
Edson,AVS Futebol,DF,21.0,80,0.0,0.0,0.0,0.0,3.333,2.222,1.111,0.0,0.0,0.0,,edson,,,,,,
Guilherme Neiva Silva,AVS Futebol,"MF,FW",24.0,931,0.19,0.29,1.93,0.77,3.107,1.165,1.262,2.136,2.039,0.0,,guilherme neiva silva,,,,,,
Guillem Molina,AVS Futebol,DF,25.0,328,0.0,0.0,0.0,0.0,2.5,1.111,1.389,2.222,0.556,0.0,,guillem molina,2027-06-30,602156.0,2026-07-08T07:43:26,2025-07-16,,https://img.a.transfermarkt.technology/portrait/medium/602156-1700856092.png?lm=1
Gustavo Assuncao,AVS Futebol,MF,25.0,690,0.0,0.0,0.52,0.13,0.649,1.429,1.039,1.558,0.779,0.0,,gustavo assuncao,,,,,,
Gustavo Mendonça,AVS Futebol,"MF,DF",22.0,1396,0.0,0.0,0.39,0.19,1.871,0.71,2.0,1.871,0.839,0.065,,gustavo mendonca,2028-06-30,637788.0,2026-07-08T07:43:26,2023-08-04,,https://img.a.transfermarkt.technology/portrait/medium/637788-1770901565.jpg?lm=1
Jaume Grau,AVS Futebol,MF,28.0,1322,0.0,0.0,0.48,0.07,0.544,0.816,1.429,2.449,0.884,0.0,,jaume grau,,,,,,
Jordi Escobar,AVS Futebol,FW,23.0,153,0.0,0.0,1.76,0.59,0.588,0.588,0.588,2.941,2.353,0.0,,jordi escobar,,,,,,
João Gonçalves,AVS Futebol,GK,24.0,540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,joao goncalves,,,,,,
Kobamelo Kodisang,AVS Futebol,MF,25.0,116,0.0,0.0,0.0,0.0,5.385,0.769,0.0,1.538,2.308,0.0,,kobamelo kodisang,,,,,,
Mateus Pivô,AVS Futebol,DF,27.0,1146,0.0,0.0,0.47,0.0,0.945,1.496,1.26,1.732,0.472,0.0,,mateus pivo,2027-06-30,978615.0,2026-07-08T07:43:26,2026-02-02,,https://img.a.transfermarkt.technology/portrait/medium/978615-1674927213.jpg?lm=1
Nenê,AVS Futebol,FW,42.0,368,0.49,0.24,5.38,2.45,0.488,0.976,0.976,3.415,1.22,0.488,,nene,2026-06-30,45717.0,2026-07-08T07:43:26,2023-07-01,,https://img.a.transfermarkt.technology/portrait/medium/45717-1537365392.jpg?lm=1
Paulo Vitor,AVS Futebol,DF,24.0,1419,0.0,0.0,0.19,0.06,0.38,0.823,1.266,1.266,0.127,0.127,,paulo vitor,,,,,,
Pedro Lima,AVS Futebol,MF,22.0,1888,0.14,0.1,2.29,0.57,1.429,0.571,1.714,1.476,1.381,0.19,,pedro lima,,,,,,
Pedro Trigueira,AVS Futebol,GK,37.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,pedro trigueira,,,,,,
Rafael Barbosa,AVS Futebol,MF,29.0,646,0.14,0.28,1.95,0.42,6.111,0.556,1.111,1.667,0.833,0.139,,rafael barbosa,,,,,,
Rúben Semedo,AVS Futebol,DF,31.0,776,0.0,0.0,0.35,0.23,0.233,0.814,0.814,1.512,0.814,0.0,,ruben semedo,2026-06-30,197602.0,2026-07-08T07:43:26,2025-10-14,,https://img.a.transfermarkt.technology/portrait/medium/197602-1723145663.jpg?lm=1
Sidi Bane,AVS Futebol,DF,21.0,590,0.15,0.0,0.92,0.31,0.606,0.303,0.303,1.97,1.212,0.0,,sidi bane,,,,,,
Simão Bertelli,AVS Futebol,GK,32.0,1072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,simao bertelli,,,,,,
Tiago Galletto,AVS Futebol,"MF,DF",23.0,574,0.0,0.0,0.31,0.0,0.156,0.469,2.188,1.406,2.188,0.312,,tiago galletto,,,,,,
Tomané,AVS Futebol,FW,32.0,2011,0.18,0.04,1.48,0.45,0.762,0.269,0.314,1.39,2.691,0.448,,tomane,2026-06-30,139393.0,2026-07-08T07:43:26,2025-08-27,,https://img.a.transfermarkt.technology/portrait/medium/139393-1633107752.png?lm=1
Ángel Algobia,AVS Futebol,MF,26.0,1078,0.08,0.0,0.92,0.25,1.0,0.25,1.5,1.167,0.333,0.0,,angel algobia,2027-06-30,638589.0,2026-07-08T07:43:26,2025-07-14,,https://img.a.transfermarkt.technology/portrait/medium/638589-1660238970.jpg?lm=1
Óscar Perea,AVS Futebol,"MF,FW",19.0,1254,0.14,0.0,2.87,0.79,3.094,1.079,0.432,0.719,1.223,0.719,,oscar perea,,,,,,
Amorim,Alverca,MF,20.0,1624,0.11,0.0,0.94,0.33,0.778,0.778,1.667,1.389,2.0,0.0,,amorim,,,,,,
André Gomes,Alverca,GK,20.0,2250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,andre gomes,,,,,,
Bastien Meupiyou,Alverca,DF,19.0,2612,0.0,0.0,0.21,0.07,0.172,1.069,0.966,1.034,0.483,0.034,,bastien meupiyou,2028-06-30,955253.0,2026-07-08T07:42:37,2025-07-21,,https://img.a.transfermarkt.technology/portrait/medium/955253-1703065461.jpg?lm=1
Cedric Nuozzi,Alverca,"FW,MF",19.0,878,0.1,0.0,1.54,0.62,2.959,0.204,0.816,0.51,1.939,0.51,,cedric nuozzi,2028-06-30,859923.0,2026-07-08T07:42:37,2025-07-02,,https://img.a.transfermarkt.technology/portrait/medium/859923-1714046764.png?lm=1
