player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,tm_photo
Abdoulaye Bamba,Angers,DF,35,255,0.0,0.0,0.35,0.35,0.357,2.143,2.143,1.071,1.786,0.0,,abdoulaye bamba,,,,,,
Amine Sbai,Angers,"MF,FW",24,1818,0.15,0.05,1.68,0.79,2.921,0.198,0.495,0.743,1.188,0.248,,amine sbai,2027-06-30,851220.0,2026-07-09T08:46:36,2025-10-08,,https://img.a.transfermarkt.technology/portrait/medium/851220-1759940291.jpg?lm=1
Bane Diatta,Angers,MF,17,5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,,bane diatta,,,,,,
Branco van den Boomen,Angers,MF,30,1238,0.0,0.07,0.95,0.36,5.0,0.507,1.087,1.377,0.652,0.0,,branco van den boomen,,,,,,
Carlens Arcus,Angers,DF,29,2040,0.0,0.13,0.4,0.04,1.674,1.278,1.278,1.454,0.705,0.0,,carlens arcus,2027-06-30,371686.0,2026-07-09T08:46:36,2024-07-01,,https://img.a.transfermarkt.technology/portrait/medium/371686-1750955924.png?lm=1
Dan Sinaté,Angers,DF,19,33,0.0,0.0,2.73,0.0,2.5,0.0,0.0,0.0,0.0,0.0,,dan sinate,2029-06-30,955354.0,2026-07-09T08:46:36,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/955354-1758708129.png?lm=1
Emmanuel Biumla,Angers,DF,20,387,0.0,0.0,0.47,0.0,0.233,0.465,1.163,1.86,1.395,0.0,,emmanuel biumla,2028-06-30,1071956.0,2026-07-09T08:46:36,2024-07-31,,https://img.a.transfermarkt.technology/portrait/medium/1071956-1750955479.png?lm=1
Esteban Lepaul,Angers,FW,25,174,0.52,0.0,1.55,0.52,0.0,0.0,0.0,1.053,0.526,0.526,,esteban lepaul,,,,,,
Florent Hanin,Angers,"DF,MF",35,865,0.0,0.0,0.31,0.0,2.708,1.354,0.833,0.833,0.833,0.0,,florent hanin,,,,,,
Goduine Koyalipou,Angers,FW,25,668,0.13,0.13,2.96,1.21,0.405,0.135,0.27,0.541,0.676,0.676,,goduine koyalipou,,,,,,
Haris Belkebla,Angers,MF,31,2875,0.0,0.0,0.16,0.0,0.157,0.94,1.379,0.752,1.693,0.0,,haris belkebla,2028-06-30,138055.0,2026-07-09T08:46:36,2024-08-17,,https://img.a.transfermarkt.technology/portrait/medium/138055-1750956421.png?lm=1
Harouna Djibrin,Angers,MF,18,336,0.54,0.27,1.87,0.8,2.162,1.351,1.081,2.432,2.162,0.0,,harouna djibrin,,,,,,
Hervé Koffi,Angers,GK,28,2658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,herve koffi,,,,,,
Himad Abdelli,Angers,MF,25,943,0.0,0.0,1.05,0.48,0.857,1.238,1.619,1.524,1.143,0.095,,himad abdelli,,,,,,
Jacques Ekomie,Angers,"DF,MF",21,2239,0.0,0.0,0.48,0.12,2.61,1.245,1.285,1.205,1.245,0.241,,jacques ekomie,2027-06-30,970279.0,2026-07-09T08:46:36,2024-07-31,,https://img.a.transfermarkt.technology/portrait/medium/970279-1750955900.png?lm=1
Jim Allevinah,Angers,MF,30,133,0.68,0.0,3.38,0.68,0.667,0.0,0.667,0.0,2.667,0.667,,jim allevinah,2027-06-30,646733.0,2026-07-09T08:46:36,2024-07-01,,https://img.a.transfermarkt.technology/portrait/medium/646733-1750956955.png?lm=1
Jordan Lefort,Angers,DF,31,3060,0.0,0.06,0.32,0.06,0.676,1.382,0.971,0.647,0.559,0.059,,jordan lefort,2029-06-30,192492.0,2026-07-09T08:46:36,2023-07-01,,https://img.a.transfermarkt.technology/portrait/medium/192492-1750956054.png?lm=1
Justin-Noël Kalumba,Angers,"FW,MF",20,224,0.0,0.0,0.4,0.0,6.0,0.4,1.2,1.2,1.2,0.0,,justin-noel kalumba,,,,,,
Lanroy Machine,Angers,FW,19,519,0.17,0.0,2.6,0.69,0.862,0.0,0.69,1.552,0.862,0.69,,lanroy machine,2028-06-30,1096744.0,2026-07-09T08:46:36,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/1096744-1762884735.jpg?lm=1
Lilian Raolisoa,Angers,"MF,DF",25,1966,0.09,0.18,0.73,0.23,4.541,0.642,1.422,1.239,0.78,0.046,,lilian raolisoa,2028-06-30,829874.0,2026-07-09T08:46:36,2023-07-01,,https://img.a.transfermarkt.technology/portrait/medium/829874-1750955865.png?lm=1
Louis Mouton,Angers,MF,23,1891,0.1,0.05,1.71,0.38,1.476,0.571,1.238,0.952,0.762,0.19,,louis mouton,2028-06-30,904662.0,2026-07-09T08:46:36,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/904662-1727722197.jpg?lm=1
Marius Courcoul,Angers,MF,18,374,0.0,0.0,0.48,0.24,0.0,0.714,2.143,1.429,0.714,0.0,,marius courcoul,2027-06-30,1075575.0,2026-07-09T08:46:36,2025-02-01,,https://img.a.transfermarkt.technology/portrait/medium/1075575-1750956409.png?lm=1
Marius Louer,Angers,DF,18,543,0.0,0.0,0.0,0.0,1.5,0.333,2.667,1.167,0.5,0.0,,marius louer,2028-06-30,1103652.0,2026-07-09T08:46:36,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/1103652-1779447824.jpg?lm=1
Melvin Zinga,Angers,GK,23,222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,melvin zinga,2022-07-01,548347.0,2026-07-09T08:46:36,2022-07-01,,https://img.a.transfermarkt.technology/portrait/medium/548347-1750955335.png?lm=1
Oumar Pona,Angers,GK,19,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,oumar pona,2027-06-30,1073176.0,2026-07-09T08:46:36,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/1073176-1750955375.png?lm=1
Ousmane Camara,Angers,DF,22,2718,0.03,0.0,0.43,0.17,0.099,1.126,0.96,0.728,0.232,0.033,,ousmane camara,2029-06-30,804711.0,2026-07-09T08:46:36,2022-08-16,,https://img.a.transfermarkt.technology/portrait/medium/804711-1672669470.jpg?lm=1
Pierrick Capelle,Angers,MF,38,651,0.0,0.14,1.38,0.14,1.667,0.972,1.806,2.083,1.528,0.0,,pierrick capelle,,,,,,
Prosper Peter,Angers,FW,17,1273,0.35,0.0,1.63,0.99,0.0,0.284,0.213,2.128,2.128,1.064,,prosper peter,2028-06-30,1103958.0,2026-07-09T08:46:36,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/1103958-1758210995.jpg?lm=1
Sidiki Cherif,Angers,"FW,MF",18,1157,0.31,0.0,2.18,0.93,0.465,0.465,0.233,1.163,1.24,0.853,,sidiki cherif,,,,,,
Yassin Belkhdim,Angers,MF,23,2135,0.08,0.08,1.39,0.59,1.772,1.35,1.814,1.224,1.224,0.084,,yassin belkhdim,2028-06-30,807688.0,2026-07-09T08:46:36,2024-01-01,,https://img.a.transfermarkt.technology/portrait/medium/807688-1750956388.png?lm=1
Assane Dioussé,Auxerre,MF,27,219,0.0,0.0,1.64,0.41,2.5,2.5,0.417,2.917,1.25,0.0,,assane diousse,2027-06-30,287635.0,2026-07-09T08:46:39,2023-08-10,,https://img.a.transfermarkt.technology/portrait/medium/287635-1657714916.jpg?lm=1
Bryan Okoh,Auxerre,DF,22,1005,0.27,0.0,0.72,0.27,0.0,2.321,0.804,1.161,0.714,0.0,,bryan okoh,2029-06-30,539795.0,2026-07-09T08:46:39,2026-01-29,,https://img.a.transfermarkt.technology/portrait/medium/539795-1722523891.png?lm=1
Clément Akpa,Auxerre,DF,23,1944,0.0,0.0,0.28,0.0,1.389,1.065,0.88,0.556,1.389,0.046,,clement akpa,2028-06-30,806793.0,2026-07-09T08:46:39,2022-07-01,,https://img.a.transfermarkt.technology/portrait/medium/806793-1709202392.jpg?lm=1
Danny Loader,Auxerre,"MF,FW",24,2517,0.11,0.11,2.22,0.61,1.143,0.321,0.893,2.286,1.679,0.143,,danny loader,,,,,,
Donovan Léon,Auxerre,GK,32,2460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,donovan leon,2027-06-30,170911.0,2026-07-09T08:46:39,2020-07-01,,https://img.a.transfermarkt.technology/portrait/medium/170911-1593969267.jpg?lm=1
Elisha Owusu,Auxerre,MF,27,2344,0.0,0.0,0.27,0.0,0.038,0.808,1.962,1.846,0.846,0.0,,elisha owusu,2027-06-30,395695.0,2026-07-09T08:46:39,2023-01-16,,https://img.a.transfermarkt.technology/portrait/medium/395695-1626767315.jpg?lm=1
