player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur
Ademola Lookman,Atalanta,"FW,MF",27,795,0.23,0.0,3.06,0.91,2.386,0.341,0.341,1.136,0.909,0.455,
Berat Djimsiti,Atalanta,DF,32,2525,0.0,0.0,0.57,0.07,0.071,1.495,1.068,0.605,0.285,0.0,
Charles De Ketelaere,Atalanta,"MF,FW",24,2177,0.12,0.21,1.9,0.66,1.901,0.207,0.62,0.95,1.488,0.124,
Daniel Maldini,Atalanta,MF,23,264,0.0,0.0,2.73,0.68,3.448,0.0,0.69,1.379,2.414,0.0,
Davide Zappacosta,Atalanta,MF,33,2569,0.11,0.11,1.3,0.32,3.754,0.632,0.491,0.632,0.281,0.246,
Dominic Vavassori,Atalanta,FW,19,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,
Giacomo Raspadori,Atalanta,"MF,FW",25,796,0.34,0.11,3.17,1.24,5.0,0.114,0.341,0.795,0.682,0.114,
Gianluca Scamacca,Atalanta,FW,26,1315,0.55,0.07,3.9,1.51,0.0,0.205,0.342,1.781,1.301,0.548,
Giorgio Scalvini,Atalanta,DF,21,1808,0.15,0.05,1.0,0.3,0.249,1.891,1.144,1.542,0.498,0.1,
Honest Ahanor,Atalanta,DF,17,1377,0.0,0.0,0.85,0.26,0.131,1.569,1.307,1.569,1.83,0.0,
Isak Hien,Atalanta,DF,26,1970,0.05,0.0,0.41,0.14,0.0,1.324,1.553,1.644,0.959,0.0,
Kamaldeen Sulemana,Atalanta,MF,23,1011,0.18,0.09,2.23,0.89,1.964,0.179,0.446,1.25,1.25,0.446,
Lazar Samardzic,Atalanta,MF,23,1030,0.17,0.09,2.18,0.79,5.965,0.877,0.702,1.491,0.877,0.088,
Lorenzo Bernasconi,Atalanta,MF,21,1572,0.0,0.17,0.52,0.06,6.457,0.8,0.914,0.457,0.286,0.171,
Marco Brescianini,Atalanta,MF,25,182,0.49,0.0,1.48,0.99,3.0,1.0,4.0,2.0,1.0,0.0,
Marco Carnesecchi,Atalanta,GK,25,3330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Marco Sportiello,Atalanta,GK,33,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mario Pašalić,Atalanta,MF,30,1936,0.14,0.19,1.12,0.28,0.512,0.605,0.837,1.023,0.279,0.047,
Marten de Roon,Atalanta,MF,34,2691,0.03,0.07,0.54,0.13,0.435,0.87,1.472,1.237,0.368,0.0,
Mitchel Bakker,Atalanta,"DF,MF",25,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Nicola Zalewski,Atalanta,MF,23,1897,0.09,0.19,1.8,0.33,5.877,0.758,0.948,0.995,2.417,0.142,
Nikola Krstović,Atalanta,FW,25,1791,0.5,0.25,4.97,1.71,0.251,0.151,0.603,2.261,1.357,1.357,
Odilon Kossounou,Atalanta,DF,24,988,0.09,0.0,0.46,0.09,0.182,0.909,1.273,1.455,0.273,0.091,
Raoul Bellanova,Atalanta,MF,25,1377,0.0,0.07,0.85,0.33,5.49,0.654,0.588,0.327,0.784,0.131,
Sead Kolašinac,Atalanta,DF,32,1212,0.0,0.0,0.22,0.0,0.222,0.815,1.333,1.63,0.741,0.074,
Yunus Musah,Atalanta,MF,22,574,0.16,0.0,1.1,0.31,1.562,0.781,0.781,1.094,2.5,0.312,
Éderson Silva,Atalanta,MF,26,2230,0.04,0.04,1.41,0.44,0.484,1.129,1.411,1.371,1.613,0.081,
Babis Lykogiannis,Bologna,DF,31,627,0.0,0.14,1.0,0.29,6.429,0.857,1.429,1.143,0.143,0.0,
Benjamín Domínguez,Bologna,MF,21,547,0.0,0.49,1.97,0.33,1.148,0.328,0.328,0.984,2.951,0.492,
Ciro Immobile,Bologna,FW,35,193,0.0,0.0,0.93,0.0,1.429,0.0,0.0,3.81,1.429,2.381,
Eivind Helland,Bologna,DF,20,484,0.0,0.0,0.19,0.0,0.0,1.296,0.926,0.926,0.185,0.0,
Emil Holm,Bologna,DF,25,655,0.14,0.55,1.1,0.14,3.151,0.959,1.781,1.507,1.918,0.0,
Federico Bernardeschi,Bologna,"MF,FW",31,1217,0.22,0.15,2.88,0.96,3.556,0.444,0.444,0.963,0.815,0.148,
Federico Ravaglia,Bologna,GK,25,1470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Giovanni Fabbian,Bologna,MF,22,705,0.26,0.0,1.79,0.51,0.256,0.641,0.513,1.667,2.308,0.256,
Ibrahim Sulemana,Bologna,MF,22,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
Jens Odgaard,Bologna,MF,26,1378,0.33,0.07,2.29,0.85,0.98,0.261,0.784,1.83,1.83,0.327,
Jhon Lucumí,Bologna,DF,27,2287,0.04,0.0,0.31,0.08,0.039,1.181,0.866,0.906,0.748,0.039,
Jonathan Rowe,Bologna,"MF,FW",22,1605,0.17,0.11,2.69,0.95,2.978,0.506,0.787,1.292,2.809,0.225,
João Mário Lopes,Bologna,"DF,MF",25,735,0.12,0.0,0.49,0.24,1.829,1.22,0.488,0.61,2.561,0.0,
Juan Miranda,Bologna,DF,25,2573,0.03,0.1,0.45,0.17,5.979,1.154,1.084,0.874,1.224,0.105,
Lewis Ferguson,Bologna,MF,25,1601,0.06,0.0,0.73,0.11,1.404,0.674,0.899,1.91,1.461,0.169,
Lorenzo De Silvestri,Bologna,DF,37,491,0.0,0.0,0.0,0.0,1.273,1.273,0.182,1.636,0.545,0.0,
Martin Vitík,Bologna,DF,22,1325,0.0,0.0,0.54,0.14,0.136,0.544,1.497,1.565,0.272,0.0,
Massimo Pessina,Bologna,GK,17,353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Nadir Zortea,Bologna,DF,26,1819,0.0,0.1,0.54,0.05,3.317,0.99,0.842,1.386,0.842,0.05,
Nicolò Cambiaghi,Bologna,"MF,FW",24,1518,0.18,0.24,1.42,0.36,3.728,0.533,1.183,1.893,4.201,0.296,
Nicolò Casale,Bologna,DF,27,678,0.0,0.0,0.66,0.0,0.267,0.933,0.267,2.0,0.667,0.0,
Nikola Moro,Bologna,MF,27,1799,0.1,0.0,1.05,0.1,2.45,0.95,0.4,0.9,0.85,0.05,
Remo Freuler,Bologna,MF,33,2213,0.04,0.08,0.33,0.04,0.732,0.894,1.26,0.772,0.976,0.041,
Riccardo Orsolini,Bologna,"MF,FW",28,2111,0.26,0.04,3.5,1.32,1.745,0.298,0.638,0.894,1.872,0.766,
Santiago Castro,Bologna,FW,20,2359,0.27,0.08,2.4,0.76,0.153,0.038,0.305,1.336,1.908,0.458,
Simon Sohm,Bologna,MF,24,717,0.0,0.0,0.5,0.13,0.25,0.375,0.625,1.125,0.375,0.375,
Thijs Dallinga,Bologna,FW,24,811,0.22,0.22,2.66,0.55,0.556,0.111,0.444,2.222,1.0,0.444,
Tommaso Pobega,Bologna,MF,26,1434,0.19,0.06,1.57,0.63,0.126,1.195,1.195,2.138,0.755,0.0,
Torbjørn Heggem,Bologna,DF,26,2113,0.0,0.0,0.47,0.09,0.043,1.064,0.809,1.319,0.511,0.0,
Łukasz Skorupski,Bologna,GK,34,1592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adam Obert,Cagliari,"DF,MF",22,2771,0.0,0.1,0.32,0.1,2.24,1.429,1.039,1.299,0.422,0.0,
Agustín Albarracín,Cagliari,FW,19,33,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.5,0.0,
