player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,nationality,tm_position,tm_photo,fl_pos,fl_pos2,fl_group,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,xg_p90,npxg_p90,xa_p90,kp_p90,shots_p90,xg_chain_p90,goals,assists,gk_save_pct,gk_cs_pct,team_goals_against,team_ga_per_game,team_defense_score,team_goals_for,team_gf_per_game,team_attack_score,ss_rating,pass_pct,long_ball_pct,cross_acc_pct,dribble_success_pct,tackles_won_pct,aerial_won_pct,ground_duels_won_pct,total_duels_won_pct,key_passes_per90,big_chances_created_per90,clearances_per90,blocked_shots_per90,outfielder_blocks_per90,interceptions_per90_ss,recoveries_per90,aerial_won_per90,tackles_won_per90_ss,ground_duels_won_per90,errors_per90,possession_won_att_per90,successful_dribbles_per90,final_third_passes_per90,gk_saves_per90,gk_clean_sheets,gk_high_claims_per90,gk_runs_out_per90,gk_punches_per90,gk_crosses_not_claimed,ss_appearances,ss_minutes
Ben White,Arsenal,DF,27,702,0.0,0.13,0.64,0.13,2.051,1.154,1.154,0.641,0.769,0.385,30000000.0,England,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/335721-1683275943.jpg?lm=1,RB,CB,RB,ben white,2028-06-30,335721.0,2026-07-09T08:39:23,2021-07-30,,0.036,0.036,0.199,1.024,0.64,0.573,0,1,,,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,6.84,81.64,32.26,18.75,75.0,60.0,44.44,60.0,53.73,1.0098176718092566,0.3786816269284712,3.155680224403927,0.126227208976157,0.5049088359046283,1.1360448807854138,3.534361851332398,1.514726507713885,1.1360448807854138,3.02945301542777,0.0,0.5049088359046283,0.3786816269284712,14.64235624123422,0.0,3.0,0.0,0.0,0.0,0.0,12.0,713.0
Bukayo Saka,Arsenal,"FW,MF",23,2222,0.24,0.2,2.88,1.09,4.939,0.648,0.769,1.336,2.186,0.567,110000000.0,England,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/433177-1684155052.jpg?lm=1,RW,LW,RW,bukayo saka,2030-06-30,433177.0,2026-07-09T08:39:23,2019-07-01,,0.35,0.319,0.344,2.492,2.854,0.768,7,5,,,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,7.24,76.71,35.9,32.79,49.5,51.22,42.31,52.73,51.07,2.548314606741573,0.4853932584269663,0.4449438202247191,0.9707865168539326,0.0404494382022471,0.6471910112359551,4.7325842696629215,0.8898876404494382,0.849438202247191,5.865168539325843,0.0404494382022471,1.0921348314606742,2.02247191011236,13.793258426966291,0.0,8.0,0.0,0.0,0.0,0.0,31.0,2225.0
Christian Nørgaard,Arsenal,MF,31,106,0.0,0.0,1.7,0.85,0.833,0.833,1.667,2.5,0.0,0.0,5000000.0,Denmark,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/148367-1699799827.jpg?lm=1,DM,,DM,christian norgaard,2027-06-30,148367.0,2026-07-09T08:39:23,2025-07-10,,0.066,0.066,0.0,0.0,1.935,0.794,0,0,,,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,6.58,83.61,0.0,0.0,0.0,66.67,40.0,27.27,31.25,0.0,0.0,6.666666666666667,0.0,0.8333333333333334,0.0,3.333333333333333,1.6666666666666667,1.6666666666666667,2.5,0.0,0.8333333333333334,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,108.0
Cristhian Mosquera,Arsenal,DF,21,994,0.0,0.0,0.09,0.0,0.273,0.727,1.909,1.545,0.636,0.091,40000000.0,Spain,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/646750-1749739359.jpg?lm=1,CB,RB,CB,cristhian mosquera,2030-06-30,646750.0,2026-07-09T08:39:23,2025-07-24,,0.008,0.008,0.027,0.461,0.092,0.497,0,0,,,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,6.89,91.31,40.74,33.33,33.33,59.38,41.67,55.56,50.0,0.448654037886341,0.0,4.217347956131605,0.0,0.6281156530408774,0.7178464606181456,3.050847457627119,1.794616151545364,1.7048853439680958,3.589232303090728,0.0897308075772682,0.0,0.0897308075772682,9.511465603190429,0.0,2.0,0.0,0.0,0.0,0.0,20.0,1003.0
David Raya,Arsenal,GK,29,3330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000000.0,Spain,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/262749-1780663789.jpg?lm=1,GK,,GK,david raya,2028-06-30,262749.0,2026-07-09T08:39:23,2024-07-04,,0.0,0.0,0.004,0.081,0.0,0.173,0,0,69.8,51.4,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,6.9,64.8,34.21,0.0,100.0,100.0,90.91,100.0,96.15,0.081081081081081,0.0,1.0,0.0,0.0,0.027027027027027,8.243243243243244,0.2702702702702703,0.027027027027027,0.4054054054054054,0.1081081081081081,0.0,0.027027027027027,2.2972972972972974,1.6216216216216215,19.0,0.8918918918918919,0.8648648648648649,0.2702702702702703,1.0,37.0,3330.0
Declan Rice,Arsenal,MF,26,3094,0.12,0.15,1.16,0.38,5.145,0.959,0.959,0.756,0.32,0.029,120000000.0,England,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/357662-1687962936.jpg?lm=1,DM,CB,DM,declan rice,2028-06-30,357662.0,2026-07-09T08:39:23,2023-07-15,,0.108,0.108,0.236,1.823,1.157,0.535,4,5,,,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,7.46,87.31,48.09,26.4,50.0,50.0,67.57,56.89,60.17,1.8586640851887708,0.4937076476282672,2.265246853823814,0.377541142303969,0.3484995159728945,1.074540174249758,5.227492739593417,1.4520813165537272,1.016456921587609,2.7589545014520818,0.0290416263310745,0.3484995159728945,0.4065827686350436,15.508228460793806,0.0,13.0,0.0,0.0,0.0,0.0,36.0,3099.0
Eberechi Eze,Arsenal,"MF,FW",27,1812,0.35,0.1,2.83,0.89,0.398,0.547,0.647,0.697,1.891,0.05,65000000.0,England,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/479999-1761083931.jpg?lm=1,AM,LM,LW,eberechi eze,2029-06-30,479999.0,2026-07-09T08:39:23,2025-08-23,,0.224,0.224,0.123,0.794,2.941,0.483,7,2,,,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,6.97,84.83,42.11,16.67,59.18,73.68,28.57,57.52,52.13,0.7578947368421053,0.1894736842105263,0.4736842105263158,1.136842105263158,0.0473684210526315,0.5210526315789473,3.742105263157895,0.4736842105263158,0.6631578947368422,4.168421052631579,0.0947368421052631,0.8052631578947369,1.3736842105263158,10.8,0.0,2.0,0.0,0.0,0.0,0.0,33.0,1900.0
Ethan Nwaneri,Arsenal,MF,18,171,0.0,0.0,3.16,0.0,1.053,0.0,0.0,1.053,0.0,0.0,35000000.0,England,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/890719-1730794927.jpg?lm=1,AM,,AM,ethan nwaneri,2030-06-30,890719.0,2026-07-09T08:39:23,2024-07-01,,0.192,0.192,0.028,0.584,3.506,0.682,0,0,,,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,6.74,90.8,55.56,0.0,37.5,0.0,25.0,26.67,26.32,0.5142857142857143,0.0,0.5142857142857143,1.0285714285714287,0.0,0.0,5.142857142857143,0.5142857142857143,0.0,2.0571428571428574,0.0,1.0285714285714287,1.542857142857143,13.371428571428572,0.0,0.0,0.0,0.0,0.0,0.0,6.0,175.0
Gabriel Jesus,Arsenal,FW,28,429,0.63,0.0,3.99,2.52,0.0,0.417,0.0,1.875,0.208,1.458,17000000.0,Brazil,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/363205-1669711141.jpg?lm=1,ST,WF,ST,gabriel jesus,2027-06-30,363205.0,2026-07-09T08:39:23,2022-07-04,,0.906,0.906,0.048,0.684,4.329,0.994,3,0,,,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,6.59,76.85,0.0,0.0,50.0,0.0,34.48,30.95,32.39,0.6413301662707838,0.0,1.0688836104513064,0.6413301662707838,0.0,0.6413301662707838,4.061757719714964,2.137767220902613,0.0,2.7790973871733966,0.0,0.6413301662707838,1.7102137767220902,8.551068883610451,0.0,0.0,0.0,0.0,0.0,0.0,14.0,421.0
Gabriel Magalhães,Arsenal,DF,27,2751,0.1,0.13,0.88,0.23,0.196,0.719,0.654,0.686,1.111,0.0,75000000.0,Brazil,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/435338-1684162833.jpg?lm=1,,,,gabriel magalhaes,2029-06-30,435338.0,2026-07-09T08:39:23,2020-09-01,,0.0,0.1,0.13,0.39,0.88,0.0,3,4,,,27,0.7105263157894737,1.0,71,1.868421052631579,0.8800000000000001,7.27,88.17,44.57,20.0,50.0,52.63,62.26,69.9,65.27,0.2290076335877862,0.163576881134133,5.954198473282442,0.3271537622682661,1.1123227917121048,0.752453653217012,2.093784078516903,3.2388222464558343,0.6543075245365322,2.355507088331516,0.0981461286804798,0.0654307524536532,0.0327153762268266,6.706652126499455,0.0,17.0,0.0,0.0,0.0,0.0,32.0,2751.0
