player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,xg_p90,npxg_p90,xa_p90,kp_p90,shots_p90,xg_chain_p90,goals,assists,gk_save_pct,gk_cs_pct,team_goals_against,team_ga_per_game,team_defense_score,team_goals_for,team_gf_per_game,team_attack_score,ss_rating,pass_pct,long_ball_pct,cross_acc_pct,dribble_success_pct,tackles_won_pct,aerial_won_pct,ground_duels_won_pct,total_duels_won_pct,key_passes_per90,big_chances_created_per90,clearances_per90,blocked_shots_per90,outfielder_blocks_per90,interceptions_per90_ss,recoveries_per90,aerial_won_per90,tackles_won_per90_ss,ground_duels_won_per90,errors_per90,possession_won_att_per90,successful_dribbles_per90,final_third_passes_per90,gk_saves_per90,gk_clean_sheets,gk_high_claims_per90,gk_runs_out_per90,gk_punches_per90,gk_crosses_not_claimed,ss_appearances,ss_minutes,nationality,tm_position,tm_photo,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal
Adjani Mujangi Bia,Anderlecht,MF,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0,0,0,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Belgium,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,adjani mujangi bia,,,,,
Adriano Bertaccini,Anderlecht,"MF,FW",24,1545,0.35,0.06,3.55,1.46,1.221,0.233,0.465,1.047,0.814,0.058,4000000.0,0,0.35,0.06,0.18,3.55,0,6,1,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.7,74.58,46.15,4.35,29.82,64.29,25.0,29.61,28.89,0.8421709295071741,0.1122894572676232,0.6737367436057393,0.7860262008733625,0.0561447286338116,0.2245789145352464,2.919525888958204,0.3930131004366812,0.5053025577043044,2.526512788521522,0.0561447286338116,0.7860262008733625,0.9544603867747972,6.625077978789769,0.0,1.0,0.0,0.0,0.0,0.0,33.0,1603.0,Belgium,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/364896-1713353059.png?lm=1,adriano bertaccini,2029-06-30,364896,2026-07-07T15:50:45,2025-08-01,
Alexander De Ridder,Anderlecht,MF,17,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,900000.0,0,0.0,0.0,0.0,0.0,0,0,0,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.1,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.285714285714285,0.0,0.0,0.0,0.0,2.571428571428571,0.0,2.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,Belgium,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/1318191-1759917438.jpg?lm=1,alexander de ridder,,,,,
Ali Maamar,Anderlecht,DF,20,1368,0.0,0.26,0.86,0.0,2.105,1.25,1.316,1.513,1.118,0.197,2500000.0,0,0.0,0.26,0.78,0.86,0,0,4,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.68,78.23,29.41,12.9,75.0,52.78,42.86,57.02,53.85,1.1722141823444283,0.260492040520984,2.539797395079595,0.3907380607814761,0.065123010130246,1.1722141823444283,5.340086830680174,0.9768451519536904,1.2373371924746743,4.493487698986975,0.065123010130246,0.6512301013024602,1.1722141823444283,12.829232995658463,0.0,2.0,0.0,0.0,0.0,0.0,25.0,1382.0,Morocco,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/920585-1691997804.jpg?lm=1,ali maamar,2028-06-30,920585,2026-07-07T15:50:45,2025-01-16,
Anas Tajaouart,Anderlecht,MF,19,45,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,400000.0,0,0.0,0.0,0.0,0.0,0,0,0,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.3,84.85,0.0,0.0,0.0,0.0,50.0,33.33,40.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.0,Morocco,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/1113308-1691997287.jpg?lm=1,anas tajaouart,2029-06-30,1113308,2026-07-07T15:50:45,2025-07-01,
Basile Vroninks,Anderlecht,DF,18,45,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,0.0,400000.0,0,0.0,0.0,0.0,0.0,0,0,0,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.9,86.67,100.0,0.0,33.33,100.0,0.0,60.0,60.0,2.0,0.0,2.0,0.0,0.0,2.0,8.0,0.0,2.0,6.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.0,Belgium,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/1194331-1725949327.jpg?lm=1,basile vroninks,,,,,
Coba da Costa,Anderlecht,MF,23,147,0.0,0.0,1.22,0.61,2.5,1.875,1.875,2.5,2.5,0.0,1500000.0,0,0.0,0.0,0.0,1.22,0,0,0,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.42,60.47,0.0,0.0,20.0,66.67,57.14,50.0,51.72,0.0,0.0,1.862068965517241,0.6206896551724138,0.0,1.862068965517241,8.689655172413794,2.4827586206896552,2.4827586206896552,6.827586206896552,0.0,0.6206896551724138,0.6206896551724138,4.965517241379311,0.0,0.0,0.0,0.0,0.0,0.0,5.0,145.0,Guinea-Bissau,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/1033005-1732139109.JPG?lm=1,coba da costa,,,,,
Colin Coosemans,Anderlecht,GK,32,3420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200000.0,0,0.0,0.0,0.0,0.0,0,0,0,64.8,26.3,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.98,69.73,38.03,0.0,100.0,0.0,84.21,100.0,90.0,0.0526315789473684,0.0,1.0263157894736843,0.0,0.0,0.0526315789473684,7.526315789473684,0.4210526315789473,0.0,0.2894736842105263,0.0789473684210526,0.0,0.0263157894736842,1.236842105263158,2.6842105263157894,10.0,0.868421052631579,0.2105263157894736,0.6842105263157895,1.0,38.0,3420.0,Belgium,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/154351-1705415837.jpg?lm=1,colin coosemans,2028-06-30,154351,2026-07-07T15:50:45,2021-07-01,
César Huerta,Anderlecht,"MF,FW",24,540,0.17,0.0,2.67,1.0,1.833,0.5,1.833,2.167,1.333,0.0,3500000.0,0,0.17,0.0,0.0,2.67,0,1,0,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.51,81.9,33.33,9.09,42.86,83.33,20.0,40.63,34.83,1.1559633027522935,0.0,0.6605504587155964,0.3302752293577982,0.0,0.4954128440366973,4.954128440366973,0.8256880733944955,1.651376146788991,4.293577981651376,0.1651376146788991,0.8256880733944955,0.9908256880733946,15.522935779816514,0.0,0.0,0.0,0.0,0.0,0.0,11.0,545.0,Mexico,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/540315-1722760933.jpg?lm=1,cesar huerta,2029-06-30,540315,2026-07-07T15:50:45,2025-01-10,
Danylo Sikan,Anderlecht,FW,24,410,0.44,0.22,3.07,2.2,0.217,0.217,0.652,3.043,1.739,0.217,4000000.0,0,0.44,0.22,0.66,3.07,0,2,1,,,62,1.55,0.1644562334217507,59,1.475,0.4341846758349706,6.75,70.93,0.0,0.0,0.0,50.0,51.43,34.21,42.47,0.2147971360381861,0.0,1.7183770883054892,0.2147971360381861,0.0,0.4295942720763723,1.7183770883054892,3.866348448687351,0.6443914081145584,2.79236276849642,0.0,0.4295942720763723,0.0,4.295942720763723,0.0,0.0,0.0,0.0,0.0,0.0,9.0,419.0,Ukraine,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/417228-1756296842.png?lm=1,danylo sikan,2030-06-30,417228,2026-07-07T15:50:45,2026-01-21,
