player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,xg_p90,npxg_p90,xa_p90,kp_p90,shots_p90,xg_chain_p90,goals,assists,gk_save_pct,gk_cs_pct,nationality,tm_position,tm_photo,ss_rating,pass_pct,long_ball_pct,cross_acc_pct,dribble_success_pct,tackles_won_pct,aerial_won_pct,ground_duels_won_pct,total_duels_won_pct,key_passes_per90,big_chances_created_per90,clearances_per90,blocked_shots_per90,outfielder_blocks_per90,interceptions_per90_ss,recoveries_per90,aerial_won_per90,tackles_won_per90_ss,ground_duels_won_per90,errors_per90,possession_won_att_per90,successful_dribbles_per90,final_third_passes_per90,gk_saves_per90,gk_clean_sheets,gk_high_claims_per90,gk_runs_out_per90,gk_punches_per90,gk_crosses_not_claimed,ss_appearances,ss_minutes,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal
Aiman Dardari,Augsburg,MF,20,34,0.0,0.0,2.65,0.0,0.0,0.0,0.0,2.5,2.5,0.0,800000.0,0.24,0.24,0.0,0.0,4.286,0.24,0,0,,,Luxembourg,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/904723-1755086019.jpg?lm=1,6.4,60.0,0.0,0.0,0.0,0.0,0.0,33.33,16.67,0.0,0.0,0.0,2.571,0.0,0.0,5.143,0.0,0.0,2.571,0.0,0.0,0.0,5.143,0.0,0.0,0.0,0.0,0.0,0.0,3.0,35.0,aiman dardari,,,,,
Alexis Claude-Maurice,Augsburg,"MF,FW",27,2097,0.17,0.17,3.05,1.12,2.79,0.343,1.116,0.987,1.803,0.043,15000000.0,0.0,0.17,0.17,0.51,3.05,0.0,4,4,,,France,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/384593-1755201378.jpg?lm=1,6.87,84.4,31.82,25.76,53.66,60.98,33.33,50.0,47.06,1.41,0.214,0.513,0.555,0.043,0.342,4.058,0.769,1.068,5.382,0.043,0.513,1.879,8.372,0.0,3.0,0.0,0.0,0.0,0.0,29.0,2107.0,alexis claude-maurice,2027-06-30,384593,2026-07-03T17:44:21,2024-08-30,
Anton Kade,Augsburg,"MF,FW",21,1743,0.31,0.0,2.48,1.08,1.134,0.67,0.722,1.031,0.928,0.515,10000000.0,0.347,0.347,0.16,1.293,2.483,0.565,6,0,,,Germany,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/654234-1773671161.jpg?lm=1,6.84,73.21,50.0,21.74,46.15,41.94,41.86,47.4,45.42,1.34,0.206,0.979,0.515,0.052,0.67,3.918,1.856,0.67,3.763,0.0,0.412,1.237,8.196,0.0,1.0,0.0,0.0,0.0,0.0,28.0,1746.0,anton kade,2029-06-30,654234,2026-07-03T17:44:21,2025-08-25,
Arne Maier,Augsburg,MF,26,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,Germany,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/296397-1755201583.jpg?lm=1,6.7,80.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,arne maier,,,,,
Arthur Chaves,Augsburg,DF,24,829,0.22,0.0,0.43,0.22,0.109,0.87,1.413,0.87,0.87,0.0,5000000.0,0.089,0.089,0.02,0.339,0.424,0.164,2,0,,,Brazil,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/875332-1773660988.jpg?lm=1,6.8,82.04,38.24,0.0,50.0,69.23,51.02,55.71,53.78,0.337,0.0,6.404,0.169,0.927,1.011,3.034,2.107,1.517,3.287,0.0,0.0,0.169,3.118,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1068.0,arthur chaves,,,,,
Cedric Zesiger,Augsburg,DF,27,1816,0.0,0.0,0.59,0.15,1.683,0.842,1.188,0.891,0.792,0.0,5000000.0,0.088,0.088,0.028,0.451,0.601,0.222,0,0,,,Switzerland,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/382478-1755200960.jpg?lm=1,6.69,81.65,31.03,30.3,27.27,67.65,56.45,54.17,55.06,0.391,0.049,5.772,0.196,0.88,0.88,3.13,1.712,1.125,2.543,0.0,0.098,0.147,7.337,0.0,3.0,0.0,0.0,0.0,0.0,27.0,1840.0,cedric zesiger,,,,,
Chrislain Matsima,Augsburg,DF,23,1489,0.06,0.06,0.42,0.06,0.242,1.818,0.667,0.606,0.242,0.0,22000000.0,0.034,0.034,0.035,0.241,0.422,0.135,1,1,,,France,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/569383-1755200922.jpg?lm=1,6.81,85.09,41.18,25.0,33.33,52.63,73.58,56.1,65.96,0.241,0.06,5.542,0.181,1.205,1.807,4.458,2.349,0.602,1.386,0.06,0.0,0.06,3.795,0.0,2.0,0.0,0.0,0.0,0.0,18.0,1494.0,chrislain matsima,2030-06-30,569383,2026-07-03T17:44:21,2025-07-01,
Dimitris Giannoulis,Augsburg,MF,29,1888,0.1,0.24,0.48,0.29,4.714,1.0,0.952,0.762,0.952,0.19,3000000.0,0.045,0.045,0.178,1.518,0.46,0.296,2,5,,,Greece,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/295630-1755201178.jpg?lm=1,6.92,71.34,43.94,30.61,45.24,70.37,42.86,56.41,53.79,1.61,0.379,3.125,0.047,0.521,0.9,5.018,0.568,0.9,3.125,0.047,0.568,0.9,7.859,0.0,1.0,0.0,0.0,0.0,0.0,27.0,1901.0,dimitris giannoulis,,,,,
Elias Saad,Augsburg,"MF,FW",25,497,0.0,0.0,1.09,0.54,1.636,0.182,1.455,1.455,2.182,0.727,2000000.0,0.065,0.065,0.108,2.085,1.042,0.245,0,0,,,Tunisia,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/526466-1755201952.jpg?lm=1,6.65,79.61,33.33,0.0,44.12,60.0,46.15,48.84,48.48,2.164,0.0,0.361,0.541,0.18,0.18,4.87,1.082,1.623,7.575,0.0,1.263,2.705,10.461,0.0,0.0,0.0,0.0,0.0,0.0,10.0,499.0,elias saad,2029-06-30,526466,2026-07-03T17:44:21,2025-07-01,
Elvis Rexhbeçaj,Augsburg,MF,27,1118,0.16,0.0,0.89,0.4,1.29,0.323,0.645,1.048,1.29,0.081,3500000.0,0.044,0.044,0.058,0.738,0.902,0.211,2,0,,,Kosovo,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/280575-1755201620.jpg?lm=1,6.63,77.34,27.27,11.76,62.5,44.44,48.0,44.32,45.13,0.804,0.08,1.607,0.241,0.08,0.402,4.018,0.964,0.643,3.134,0.0,0.804,0.402,7.714,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1120.0,elvis rexhbecaj,,,,,
