player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,xg_p90,npxg_p90,xa_p90,kp_p90,shots_p90,xg_chain_p90,goals,assists,gk_save_pct,gk_cs_pct,team_goals_against,team_ga_per_game,team_defense_score,team_goals_for,team_gf_per_game,team_attack_score,ss_rating,pass_pct,long_ball_pct,cross_acc_pct,dribble_success_pct,tackles_won_pct,aerial_won_pct,ground_duels_won_pct,total_duels_won_pct,key_passes_per90,big_chances_created_per90,clearances_per90,blocked_shots_per90,outfielder_blocks_per90,interceptions_per90_ss,recoveries_per90,aerial_won_per90,tackles_won_per90_ss,ground_duels_won_per90,errors_per90,possession_won_att_per90,successful_dribbles_per90,final_third_passes_per90,gk_saves_per90,gk_clean_sheets,gk_high_claims_per90,gk_runs_out_per90,gk_punches_per90,gk_crosses_not_claimed,ss_appearances,ss_minutes,nationality,tm_position,tm_photo,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal
Alexandre Penetra,AZ Alkmaar,DF,23.0,2844,0.06,0.03,0.51,0.06,0.222,0.918,0.918,0.633,0.728,0.063,10000000.0,0,0.06,0.03,0.09,0.51,0,2,1,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,6.94,89.69,53.73,42.86,50.0,69.05,45.37,64.08,54.5,0.2530755711775044,0.031634446397188,5.852372583479789,0.1265377855887522,0.8541300527240774,0.8857644991212654,3.701230228471002,1.5500878734622143,0.9173989455184536,2.087873462214412,0.031634446397188,0.0949033391915641,0.031634446397188,5.441124780316344,0.0,8.0,0.0,0.0,0.0,0.0,33.0,2845.0,Portugal,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/479643-1753351033.jpg?lm=1,alexandre penetra,2028-06-30,479643.0,2026-07-09T08:49:33,2023-07-24,
Ayoub Oufkir,AZ Alkmaar,MF,19.0,220,0.0,0.0,2.05,1.23,2.083,1.25,1.667,2.083,2.083,0.0,3000000.0,0,0.0,0.0,0.0,2.05,0,0,0,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,6.66,76.61,60.0,8.11,36.0,66.67,30.0,39.5,38.76,0.7843137254901962,0.2941176470588235,1.5686274509803924,0.3921568627450981,0.196078431372549,0.4901960784313726,4.313725490196079,0.2941176470588235,0.9803921568627452,4.607843137254903,0.0,0.8823529411764707,1.7647058823529411,8.92156862745098,0.0,0.0,0.0,0.0,0.0,0.0,24.0,918.0,Netherlands,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/1078350-1753439011.jpg?lm=1,ayoub oufkir,2030-06-30,1078350.0,2026-07-09T08:49:33,2026-01-01,
Bendegúz Kovács,AZ Alkmaar,FW,18.0,29,0.0,0.0,6.21,0.0,0.0,0.0,0.0,6.667,0.0,0.0,1500000.0,0,0.0,0.0,0.0,6.21,0,0,0,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,6.4,50.0,0.0,0.0,100.0,0.0,25.0,20.0,22.22,3.333333333333333,0.0,3.333333333333333,3.333333333333333,0.0,0.0,3.333333333333333,3.333333333333333,0.0,3.333333333333333,0.0,0.0,3.333333333333333,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,Hungary,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/1129402-1770129110.jpg?lm=1,bendeguz kovacs,,,,,
Billy van Duijl,AZ Alkmaar,DF,19.0,585,0.15,0.0,0.46,0.15,0.615,1.231,1.538,0.462,0.462,0.0,1500000.0,0,0.15,0.0,0.0,0.46,0,1,0,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,7.31,81.47,53.16,25.0,85.71,55.56,23.08,70.27,58.0,0.3076923076923077,0.0,4.615384615384615,0.3076923076923077,0.9230769230769232,0.7692307692307693,4.615384615384615,0.4615384615384615,1.5384615384615383,4.0,0.1538461538461538,0.1538461538461538,0.9230769230769232,6.461538461538462,0.0,3.0,0.0,0.0,0.0,0.0,7.0,585.0,Netherlands,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/1008564-1697908829.jpg?lm=1,billy van duijl,2031-06-30,1008564.0,2026-07-09T08:49:33,2025-08-04,
Dave Kwakman,AZ Alkmaar,MF,20.0,108,0.0,0.0,0.0,0.0,1.667,0.833,2.5,0.833,5.0,0.0,1500000.0,0,0.0,0.0,0.0,0.0,0,0,0,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netherlands,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/747017-1771407127.jpg?lm=1,dave kwakman,2029-06-30,747017.0,2026-07-09T08:49:33,2024-07-01,
Denso Kasius,AZ Alkmaar,DF,22.0,1219,0.15,0.15,1.85,0.59,4.0,0.519,0.889,0.667,0.667,0.0,6000000.0,0,0.15,0.15,0.4499999999999999,1.85,0,2,2,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,7.01,79.2,59.49,21.82,56.52,58.82,33.33,54.17,52.56,1.5517241379310345,0.3694581280788177,1.995073891625616,0.5911330049261084,0.4433497536945813,0.5172413793103449,5.172413793103448,0.1477832512315271,0.7389162561576355,2.8817733990147785,0.0738916256157635,0.2955665024630542,0.9605911330049262,8.645320197044335,0.0,2.0,0.0,0.0,0.0,0.0,17.0,1218.0,Netherlands,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/577394-1753350609.jpg?lm=1,denso kasius,2029-06-30,577394.0,2026-07-09T08:49:33,2023-07-03,
Elijah Dijkstra,AZ Alkmaar,"DF,MF",18.0,1268,0.0,0.0,0.5,0.07,0.851,1.56,1.206,0.567,1.135,0.0,6000000.0,0,0.0,0.0,0.0,0.5,0,0,0,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,6.63,87.84,59.46,36.36,40.74,52.94,52.0,53.04,52.86,0.9897879025923016,0.0706991358994501,1.908876669285153,0.2120974076983503,0.1413982717989002,1.4846818538884523,6.928515318146112,0.9190887666928516,1.272584446190102,4.312647289866457,0.1413982717989002,0.4948939512961508,0.7776904948939514,9.261586802827964,0.0,2.0,0.0,0.0,0.0,0.0,20.0,1273.0,Netherlands,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/957241-1753350414.jpg?lm=1,elijah dijkstra,2029-06-30,957241.0,2026-07-09T08:49:33,2025-07-01,
Ernest Poku,AZ Alkmaar,FW,21.0,76,0.0,1.18,0.0,0.0,1.25,2.5,0.0,0.0,0.0,1.25,25000000.0,0,0.0,1.18,3.54,0.0,0,0,1,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,6.8,77.78,0.0,100.0,83.33,0.0,100.0,62.5,66.67,1.168831168831169,0.0,0.0,0.0,0.0,2.337662337662338,7.012987012987013,1.168831168831169,0.0,5.8441558441558445,0.0,0.0,5.8441558441558445,7.012987012987013,0.0,0.0,0.0,0.0,0.0,0.0,1.0,77.0,Netherlands,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/718303-1758703071.jpg?lm=1,ernest poku,,,,,
Hobie Verhulst,AZ Alkmaar,GK,32.0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,0,0.0,0.0,0.0,0.0,0,0,0,100.0,100.0,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,6.6,23.08,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,90.0,Netherlands,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/116471-1753350247.jpg?lm=1,hobie verhulst,2028-06-30,116471.0,2026-07-09T08:49:33,2020-07-01,
Ibrahim Sadiq,AZ Alkmaar,"MF,FW",25.0,636,0.28,0.0,2.97,1.42,1.69,0.423,0.704,1.127,1.408,0.423,2000000.0,0,0.28,0.0,0.0,2.97,0,2,0,,,51,1.5,0.7555555555555555,58,1.7058823529411764,0.3484848484848484,6.64,78.22,61.9,25.0,29.41,75.0,40.91,36.51,37.65,1.1145510835913313,0.1393188854489164,1.5325077399380804,0.5572755417956656,0.1393188854489164,0.4179566563467492,4.040247678018575,1.2538699690402475,0.8359133126934984,3.204334365325077,0.0,0.4179566563467492,0.696594427244582,8.777089783281733,0.0,0.0,0.0,0.0,0.0,0.0,20.0,646.0,Ghana,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/543501-1753350943.jpg?lm=1,ibrahim sadiq,2028-06-30,543501.0,2026-07-09T08:49:33,2023-09-01,
