player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,xg_p90,npxg_p90,xa_p90,kp_p90,shots_p90,xg_chain_p90,goals,assists,gk_save_pct,gk_cs_pct,team_goals_against,team_ga_per_game,team_defense_score,team_goals_for,team_gf_per_game,team_attack_score,ss_rating,pass_pct,long_ball_pct,cross_acc_pct,dribble_success_pct,tackles_won_pct,aerial_won_pct,ground_duels_won_pct,total_duels_won_pct,key_passes_per90,big_chances_created_per90,clearances_per90,blocked_shots_per90,outfielder_blocks_per90,interceptions_per90_ss,recoveries_per90,aerial_won_per90,tackles_won_per90_ss,ground_duels_won_per90,errors_per90,possession_won_att_per90,successful_dribbles_per90,final_third_passes_per90,gk_saves_per90,gk_clean_sheets,gk_high_claims_per90,gk_runs_out_per90,gk_punches_per90,gk_crosses_not_claimed,ss_appearances,ss_minutes,nationality,tm_position,tm_photo,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal
Aderlan Santos,AVS Futebol,DF,36.0,1033,0.09,0.0,1.13,0.17,0.087,1.043,1.13,0.696,0.261,0.087,100000.0,0,0.09,0.0,0.0,1.13,0,1,0,,,67,1.9705882352941173,0.0,27,0.7941176470588235,0.0,6.99,78.27,30.68,100.0,100.0,54.17,74.19,72.5,73.53,0.0872093023255814,0.0,9.331395348837209,0.2616279069767442,0.7848837209302325,1.0465116279069768,3.6627906976744176,4.011627906976744,1.1337209302325582,2.5290697674418605,0.0872093023255814,0.0872093023255814,0.1744186046511628,2.441860465116279,0.0,2.0,0.0,0.0,0.0,0.0,17.0,1032.0,Brazil,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/159142-1737119731.jpg?lm=1,aderlan santos,,,,,
Adriel,AVS Futebol,GK,24.0,1440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900000.0,0,0.0,0.0,0.0,0.0,0,0,0,72.1,25.0,67,1.9705882352941173,0.0,27,0.7941176470588235,0.0,7.33,56.12,36.21,0.0,0.0,100.0,80.0,80.0,80.0,0.125,0.0,1.6875,0.0625,0.0,0.0,9.125,0.25,0.0625,0.25,0.3125,0.0,0.0,2.5625,3.875,4.0,0.75,1.0625,0.5625,1.0,16.0,1440.0,Brazil,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/808445-1624912666.jpg?lm=1,adriel,,,,,
André Green,AVS Futebol,FW,27.0,195,0.0,0.0,0.92,0.46,1.818,0.0,0.0,0.455,1.818,0.0,300000.0,0,0.0,0.0,0.0,0.92,0,0,0,,,67,1.9705882352941173,0.0,27,0.7941176470588235,0.0,6.54,75.0,40.0,33.33,0.0,0.0,40.0,50.0,46.67,0.8695652173913044,0.0,1.3043478260869563,0.4347826086956522,0.0,0.0,1.3043478260869563,0.8695652173913044,0.0,2.173913043478261,0.0,0.0,0.0,3.0434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,5.0,207.0,England,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/309841-1648491795.png?lm=1,andre green,2026-06-30,309841.0,2026-07-08T07:43:26,2026-02-02,
Babatunde Akinsola,AVS Futebol,"MF,FW",22.0,2436,0.04,0.15,1.81,0.44,3.063,0.627,0.554,0.812,1.255,0.332,800000.0,0,0.04,0.15,0.4499999999999999,1.81,0,1,4,,,67,1.9705882352941173,0.0,27,0.7941176470588235,0.0,6.62,73.9,54.55,28.74,46.74,75.0,28.26,41.28,39.15,1.136919315403423,0.2200488997555012,0.8435207823960881,0.5501222493887531,0.0366748166259168,0.5501222493887531,4.254278728606357,0.4767726161369193,0.5501222493887531,3.557457212713937,0.0,0.5501222493887531,1.5770171149144254,5.794621026894866,0.0,2.0,0.0,0.0,0.0,0.0,34.0,2454.0,Nigeria,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/924447-1700777468.jpg?lm=1,babatunde akinsola,,,,,
Bruno Lourenço,AVS Futebol,MF,27.0,235,0.0,0.0,1.91,0.38,6.154,0.385,1.538,1.538,2.308,0.0,400000.0,0,0.0,0.0,0.0,1.91,0,0,0,,,67,1.9705882352941173,0.0,27,0.7941176470588235,0.0,6.41,75.0,50.0,12.5,40.0,80.0,33.33,54.17,48.48,1.5450643776824031,0.0,0.0,0.3862660944206008,0.0,0.0,5.021459227467811,1.1587982832618025,1.5450643776824031,5.021459227467811,0.0,0.7725321888412017,0.7725321888412017,7.725321888412017,0.0,0.0,0.0,0.0,0.0,0.0,7.0,233.0,Portugal,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/314942-1569364213.jpg?lm=1,bruno lourenco,,,,,
Budiga Roni,AVS Futebol,MF,26.0,1312,0.14,0.0,1.03,0.27,0.411,1.575,1.575,1.301,0.479,0.0,1000000.0,0,0.14,0.0,0.0,1.03,0,2,0,,,67,1.9705882352941173,0.0,27,0.7941176470588235,0.0,6.9,81.09,28.0,0.0,62.5,64.52,60.0,51.06,52.29,0.6150341685649203,0.0,2.528473804100228,0.4100227790432802,0.2733485193621868,1.571753986332574,4.920273348519363,0.6150341685649203,1.366742596810934,3.2801822323462417,0.0,0.0683371298405467,0.683371298405467,3.758542141230069,0.0,3.0,0.0,0.0,0.0,0.0,16.0,1317.0,Brazil,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/725049-1600327915.jpg?lm=1,budiga roni,,,,,
Carlos Ponck,AVS Futebol,"DF,MF",30.0,927,0.0,0.0,0.39,0.0,0.0,0.971,0.874,1.456,0.194,0.0,100000.0,0,0.0,0.0,0.0,0.39,0,0,0,,,67,1.9705882352941173,0.0,27,0.7941176470588235,0.0,6.39,79.54,24.39,0.0,60.0,66.67,59.38,39.02,47.95,0.1939655172413793,0.0,6.691810344827585,0.2909482758620689,0.8728448275862069,0.9698275862068964,4.267241379310344,1.842672413793104,0.7758620689655172,1.5517241379310345,0.2909482758620689,0.0,0.2909482758620689,1.066810344827586,0.0,1.0,0.0,0.0,0.0,0.0,16.0,928.0,Cape Verde,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/341516-1705662770.png?lm=1,carlos ponck,,,,,
Christian Neiva Afonso,AVS Futebol,"DF,MF",30.0,1531,0.0,0.0,0.65,0.0,4.941,1.235,1.118,2.0,1.059,0.0,300000.0,0,0.0,0.0,0.0,0.65,0,0,0,,,67,1.9705882352941173,0.0,27,0.7941176470588235,0.0,6.52,69.77,36.36,18.07,60.0,57.5,61.22,54.24,56.29,0.9864603481624756,0.11605415860735,4.003868471953578,0.2901353965183752,0.4642166344294003,1.276595744680851,4.526112185686654,1.7408123791102514,1.334622823984526,3.713733075435203,0.0,0.2901353965183752,0.3481624758220503,5.512572533849129,0.0,1.0,0.0,0.0,0.0,0.0,27.0,1551.0,Brazil,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/1065761-1770900958.jpg?lm=1,christian neiva afonso,,,,,
Cristian Castro,AVS Futebol,DF,24.0,2164,0.0,0.0,0.17,0.04,0.125,1.458,0.458,0.833,0.708,0.042,800000.0,0,0.0,0.0,0.0,0.17,0,0,0,,,67,1.9705882352941173,0.0,27,0.7941176470588235,0.0,6.4,83.9,44.14,33.33,75.0,52.38,53.06,56.41,55.12,0.207852193995381,0.0,7.690531177829099,0.0,0.6651270207852193,1.4965357967667436,3.699769053117784,1.0808314087759814,0.4572748267898383,1.829099307159353,0.1247113163972286,0.0831408775981524,0.2494226327944572,2.0369515011547343,0.0,2.0,0.0,0.0,0.0,0.0,26.0,2165.0,Colombia,CB,https://img.a.transfermarkt.technology/portrait/medium/726697.png,cristian castro,,,,,
Daniel Rivas,AVS Futebol,DF,23.0,1526,0.0,0.06,0.35,0.06,1.706,1.294,1.235,0.765,0.471,0.059,500000.0,0,0.0,0.06,0.18,0.35,0,0,1,,,67,1.9705882352941173,0.0,27,0.7941176470588235,0.0,6.68,70.15,27.27,37.93,60.0,60.0,51.16,62.35,58.59,0.7627118644067796,0.1760104302477184,4.576271186440678,0.0586701434159061,0.8213820078226858,1.4080834419817472,3.63754889178618,1.2907431551499349,1.4080834419817472,3.109517601043025,0.0586701434159061,0.0586701434159061,0.3520208604954368,3.754889178617992,0.0,1.0,0.0,0.0,0.0,0.0,26.0,1534.0,Paraguay,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/690124-1710426613.jpg?lm=1,daniel rivas,2027-06-30,690124.0,2026-07-08T07:43:26,2025-07-25,
Diego Duarte,AVS Futebol,"FW,MF",23.0,1293,0.21,0.07,2.16,0.77,0.833,0.278,1.319,0.972,1.389,0.417,250000.0,0,0.21,0.07,0.21,2.16,0,3,1,,,67,1.9705882352941173,0.0,27,0.7941176470588235,0.0,6.7,62.5,7.69,21.43,45.45,77.27,33.82,54.65,45.45,0.7597851112816577,0.0,1.0360706062931695,0.8288564850345357,0.1381427475057559,0.2072141212586339,2.762854950115119,1.5886415963161933,1.1742133537989254,3.2463545663852647,0.0,0.5525709900230238,0.3453568687643898,3.039140445126631,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1303.0,Paraguay,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/661243-1710427443.jpg?lm=1,diego duarte,,,,,
Diogo Spencer,AVS Futebol,"MF,DF",21.0,1004,0.09,0.18,0.54,0.18,2.679,0.893,0.804,1.339,0.625,0.0,900000.0,0,0.09,0.18,0.54,0.54,0,1,2,,,67,1.9705882352941173,0.0,27,0.7941176470588235,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portugal,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/858252-1680003588.jpg?lm=1,diogo spencer,,,,,
Edson,AVS Futebol,DF,21.0,80,0.0,0.0,0.0,0.0,3.333,2.222,1.111,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0,0,0,,,67,1.9705882352941173,0.0,27,0.7941176470588235,0.0,6.4,82.35,50.0,66.67,50.0,100.0,0.0,42.86,42.86,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.0,1.1111111111111112,3.333333333333333,7.777777777777778,0.0,1.1111111111111112,3.333333333333333,0.0,0.0,2.2222222222222223,3.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81.0,,,,edson,,,,,
