player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,xg_p90,npxg_p90,xa_p90,kp_p90,shots_p90,xg_chain_p90,goals,assists,gk_save_pct,gk_cs_pct,team_goals_against,team_ga_per_game,team_defense_score,team_goals_for,team_gf_per_game,team_attack_score,nationality,tm_position,tm_photo,ss_rating,pass_pct,long_ball_pct,cross_acc_pct,dribble_success_pct,tackles_won_pct,aerial_won_pct,ground_duels_won_pct,total_duels_won_pct,key_passes_per90,big_chances_created_per90,clearances_per90,blocked_shots_per90,outfielder_blocks_per90,interceptions_per90_ss,recoveries_per90,aerial_won_per90,tackles_won_per90_ss,ground_duels_won_per90,errors_per90,possession_won_att_per90,successful_dribbles_per90,final_third_passes_per90,gk_saves_per90,gk_clean_sheets,gk_high_claims_per90,gk_runs_out_per90,gk_punches_per90,gk_crosses_not_claimed,ss_appearances,ss_minutes,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal
Abdoulaye Bamba,Angers,DF,35,255,0.0,0.0,0.35,0.35,0.357,2.143,2.143,1.071,1.786,0.0,200000.0,0.005,0.005,0.0,0.0,0.353,0.136,0,0,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,Cote d'Ivoire,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/62351-1750955806.png?lm=1,6.74,77.33,16.67,0.0,0.0,83.33,80.0,66.67,72.0,0.0,0.0,3.045,0.0,1.015,2.03,4.06,2.707,1.692,3.383,0.0,0.677,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0,6.0,266.0,abdoulaye bamba,,,,,
Amine Sbai,Angers,"MF,FW",24,1818,0.15,0.05,1.68,0.79,2.921,0.198,0.495,0.743,1.188,0.248,4000000.0,0.21,0.173,0.133,1.303,1.641,0.417,3,1,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,Morocco,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/851220-1759940291.jpg?lm=1,6.71,72.15,50.0,12.07,37.37,45.0,20.0,38.03,36.84,1.423,0.196,0.098,0.54,0.0,0.344,3.631,0.147,0.442,3.975,0.098,0.638,1.816,8.686,0.0,1.0,0.0,0.0,0.0,0.0,25.0,1834.0,amine sbai,2027-06-30,851220.0,2026-07-09T08:46:36,2025-10-08,
Bane Diatta,Angers,MF,17,5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,France,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,6.7,100.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,bane diatta,,,,,
Branco van den Boomen,Angers,MF,30,1238,0.0,0.07,0.95,0.36,5.0,0.507,1.087,1.377,0.652,0.0,2500000.0,0.076,0.022,0.168,2.01,0.933,0.413,0,1,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,Netherlands,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/203938-1682946572.jpg?lm=1,7.04,89.09,72.92,29.41,44.44,51.85,41.18,47.06,46.08,2.029,0.217,1.304,0.217,0.29,0.507,4.71,0.507,1.014,2.899,0.072,0.435,0.29,12.826,0.0,3.0,0.0,0.0,0.0,0.0,15.0,1242.0,branco van den boomen,,,,,
Carlens Arcus,Angers,DF,29,2040,0.0,0.13,0.4,0.04,1.674,1.278,1.278,1.454,0.705,0.0,1800000.0,0.009,0.009,0.091,0.701,0.395,0.364,0,3,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,Haiti,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/371686-1750955924.png?lm=1,6.68,87.53,48.84,28.95,40.0,75.68,64.1,50.0,53.69,0.702,0.132,2.896,0.088,0.132,1.36,4.081,1.097,1.229,2.413,0.132,0.219,0.088,6.758,0.0,7.0,0.0,0.0,0.0,0.0,26.0,2051.0,carlens arcus,2027-06-30,371686.0,2026-07-09T08:46:36,2024-07-01,
Dan Sinaté,Angers,DF,19,33,0.0,0.0,2.73,0.0,2.5,0.0,0.0,0.0,0.0,0.0,150000.0,0.213,0.213,0.0,0.0,3.6,0.305,0,0,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,Mali,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/955354-1758708129.png?lm=1,6.4,88.24,100.0,0.0,66.67,0.0,0.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.903,0.0,0.0,5.806,0.0,0.0,5.806,14.516,0.0,0.0,0.0,0.0,0.0,0.0,3.0,31.0,dan sinate,2029-06-30,955354.0,2026-07-09T08:46:36,2025-07-01,
Emmanuel Biumla,Angers,DF,20,387,0.0,0.0,0.47,0.0,0.233,0.465,1.163,1.86,1.395,0.0,2500000.0,0.012,0.012,0.0,0.0,0.476,0.053,0,0,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,France,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/1071956-1750955479.png?lm=1,6.37,86.83,25.0,0.0,0.0,57.14,30.77,52.0,44.74,0.0,0.0,3.426,0.0,0.457,0.685,4.112,0.914,0.914,2.97,0.457,0.0,0.0,0.685,0.0,0.0,0.0,0.0,0.0,0.0,9.0,394.0,emmanuel biumla,2028-06-30,1071956.0,2026-07-09T08:46:36,2024-07-31,
Esteban Lepaul,Angers,FW,25,174,0.52,0.0,1.55,0.52,0.0,0.0,0.0,1.053,0.526,0.526,35000000.0,0.513,0.414,0.11,0.75,2.836,0.555,21,5,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,France,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/461607-1750956916.png?lm=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esteban lepaul,,,,,
Florent Hanin,Angers,"DF,MF",35,865,0.0,0.0,0.31,0.0,2.708,1.354,0.833,0.833,0.833,0.0,200000.0,0.008,0.008,0.082,0.84,0.315,0.322,0,0,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,France,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/111811-1750955915.png?lm=1,6.65,77.75,48.39,32.0,33.33,46.67,39.13,52.0,47.95,0.807,0.202,2.825,0.202,0.404,1.11,4.54,0.908,0.706,2.623,0.0,0.202,0.303,5.953,0.0,1.0,0.0,0.0,0.0,0.0,25.0,892.0,florent hanin,,,,,
Goduine Koyalipou,Angers,FW,25,668,0.13,0.13,2.96,1.21,0.405,0.135,0.27,0.541,0.676,0.676,2500000.0,0.454,0.352,0.041,0.673,2.96,0.456,2,1,,,48,1.411764705882353,0.5957446808510638,29,0.8529411764705882,0.0,Central African Republic,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/525140-1714738152.png?lm=1,6.58,75.0,60.0,0.0,35.29,66.67,38.89,35.9,37.33,0.667,0.0,0.667,0.533,0.0,0.267,2.933,1.867,0.267,1.867,0.0,0.667,0.8,3.333,0.0,0.0,0.0,0.0,0.0,0.0,13.0,675.0,goduine koyalipou,,,,,
