player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur
Đorđe Petrović,Bournemouth,GK,25,3420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bernd Leno,Fulham,GK,33,3420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jordan Pickford,Everton,GK,31,3420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Virgil van Dijk,Liverpool,DF,34,3420,0.16,0.0,0.79,0.37,0.026,0.684,0.395,0.5,0.474,0.026,
Bart Verbruggen,Brighton,GK,22,3420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
James Garner,Everton,"MF,DF",24,3413,0.05,0.18,1.19,0.37,5.409,1.504,1.9,1.029,1.108,0.0,
Jarrod Bowen,West Ham United,"MF,FW",28,3403,0.21,0.29,2.09,0.74,3.915,0.714,0.741,0.503,1.296,0.45,
Adrien Truffert,Bournemouth,DF,23,3379,0.03,0.13,0.43,0.16,3.787,1.147,1.36,1.04,0.853,0.0,
Nikola Milenković,Nottingham Forest,DF,27,3375,0.0,0.0,0.43,0.03,0.053,0.773,0.507,0.56,0.533,0.027,
Elliot Anderson,Nottingham Forest,MF,22,3331,0.08,0.11,1.19,0.27,4.73,1.108,1.622,1.541,2.162,0.054,
James Tarkowski,Everton,DF,32,3330,0.05,0.08,0.54,0.27,0.189,0.784,0.811,0.865,0.946,0.054,
Dean Henderson,Crystal Palace,GK,28,3330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Caoimhín Kelleher,Brentford,GK,26,3330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
David Raya,Arsenal,GK,29,3330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Marcos Senesi,Bournemouth,DF,28,3288,0.0,0.14,0.47,0.14,0.767,1.37,0.932,0.959,1.014,0.027,
Igor Thiago,Brentford,FW,24,3282,0.38,0.03,2.3,1.18,0.521,0.329,0.575,2.027,0.712,0.658,
Morgan Rogers,Aston Villa,MF,23,3280,0.27,0.16,2.3,0.88,1.401,0.357,0.632,1.264,1.346,0.082,
Michael Kayode,Brentford,DF,21,3258,0.03,0.03,0.25,0.08,1.547,1.077,1.298,0.718,1.381,0.028,
Tyrick Mitchell,Crystal Palace,MF,25,3251,0.03,0.06,0.53,0.19,2.881,0.914,1.801,0.665,0.776,0.139,
Dominik Szoboszlai,Liverpool,"MF,DF",24,3231,0.17,0.19,1.98,0.64,5.738,0.808,0.891,1.17,0.836,0.056,
Luke Shaw,Manchester Utd,DF,30,3219,0.03,0.03,0.28,0.08,1.508,1.201,1.257,1.341,0.559,0.0,
Jan Paul van Hecke,Brighton,DF,25,3210,0.08,0.08,0.64,0.28,0.644,1.261,0.868,0.756,1.204,0.112,
Neco Williams,Nottingham Forest,DF,24,3204,0.06,0.08,1.29,0.53,4.017,1.292,1.713,0.815,1.461,0.112,
Robin Roefs,Sunderland,GK,22,3150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Martin Dúbravka,Burnley,GK,36,3150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ferdi Kadioglu,Brighton,"DF,MF",25,3133,0.03,0.0,0.8,0.37,3.132,0.718,1.121,0.632,1.034,0.201,
Jake O'Brien,Everton,DF,24,3120,0.03,0.03,0.37,0.17,1.412,0.375,0.922,0.663,0.49,0.115,
Ethan Ampadu,Leeds United,MF,24,3119,0.03,0.03,0.75,0.17,0.72,1.441,1.326,1.441,1.037,0.0,
Enzo Fernández,Chelsea,MF,24,3115,0.23,0.12,2.08,0.9,2.572,0.578,0.694,1.04,1.301,0.029,
Morgan Gibbs-White,Nottingham Forest,MF,25,3097,0.41,0.12,2.41,0.93,1.221,0.349,0.465,0.756,1.192,0.145,
