player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur
Davy Roef,Gent,GK,31,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Andreas Jungdal,Westerlo,GK,23,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ewoud Pletinckx,OH Leuven,DF,24,3537,0.08,0.0,0.89,0.31,0.382,1.094,0.891,0.763,0.102,0.025,
Matte Smets,Genk,DF,21,3509,0.0,0.03,0.38,0.0,0.256,1.359,1.154,0.538,0.487,0.0,
Bryan Reynolds,Westerlo,DF,24,3493,0.05,0.08,0.59,0.21,1.856,0.825,0.902,0.954,0.593,0.077,
Bryan Heynen,Genk,MF,28,3479,0.1,0.03,1.16,0.28,0.594,1.163,1.654,1.137,1.034,0.0,
Check Keita,Charleroi,DF,22,3435,0.08,0.0,0.45,0.08,0.105,0.602,0.707,0.838,0.497,0.393,
Brandon Mechele,Club Brugge,DF,32,3433,0.13,0.05,0.89,0.37,0.131,1.181,1.155,0.971,0.551,0.052,
Leo Kokubo,Sint-Truiden,GK,24,3420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Colin Coosemans,Anderlecht,GK,32,3420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Dogucan Haspolat,Westerlo,MF,25,3393,0.03,0.11,1.22,0.27,6.79,1.592,1.247,1.194,1.671,0.0,
Aiham Ousou,Charleroi,DF,25,3393,0.05,0.03,0.9,0.27,0.027,0.981,0.928,1.061,0.504,0.053,
Fredrik Hammer,Mechelen,MF,24,3364,0.03,0.03,0.75,0.16,0.187,1.684,2.62,1.471,1.23,0.0,
Hans Vanaken,Club Brugge,MF,32,3364,0.19,0.08,1.55,0.56,1.15,0.588,0.642,0.508,0.775,0.027,
Abdoulaye Sissako,Sint-Truiden,MF,27,3339,0.05,0.08,0.81,0.11,0.27,1.348,1.429,1.159,0.458,0.0,
Emin Bayram,Westerlo,DF,22,3320,0.08,0.05,1.03,0.3,0.352,1.463,0.65,0.705,0.596,0.0,
Rihito Yamamoto,Sint-Truiden,MF,23,3281,0.14,0.16,1.4,0.44,2.137,1.233,1.397,1.397,2.63,0.137,
Ilias Sebaoui,Sint-Truiden,"MF,FW",23,3253,0.14,0.17,2.55,0.75,1.247,0.443,0.859,1.385,1.108,0.166,
Brent Gabriël,Zulte Waregem,GK,26,3240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Christian Burgess,Union SG,DF,33,3146,0.06,0.09,0.63,0.26,0.057,1.2,0.857,0.971,0.629,0.0,
Anan Khalaili,Union SG,MF,20,3087,0.09,0.15,1.11,0.38,3.324,1.312,1.312,0.671,0.292,0.175,
Vincent Janssen,Antwerp,FW,31,3081,0.18,0.2,2.63,0.88,0.673,0.146,0.673,1.199,1.374,1.14,
Aleksandar Stanković,Club Brugge,MF,19,3071,0.18,0.06,2.17,0.73,0.88,1.261,0.674,0.85,0.85,0.0,
Christos Tzolis,Club Brugge,"MF,FW",23,3068,0.41,0.67,3.61,1.29,8.152,0.264,0.557,0.909,1.76,0.147,
Zeno Van den Bosch,Antwerp,DF,22,3068,0.0,0.03,0.38,0.18,0.528,1.584,0.997,1.349,0.499,0.0,
Robert-Jan Vanwesemael,Sint-Truiden,"DF,MF",23,3064,0.03,0.03,1.0,0.23,3.265,1.176,1.324,1.618,0.618,0.088,
Marcos Peano,La Louvière,GK,26,3060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Luc Marijnissen,Dender,DF,22,3057,0.03,0.0,0.47,0.18,0.971,1.206,1.353,1.029,0.382,0.059,
Therence Koudou,Mechelen,MF,20,3046,0.15,0.06,0.74,0.24,3.757,0.769,0.71,0.444,1.124,0.148,
Etienne Camara,Charleroi,MF,22,3016,0.06,0.09,0.6,0.18,0.478,1.582,1.701,2.179,0.328,0.0,
