player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur
Danilho Doekhi,Union Berlin,DF,27,3060,0.15,0.0,1.32,0.32,0.176,1.235,0.912,0.824,0.441,0.029,
Nikola Vasilj,St Pauli,GK,29,3060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alexander Nübel,Stuttgart,GK,28,3060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Marvin Schwäbe,Köln,GK,30,3060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kamil Grabara,Wolfsburg,GK,26,3060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Moritz Nicolas,Gladbach,GK,27,3060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Finn Dahmen,Augsburg,GK,27,3060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Noah Atubolu,Freiburg,GK,23,3060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Maximilian Eggestein,Freiburg,MF,28,3060,0.09,0.03,1.29,0.38,0.412,0.912,1.0,0.529,0.588,0.029,
Oliver Baumann,Hoffenheim,GK,35,3060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Patrick Mainka,Heidenheim,DF,30,3060,0.06,0.06,1.09,0.26,0.0,1.059,0.882,0.294,0.588,0.088,
Gregor Kobel,Dortmund,GK,27,3060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kaishū Sano,Mainz 05,MF,24,3059,0.03,0.06,0.71,0.18,0.529,1.971,0.912,0.412,0.853,0.118,
Jakub Kamiński,Köln,"MF,FW",23,3016,0.21,0.09,1.85,0.75,3.433,0.746,0.806,0.418,0.836,0.209,
Vladimír Coufal,Hoffenheim,"DF,MF",32,3012,0.03,0.24,0.78,0.18,6.239,1.164,1.045,0.955,1.254,0.03,
Romano Schmid,Werder Bremen,"MF,FW",25,2982,0.03,0.24,1.72,0.63,4.653,0.393,0.846,0.574,0.937,0.151,
Daniel Heuer Fernandes,Hamburger SV,GK,32,2970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Nico Elvedi,Gladbach,DF,28,2966,0.0,0.06,0.27,0.0,0.03,1.212,0.97,0.545,0.485,0.03,
Willi Orban,RB Leipzig,DF,32,2949,0.06,0.0,0.61,0.27,0.244,1.372,1.006,0.61,0.701,0.061,
Nicolai Remberg,Hamburger SV,MF,25,2880,0.0,0.06,0.53,0.25,0.156,1.344,0.844,1.375,1.5,0.031,
Waldemar Anton,Dortmund,DF,29,2880,0.06,0.0,0.5,0.19,0.375,1.031,1.312,0.812,0.5,0.0,
Mio Backhaus,Werder Bremen,GK,21,2880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Leon Avdullahu,Hoffenheim,MF,21,2834,0.0,0.03,0.44,0.06,0.476,1.048,0.952,0.857,0.381,0.032,
Matthias Ginter,Freiburg,DF,31,2833,0.1,0.1,0.6,0.22,0.476,0.698,0.444,0.508,0.603,0.063,
Robin Koch,Frankfurt,DF,29,2833,0.1,0.03,0.48,0.16,0.063,1.492,0.857,0.984,0.413,0.0,
Rani Khedira,Union Berlin,MF,31,2830,0.16,0.03,0.73,0.32,0.828,1.178,1.115,1.656,0.573,0.064,
Robin Fellhauer,Augsburg,MF,27,2799,0.1,0.06,0.96,0.29,2.958,0.707,1.383,0.804,1.061,0.193,
Diant Ramaj,Heidenheim,GK,23,2790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Christoph Baumgartner,RB Leipzig,MF,25,2780,0.42,0.26,2.62,1.13,0.194,0.712,1.294,2.039,1.068,0.129,
Senne Lynen,Werder Bremen,MF,26,2752,0.0,0.0,0.82,0.13,0.458,2.516,1.078,1.242,0.392,0.0,
