player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur
Joel Drommel,Sparta R.,GK,28,3060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kodai Sano,NEC Nijmegen,MF,21,3060,0.09,0.21,1.0,0.26,2.118,1.471,1.176,1.324,1.059,0.029,
Jari De Busser,Go Ahead Eagles,GK,25,3060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Casper Widell,Excelsior,DF,22,3053,0.03,0.03,0.56,0.12,0.088,1.032,0.619,0.708,0.265,0.0,
Thijmen Blokzijl,Groningen,DF,20,3046,0.03,0.03,0.33,0.03,0.148,0.888,0.621,0.68,0.385,0.0,
Tobias Lauritsen,Sparta R.,FW,27,3039,0.27,0.15,2.13,0.8,0.118,0.178,0.385,0.828,1.657,0.207,
Joris Kramer,Go Ahead Eagles,DF,28,3015,0.03,0.09,0.45,0.15,0.806,1.104,0.567,0.687,0.418,0.0,
Jeff Hardeveld,Telstar,"MF,DF",30,2975,0.18,0.21,0.82,0.39,5.076,1.057,1.48,0.906,0.302,0.121,
Timon Wellenreuther,Feyenoord,GK,29,2970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Marvin Young,Sparta R.,DF,19,2970,0.0,0.03,0.3,0.03,0.0,1.667,1.182,1.091,0.515,0.03,
Daniel Bielica,NAC Breda,GK,26,2970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Guus Offerhaus,Telstar,"DF,MF",24,2969,0.03,0.09,0.55,0.09,3.091,0.939,0.636,1.061,0.212,0.0,
Thom van Bergen,Groningen,"FW,MF",21,2966,0.27,0.12,3.06,1.12,0.455,0.182,0.848,1.545,2.121,0.636,
Ronald Koeman Jr.,Telstar,GK,30,2958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mats Rots,Twente,DF,19,2949,0.12,0.12,1.13,0.37,2.5,1.189,1.585,0.823,0.854,0.091,
Joris van Overeem,Heerenveen,"MF,DF",31,2930,0.06,0.28,0.46,0.12,3.037,1.135,0.89,1.319,1.012,0.092,
Damon Mirani,Heracles Almelo,DF,29,2929,0.09,0.0,0.46,0.15,0.031,0.862,0.677,0.615,0.431,0.062,
Vasilios Barkas,Utrecht,GK,31,2925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bart van Rooij,Twente,DF,24,2923,0.09,0.15,1.14,0.28,2.308,0.615,2.092,0.862,1.077,0.062,
Alonzo Engwanda,Utrecht,MF,22,2918,0.0,0.03,0.28,0.03,0.37,1.728,1.944,0.864,0.525,0.0,
Koen Kostons,Zwolle,FW,25,2882,0.34,0.19,1.87,0.84,0.438,0.094,0.469,0.969,0.906,0.562,
Kayne van Oevelen,Volendam,GK,21,2850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alexandre Penetra,AZ Alkmaar,DF,23,2844,0.06,0.03,0.51,0.06,0.222,0.918,0.918,0.633,0.728,0.063,
Anselmo García MacNulty,Zwolle,DF,22,2843,0.06,0.0,0.47,0.16,0.316,1.171,0.854,0.918,0.475,0.032,
Souffian El Karouani,Utrecht,DF,24,2833,0.06,0.35,1.49,0.51,9.937,0.952,1.778,1.46,1.365,0.063,
Melle Meulensteen,Go Ahead Eagles,"MF,DF",26,2826,0.16,0.03,1.27,0.57,0.573,1.656,0.828,0.478,1.338,0.064,
Jorg Schreuders,Groningen,MF,20,2822,0.03,0.06,1.15,0.57,1.497,0.446,1.115,0.86,1.306,0.223,
Stijn van Gassel,Excelsior,GK,28,2819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Boy Kemper,NAC Breda,DF,26,2818,0.13,0.1,0.96,0.42,3.834,0.831,0.99,1.246,1.278,0.064,
Marvin Peersman,Groningen,DF,34,2815,0.06,0.03,0.67,0.19,1.374,0.927,0.767,1.246,1.31,0.351,
