player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur
Antonio Sivera,Alavés,GK,28,3420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ionuț Radu,Celta Vigo,GK,28,3420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
David Soria,Getafe,GK,32,3420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Álex Remiro,Real Sociedad,GK,30,3330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Leandro Cabrera,Espanyol,DF,34,3330,0.08,0.0,1.08,0.32,0.541,0.622,0.622,1.027,0.243,0.027,
Unai Simón,Athletic Club,GK,28,3330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Marko Dmitrović,Espanyol,GK,33,3330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Martin Valjent,Mallorca,DF,29,3308,0.0,0.0,0.46,0.22,0.054,0.652,0.897,0.978,0.326,0.0,
Sergio Herrera,Osasuna,GK,32,3284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Luis Milla,Getafe,MF,30,3271,0.03,0.28,0.74,0.11,6.198,1.157,0.909,0.882,1.185,0.083,
Mauro Arambarri,Getafe,MF,29,3249,0.11,0.06,1.61,0.53,0.526,0.582,1.191,1.662,1.856,0.111,
Aarón Escandell,Oviedo,GK,29,3240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mathew Ryan,Levante,GK,33,3240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Nahuel Tenaglia,Alavés,DF,29,3239,0.06,0.0,0.67,0.22,0.472,1.306,1.194,0.861,1.167,0.139,
Florian Lejeune,Rayo Vallecano,DF,34,3230,0.06,0.03,1.39,0.5,0.223,1.309,1.309,1.309,0.39,0.028,
Carlos Romero,Espanyol,DF,23,3191,0.17,0.08,1.18,0.34,2.507,1.07,1.69,1.127,0.535,0.028,
Iglesias,Getafe,DF,27,3185,0.03,0.06,0.73,0.14,3.051,0.791,2.034,1.78,1.977,0.028,
Jeremy Toljan,Levante,DF,30,3164,0.03,0.11,0.26,0.03,2.159,0.881,1.108,0.937,0.54,0.057,
Aleix Febas,Elche,MF,29,3160,0.06,0.06,0.66,0.23,0.627,0.769,1.311,0.969,3.362,0.028,
Vitor Reis,Girona,DF,19,3138,0.03,0.03,0.54,0.11,0.0,1.003,0.917,1.146,0.688,0.029,
Vedat Muriqi,Mallorca,FW,31,3128,0.52,0.03,3.28,1.44,0.172,0.086,0.086,1.207,1.839,0.431,
Antonio Blanco,Alavés,MF,25,3110,0.06,0.09,1.16,0.38,0.867,1.474,1.416,2.052,1.243,0.058,
Paulo Gazzaniga,Girona,GK,33,3102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Catena,Osasuna,DF,30,3071,0.09,0.06,0.56,0.12,0.029,0.938,0.85,1.349,0.411,0.088,
Augusto Batalla,Rayo Vallecano,GK,29,3060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jon Moncayola,Osasuna,MF,27,3016,0.0,0.12,0.69,0.15,4.239,0.806,0.776,1.224,0.388,0.0,
Jonny Castro,Alavés,DF,31,2994,0.0,0.0,0.27,0.09,0.691,1.201,1.231,1.111,0.901,0.03,
Odysseas Vlachodimos,Sevilla,GK,31,2970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Leo Román,Mallorca,GK,25,2970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
David Affengruber,Elche,DF,24,2949,0.03,0.03,0.43,0.12,0.244,1.524,1.524,1.037,1.067,0.061,
