player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur
Lazar Carević,Famalicão,GK,26,3060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bernardo Fontes,Tondela,GK,23,3060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Felix Bacher,Estoril,DF,24,3060,0.06,0.0,0.35,0.06,0.0,1.5,0.882,1.088,1.059,0.0,
Renan Ribeiro,Estrela,GK,35,2970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Lukáš Horníček,Braga,GK,23,2959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sidney,Santa Clara,DF,28,2930,0.03,0.0,0.49,0.09,0.613,1.104,0.828,0.951,0.798,0.031,
Diogo Costa,Porto,GK,25,2906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jesús Ramírez,Nacional,FW,27,2883,0.37,0.0,3.37,1.44,0.156,0.125,0.375,1.406,1.312,0.344,
Rui Silva,Sporting CP,GK,31,2880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Gabriel Batista,Santa Clara,GK,27,2880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Anatolii Trubin,Benfica,GK,23,2880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Victor Froholdt,Porto,MF,19,2872,0.19,0.19,1.25,0.34,0.972,1.066,0.846,1.223,1.442,0.0,
Samuel Dahl,Benfica,DF,22,2860,0.03,0.03,0.53,0.19,1.887,0.755,1.792,0.755,0.881,0.094,
Francisco Trincão,Sporting CP,MF,25,2847,0.22,0.35,2.34,0.76,4.082,0.316,0.665,0.696,0.665,0.063,
Larra,Casa Pia,MF,27,2843,0.16,0.13,1.52,0.66,2.532,1.013,0.949,0.949,0.411,0.032,
Kaiky Naves,Alverca,DF,23,2833,0.06,0.0,0.54,0.13,0.222,1.524,1.492,1.016,0.222,0.032,
Jordan Holsgrove,Estoril,MF,25,2830,0.03,0.22,1.14,0.22,4.395,0.955,1.242,1.083,1.529,0.0,
Nabil Touaizi,Alverca,MF,24,2818,0.0,0.16,0.73,0.32,4.026,0.927,0.511,0.831,0.671,0.096,
Paulinho Bóia,Nacional,"FW,MF",27,2810,0.13,0.06,1.95,0.83,2.981,0.321,0.769,1.282,2.308,0.321,
João Carvalho,Estoril,"MF,FW",28,2791,0.19,0.35,1.58,0.68,2.032,0.742,0.806,1.032,1.258,0.097,
Justin de Haas,Famalicão,DF,25,2790,0.13,0.0,0.68,0.29,0.258,1.0,0.871,1.129,0.839,0.032,
Joel Robles,Estoril,GK,35,2790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Marcos Vinicios Sorriso,Famalicão,"MF,FW",24,2784,0.16,0.13,2.04,0.65,5.663,0.68,0.906,1.1,2.88,0.065,
Jérémy Livolant,Casa Pia,"FW,MF",27,2764,0.07,0.26,1.5,0.52,5.635,0.391,0.847,0.814,2.476,0.358,
Luís Esteves,Gil Vicente FC,MF,27,2754,0.13,0.26,2.48,0.75,4.183,0.882,0.948,1.144,1.732,0.065,
Tom van de Looi,Famalicão,MF,26,2746,0.0,0.0,1.05,0.13,0.164,0.656,1.475,1.475,0.787,0.0,
Jonathan Buatu,Gil Vicente FC,DF,31,2745,0.03,0.03,0.49,0.07,0.0,0.754,0.689,0.918,0.426,0.131,
Naïs Djouahra,Arouca,MF,25,2726,0.2,0.1,1.62,0.63,5.083,0.891,0.561,0.33,0.066,0.099,
Yanis Begraoui,Estoril,FW,24,2719,0.5,0.03,2.65,1.16,0.993,0.265,0.199,0.795,1.06,0.795,
Léo Santos,Nacional,DF,26,2717,0.1,0.07,0.76,0.2,0.298,1.06,0.563,1.258,0.695,0.199,
