player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur
Jordan Lefort,Angers,DF,31,3060,0.0,0.06,0.32,0.06,0.676,1.382,0.971,0.647,0.559,0.059,
Matthieu Udol,Lens,"MF,DF",29,3002,0.03,0.21,1.41,0.51,3.443,1.527,0.629,0.898,0.808,0.06,
Mike Penders,Strasbourg,GK,20,2970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Robin Risser,Lens,GK,20,2970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Issa Soumaré,Le Havre,"FW,MF",24,2948,0.21,0.15,2.35,0.85,1.86,0.366,0.61,1.707,2.256,0.427,
Guillaume Restes,Toulouse,GK,20,2939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Malang Sarr,Lens,DF,26,2925,0.0,0.03,0.71,0.15,0.308,2.338,1.354,0.646,0.738,0.0,
Brice Samba,Rennes,GK,31,2880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Haris Belkebla,Angers,MF,31,2875,0.0,0.0,0.16,0.0,0.157,0.94,1.379,0.752,1.693,0.0,
Berke Özer,Lille,GK,25,2834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Clinton Mata,Lyon,DF,32,2833,0.0,0.0,0.16,0.0,0.635,0.825,0.667,1.111,1.111,0.0,
Kévin Danois,Auxerre,MF,21,2830,0.1,0.03,0.8,0.25,4.14,1.21,1.529,1.051,0.828,0.096,
Ludovic Ajorque,Brest,FW,31,2820,0.26,0.29,1.76,0.54,0.288,0.351,0.639,2.077,1.757,0.447,
Kenny Lala,Brest,DF,33,2791,0.0,0.1,0.26,0.03,3.419,0.839,0.839,0.548,0.742,0.0,
Yvon Mvogo,Lorient,GK,31,2790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Anthony Lopes,Nantes,GK,34,2788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Joris Chotard,Brest,MF,23,2773,0.06,0.03,0.81,0.26,1.656,1.558,1.104,0.909,0.39,0.0,
Lassine Sinayoko,Auxerre,"FW,MF",25,2770,0.29,0.13,3.02,1.27,1.039,0.844,0.844,0.974,1.721,0.422,
Moussa Niakhaté,Lyon,DF,29,2759,0.0,0.07,0.13,0.0,0.195,1.042,0.717,1.238,1.042,0.0,
Valentin Rongier,Rennes,MF,30,2745,0.07,0.16,0.72,0.33,0.689,1.18,1.574,1.574,0.852,0.0,
Ousmane Camara,Angers,DF,22,2718,0.03,0.0,0.43,0.17,0.099,1.126,0.96,0.728,0.232,0.033,
Moustapha Mbow,Paris FC,DF,25,2717,0.0,0.03,0.33,0.1,0.066,1.258,1.093,0.894,0.53,0.033,
Pierre Højbjerg,Marseille,MF,29,2712,0.13,0.17,1.53,0.46,0.332,0.864,0.797,1.262,1.528,0.0,
Hugo Magnetti,Brest,MF,27,2688,0.03,0.03,0.74,0.17,0.87,1.472,1.505,1.037,1.104,0.0,
Adrien Thomasson,Lens,MF,31,2683,0.1,0.3,1.44,0.44,4.06,0.671,1.879,1.812,1.443,0.134,
Hervé Koffi,Angers,GK,28,2658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mory Diaw,Le Havre,GK,32,2655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mahdi Camara,Rennes,MF,27,2653,0.1,0.03,0.98,0.41,0.949,0.915,1.119,1.322,0.949,0.136,
Ayumu Seko,Le Havre,"MF,DF",25,2625,0.0,0.0,0.58,0.21,0.171,1.199,0.822,0.959,0.685,0.034,
Romain Del Castillo,Brest,"MF,FW",29,2625,0.1,0.1,1.13,0.45,6.781,0.959,1.233,0.959,1.473,0.171,
