player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur
Wladimiro Falcone,Lecce,GK,30,3420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Elia Caprile,Cagliari,GK,23,3420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jean Butez,Como,GK,30,3420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mile Svilar,Roma,GK,25,3420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Marco Carnesecchi,Atalanta,GK,25,3330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
David de Gea,Fiorentina,GK,34,3330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Victor Nelsson,Hellas Verona,DF,26,3315,0.0,0.0,0.22,0.03,0.136,2.038,1.223,1.196,0.543,0.0,
Mike Maignan,Milan,GK,30,3295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Pierre Kalulu,Juventus,"DF,MF",25,3281,0.05,0.11,0.36,0.11,2.575,0.658,0.959,0.932,0.438,0.0,
Tiago Gabriel,Lecce,DF,20,3219,0.06,0.0,0.56,0.11,0.056,1.285,1.117,0.81,1.117,0.028,
Johan Vásquez,Genoa,DF,26,3215,0.03,0.0,0.67,0.17,0.672,1.289,1.064,0.644,1.289,0.028,
Ylber Ramadani,Lecce,MF,29,3203,0.03,0.0,0.96,0.14,0.449,1.236,1.404,1.208,1.657,0.0,
Simone Canestrelli,Pisa,DF,24,3201,0.03,0.0,0.45,0.08,0.337,0.927,0.702,1.18,0.618,0.028,
Lorenzo Montipò,Hellas Verona,GK,29,3150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jesper Karlström,Udinese,MF,30,3146,0.03,0.0,0.57,0.09,0.429,1.057,0.971,1.2,0.857,0.029,
Dodô,Fiorentina,"DF,MF",26,3134,0.03,0.06,0.72,0.11,4.397,0.891,0.517,0.632,1.523,0.057,
Bryan Cristante,Roma,MF,30,3094,0.06,0.03,1.28,0.23,0.552,0.814,1.25,1.831,0.262,0.0,
Saúl Coco,Torino,DF,26,3088,0.03,0.03,0.44,0.12,0.146,1.195,0.991,1.341,0.991,0.0,
Morten Frendrup,Genoa,MF,24,3081,0.03,0.0,0.23,0.09,0.146,1.199,2.076,1.199,1.14,0.0,
Marco Palestra,Cagliari,"MF,DF",20,3081,0.03,0.12,0.85,0.2,3.099,0.556,1.023,1.199,3.158,0.234,
Antonio Caracciolo,Pisa,DF,35,3073,0.06,0.0,0.73,0.18,0.088,1.672,1.29,1.202,0.323,0.059,
Jay Idzes,Sassuolo,DF,25,3061,0.0,0.0,0.15,0.0,0.029,1.118,0.441,0.971,0.412,0.029,
Emil Audero,Cremonese,GK,28,3060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Gianluca Mancini,Roma,DF,29,3059,0.12,0.06,0.59,0.24,0.853,1.382,0.824,2.088,1.235,0.147,
Antonino Gallo,Lecce,DF,25,3056,0.0,0.12,0.18,0.03,3.941,0.441,1.088,0.206,0.382,0.0,
Michel Ndary Adopo,Cagliari,MF,25,3050,0.03,0.06,0.83,0.32,0.767,0.914,0.944,1.032,0.737,0.147,
Nikola Vlašić,Torino,"MF,FW",27,3043,0.09,0.09,1.45,0.5,1.42,0.651,1.154,1.302,1.331,0.118,
Danilo Veiga,Lecce,DF,22,3020,0.0,0.03,0.18,0.06,2.649,0.952,1.577,1.369,1.399,0.03,
Filippo Terracciano,Cremonese,DF,22,3011,0.06,0.0,0.42,0.12,0.806,1.672,0.687,0.537,0.776,0.0,
Lloyd Kelly,Juventus,DF,26,2996,0.03,0.03,0.51,0.09,0.36,0.42,0.991,1.291,0.601,0.12,
