sofascore_id,player,squad,norm_key,rating,appearances,matchesStarted,minutesPlayed,goals,expectedGoals,assists,expectedAssists,bigChancesCreated,bigChancesMissed,totalShots,shotsOnTarget,goalConversionPercentage,accuratePasses,totalPasses,accuratePassesPercentage,accurateLongBalls,totalLongBalls,accurateLongBallsPercentage,keyPasses,accurateFinalThirdPasses,accurateChippedPasses,totalChippedPasses,successfulDribbles,totalContest,successfulDribblesPercentage,totalCross,accurateCrosses,accurateCrossesPercentage,touches,possessionLost,possessionWonAttThird,ballRecovery,dispossessed,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialLost,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,tackles,tacklesWon,tacklesWonPercentage,interceptions,clearances,blockedShots,outfielderBlocks,errorLeadToGoal,errorLeadToShot,dribbledPast,fouls,wasFouled,yellowCards,redCards,saves,savesCaught,savesParried,cleanSheet,goalsConceded,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,penaltyFaced,penaltySave
804508,Viktor Gyökeres,Arsenal,viktor gyokeres,6.6111111111111,36,26,2254,14,12.3978,1,1.93781326,4,13,55,22,25.454545454545,199,319,62.382445141066,1,3,33.333333333333,20,119,4,12,7,37,18.918918918919,8,3,37.5,652,270,20,55,25,44,32.116788321168,30,67,30.927835051546,74,31.623931623932,7,5,71.428571428571,1,19,14,3,0,1,8,35,31,5,0,0,0,0,4,14,0,0,11,3,0,0,0,0,0,0,0
934235,Bukayo Saka,Arsenal,bukayo saka,7.2354838709677,31,25,2225,7,7.5522,5,7.16070266,12,8,71,27,9.8591549295775,593,773,76.714100905563,14,39,35.897435897436,63,341,15,39,50,101,49.50495049505,122,40,32.786885245902,1382,407,27,117,32,145,52.727272727273,22,30,42.307692307692,167,51.070336391437,41,21,51.219512195122,16,11,24,1,0,1,16,33,54,2,0,0,0,0,8,16,0,0,11,5,0,0,0,0,0,0,0
794839,Gabriel Jesus,Arsenal,gabriel jesus,6.5928571428571,14,3,421,3,2.6899,0,0.27454109,0,6,19,12,15.789473684211,83,108,76.851851851852,0,2,0.0,3,40,4,7,8,16,50.0,0,0,0.0,214,67,3,19,11,13,30.952380952381,10,19,34.48275862069,23,32.394366197183,4,0,0.0,3,5,3,0,0,0,1,9,1,3,0,0,0,0,0,6,0,0,4,2,0,0,0,0,0,0,0
836705,Kai Havertz,Arsenal,kai havertz,6.725,12,7,583,2,3.3114,3,0.65939322,2,6,18,4,11.111111111111,123,166,74.096385542169,1,3,33.333333333333,11,63,4,6,3,6,50.0,6,0,0.0,270,85,3,14,8,19,45.238095238095,17,25,40.47619047619,36,42.857142857143,8,5,62.5,1,8,6,1,0,0,6,8,8,1,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0
922573,Gabriel Martinelli,Arsenal,gabriel martinelli,6.6275862068966,30,11,1079,1,3.9913,4,1.26334949,4,7,29,13,3.448275862069,189,261,72.413793103448,4,15,26.666666666667,13,86,5,11,22,38,57.894736842105,37,9,24.324324324324,520,191,16,52,26,47,45.192307692308,8,18,30.769230769231,55,42.307692307692,12,8,66.666666666667,1,10,7,1,0,2,6,10,14,3,0,0,0,0,0,8,0,0,7,1,0,0,0,0,0,0,0
966547,Noni Madueke,Arsenal,noni madueke,6.848,26,16,1226,3,1.2228,1,2.82866454,7,2,26,10,11.538461538462,313,411,76.155717761557,11,20,55.0,22,171,8,16,29,61,47.540983606557,80,16,20.0,735,257,9,35,17,65,43.624161073826,10,12,45.454545454545,75,43.859649122807,21,10,47.619047619048,5,8,10,1,0,0,21,15,15,0,0,0,0,0,0,9,0,0,6,3,0,0,0,0,0,0,0
135666,Leandro Trossard,Arsenal,leandro trossard,6.9516129032258,31,21,2006,6,5.475,6,3.5623701,8,8,53,15,11.320754716981,583,757,77.014531043593,31,74,41.891891891892,36,281,39,82,25,56,44.642857142857,58,14,24.137931034483,1194,345,10,80,39,90,47.368421052632,6,13,31.578947368421,96,45.933014354067,27,17,62.962962962963,9,14,18,3,0,1,18,13,39,2,0,0,0,0,4,15,0,0,12,3,0,0,0,0,0,0,0
547410,Martin Ødegaard,Arsenal,martin odegaard,6.9916666666667,24,16,1370,1,1.2311,6,3.66602663,6,0,22,8,4.5454545454545,701,828,84.661835748792,38,74,51.351351351351,40,305,30,77,9,27,33.333333333333,22,6,27.272727272727,999,201,19,70,13,37,41.573033707865,3,5,37.5,40,41.237113402062,19,8,42.105263157895,7,6,5,0,0,1,12,9,9,0,0,0,0,0,3,13,0,0,10,3,0,0,0,0,0,0,0
856714,Declan Rice,Arsenal,declan rice,7.4583333333333,36,35,3099,4,3.1747,5,6.9557609,17,3,40,13,10.0,1865,2136,87.312734082397,88,183,48.087431693989,64,534,66,126,14,28,50.0,178,47,26.404494382022,2769,498,12,180,18,95,56.88622754491,50,24,67.567567567568,145,60.165975103734,70,35,50.0,37,78,13,12,1,0,14,26,11,3,0,0,0,0,13,25,0,0,19,6,0,0,0,0,0,0,0
864921,Eberechi Eze,Arsenal,eberechi eze,6.969696969697,33,22,1900,7,5.0541,2,2.65917195,4,2,63,20,11.111111111111,565,666,84.834834834835,16,38,42.105263157895,16,228,13,33,29,49,59.183673469388,12,2,16.666666666667,973,186,17,79,24,88,57.516339869281,10,25,28.571428571429,98,52.127659574468,19,14,73.684210526316,11,10,24,1,0,2,7,16,40,1,0,0,0,0,2,14,0,0,11,3,0,0,0,0,0,0,0
