sofascore_id,player,squad,norm_key,rating,appearances,matchesStarted,minutesPlayed,goals,expectedGoals,assists,expectedAssists,bigChancesCreated,bigChancesMissed,totalShots,shotsOnTarget,goalConversionPercentage,accuratePasses,totalPasses,accuratePassesPercentage,accurateLongBalls,totalLongBalls,accurateLongBallsPercentage,keyPasses,accurateFinalThirdPasses,accurateChippedPasses,totalChippedPasses,successfulDribbles,totalContest,successfulDribblesPercentage,totalCross,accurateCrosses,accurateCrossesPercentage,touches,possessionLost,possessionWonAttThird,ballRecovery,dispossessed,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialLost,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,tackles,tacklesWon,tacklesWonPercentage,interceptions,clearances,blockedShots,outfielderBlocks,errorLeadToGoal,errorLeadToShot,dribbledPast,fouls,wasFouled,yellowCards,redCards,saves,savesCaught,savesParried,cleanSheet,goalsConceded,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,penaltyFaced,penaltySave
151545,Virgil van Dijk,Liverpool,virgil van dijk,7.26,38,38,3420,6,3.77,0,1.35,0,8,30,14,20.0,2485,2792,89.0,137,298,45.97,12,410,82,153,2,2,100.0,1,0,0.0,3261,327,3,87,1,42,70.0,174,60,74.36,216,73.47,22,13,59.09,28,275,4,26,2,2,2,19,18,4,0,0,0,0,10,53,0,0,42,11,0,0,0,0,0,0,0
994363,Bart Verbruggen,Brighton,bart verbruggen,7.04,38,38,3420,0,,0,0.11,0,0,0,0,0.0,1178,1549,76.05,197,563,34.99,1,50,70,136,1,1,100.0,0,0,0.0,1869,378,0,331,0,5,55.56,11,1,91.67,16,76.19,1,1,100.0,0,32,0,0,4,2,2,2,3,3,0,106,0,18,10,46,76,24,38,8,15,22,20,24,0,6,1
138530,Jordan Pickford,Everton,jordan pickford,7.01,38,38,3420,0,,0,0.24,1,0,0,0,0.0,886,1439,61.57,362,911,39.74,2,149,134,246,0,0,0.0,0,0,0.0,1764,562,0,311,0,8,80.0,5,2,71.43,13,76.47,2,1,50.0,0,52,0,0,3,0,1,1,6,4,0,100,0,21,11,50,70,30,46,4,18,35,33,14,0,4,1
103335,Bernd Leno,Fulham,bernd leno,6.93,38,38,3420,0,,0,0.04,0,0,0,0,0.0,1078,1394,77.33,173,486,35.6,0,25,72,114,0,0,0.0,0,0,0.0,1776,329,0,318,0,7,100.0,21,1,95.45,28,96.55,4,1,25.0,1,45,0,0,1,4,0,0,6,3,0,98,1,16,9,51,61,36,45,6,30,22,22,28,1,4,0
882604,Đorđe Petrović,Bournemouth,dorde petrovic,6.87,38,38,3420,0,,0,0.02,0,0,0,0,0.0,580,901,64.37,146,462,31.6,0,27,47,100,0,0,0.0,0,0,0.0,1318,331,0,285,0,3,50.0,20,0,100.0,23,88.46,0,0,0.0,0,62,0,0,2,2,3,0,2,3,0,109,2,26,11,54,69,37,46,8,35,23,21,31,2,6,0
927361,James Garner,Everton,james garner,7.23,38,38,3414,2,2.03,7,5.95,12,0,45,14,4.44,1564,1793,87.23,60,131,45.8,56,490,39,76,18,34,52.94,207,53,25.6,2654,479,15,184,15,179,60.88,30,17,63.83,209,61.29,120,71,59.17,59,85,11,10,0,1,46,39,42,12,0,0,0,0,11,50,0,0,46,4,0,0,0,0,0,0,0
552884,Jarrod Bowen,West Ham United,jarrod bowen,7.01,38,38,3405,9,7.26,11,5.24,16,5,79,28,11.39,585,793,73.77,16,45,35.56,45,251,14,44,53,118,44.92,148,27,18.24,1616,573,26,159,77,152,45.1,33,57,36.67,185,43.33,50,29,58.0,27,39,29,7,0,1,26,19,49,5,0,0,0,0,7,63,0,0,58,5,0,0,0,0,0,0,0
999028,Adrien Truffert,Bournemouth,adrien truffert,6.79,38,38,3380,1,1.36,5,2.98,4,1,16,6,6.25,1302,1560,83.46,38,120,31.67,32,368,32,75,33,73,45.21,143,34,23.78,2597,506,8,188,24,168,55.81,44,54,44.9,212,53.13,103,52,50.49,48,143,5,10,1,2,30,39,32,5,0,0,0,0,11,51,0,0,43,8,0,0,0,0,0,0,0
836168,Nikola Milenković,Nottingham Forest,nikola milenkovic,6.81,38,37,3375,0,0.84,0,0.72,1,2,16,1,0.0,1333,1539,86.61,84,203,41.38,3,122,45,92,3,3,100.0,2,0,0.0,1980,224,0,108,2,54,62.79,89,39,69.53,143,66.82,31,17,54.84,29,218,2,36,2,1,10,21,20,6,0,0,0,0,9,51,0,0,42,9,0,0,0,0,0,0,0
994546,Elliot Anderson,Nottingham Forest,elliot anderson,7.34,38,37,3334,4,2.9,4,4.79,9,1,44,10,9.09,2038,2383,85.52,119,223,53.36,55,582,79,165,50,92,54.35,176,51,28.98,3300,656,25,306,62,231,53.72,66,46,58.93,297,54.8,104,63,60.58,41,49,18,16,0,4,40,57,80,8,0,0,0,0,7,50,0,0,41,9,0,0,0,0,0,0,0
