sofascore_id,player,squad,norm_key,rating,appearances,matchesStarted,minutesPlayed,goals,expectedGoals,assists,expectedAssists,bigChancesCreated,bigChancesMissed,totalShots,shotsOnTarget,goalConversionPercentage,accuratePasses,totalPasses,accuratePassesPercentage,accurateLongBalls,totalLongBalls,accurateLongBallsPercentage,keyPasses,accurateFinalThirdPasses,accurateChippedPasses,totalChippedPasses,successfulDribbles,totalContest,successfulDribblesPercentage,totalCross,accurateCrosses,accurateCrossesPercentage,touches,possessionLost,possessionWonAttThird,ballRecovery,dispossessed,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialLost,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,tackles,tacklesWon,tacklesWonPercentage,interceptions,clearances,blockedShots,outfielderBlocks,errorLeadToGoal,errorLeadToShot,dribbledPast,fouls,wasFouled,yellowCards,redCards,saves,savesCaught,savesParried,cleanSheet,goalsConceded,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,penaltyFaced,penaltySave
156663,Davy Roef,Gent,davy roef,7.25,41,41,3720,0,,0,0.05,0,0,0,0,0.0,871,1298,67.1,255,670,38.06,3,24,69,126,0,0,0.0,0,0,0.0,1788,447,0,378,0,7,100.0,18,2,90.0,25,92.59,1,1,100.0,1,39,0,0,2,3,0,0,8,0,0,147,2,26,10,58,110,36,50,8,21,14,14,32,0,4,2
801025,Bryan Heynen,Genk,bryan heynen,7.31,40,40,3603,4,4.75,1,4.68,7,4,48,11,8.33,2169,2503,86.66,121,220,55.0,49,671,100,168,22,40,55.0,23,4,17.39,3193,481,21,213,31,163,56.01,76,58,56.72,239,56.24,99,64,64.65,53,119,14,23,0,1,35,46,42,5,0,0,0,0,8,52,0,0,47,5,0,0,0,0,0,0,0
963038,Andreas Jungdal,Westerlo,andreas jungdal,6.97,40,40,3600,0,,0,0.15,0,0,0,0,0.0,845,1253,67.44,258,661,39.03,3,71,70,120,0,0,0.0,0,0,0.0,1645,417,0,343,0,7,87.5,19,0,100.0,26,96.3,1,1,100.0,1,53,0,0,3,1,1,0,9,3,0,112,0,25,14,57,76,34,50,7,18,35,35,24,1,2,1
949101,Ewoud Pletinckx,OH Leuven,ewoud pletinckx,6.74,40,40,3538,3,2.91,0,1.14,1,4,35,12,8.57,1256,1559,80.56,106,237,44.73,14,143,76,170,6,10,60.0,15,6,40.0,2139,359,0,97,4,65,56.03,97,107,47.55,162,50.63,55,32,58.18,38,199,5,34,0,1,15,30,4,4,0,0,0,0,10,60,0,0,53,7,0,0,0,0,0,0,0
1392905,Matte Smets,Genk,matte smets,7.15,39,39,3509,0,0.75,1,2.2,3,0,15,0,0.0,2674,2925,91.42,229,388,59.02,17,256,78,156,5,8,62.5,11,3,27.27,3501,285,2,134,2,93,69.92,73,78,48.34,166,58.45,70,41,58.57,54,273,2,31,0,1,13,22,18,4,0,0,0,0,7,53,0,0,48,5,0,0,0,0,0,0,0
862075,Bryan Reynolds,Westerlo,bryan reynolds,6.77,39,39,3494,2,2.75,3,4.35,5,4,22,8,9.09,1157,1473,78.55,52,117,44.44,37,390,47,106,37,73,50.68,69,24,34.78,2337,552,10,151,22,114,50.44,40,19,67.8,154,54.04,53,32,60.38,32,114,2,7,1,1,21,37,24,8,0,0,0,0,13,56,0,0,49,7,0,0,0,0,0,0,0
1407973,Cheick Keita,Charleroi,cheick keita,6.69,40,39,3440,3,2.36,0,0.27,0,2,18,5,16.67,1359,1490,91.21,61,120,50.83,1,77,31,65,5,9,55.56,4,1,25.0,1949,183,1,127,13,67,54.47,63,63,50.0,130,52.21,43,26,60.47,25,189,1,23,0,3,9,32,19,5,0,0,0,0,11,49,0,0,40,9,0,0,0,0,0,0,0
248331,Brandon Mechele,Club Brugge,brandon mechele,7.29,39,39,3435,5,3.46,2,1.49,3,4,33,14,15.15,2595,2813,92.25,129,217,59.45,22,307,73,125,5,6,83.33,4,0,0.0,3298,252,2,160,5,102,64.97,127,77,62.25,229,63.43,77,43,55.84,44,149,6,36,0,2,16,36,21,4,0,0,0,0,12,41,0,0,37,4,0,0,0,0,0,0,0
997020,Léo Kokubo,Sint-Truiden,leo kokubo,7.23,38,38,3420,0,,0,0.05,0,0,0,0,0.0,841,1165,72.19,195,509,38.31,0,29,44,84,0,0,0.0,0,0,0.0,1521,334,0,301,0,15,100.0,8,2,80.0,23,92.0,4,3,75.0,0,44,0,0,1,3,0,1,12,5,0,110,0,34,9,43,79,31,35,8,16,18,17,26,1,3,0
122399,Colin Coosemans,Anderlecht,colin coosemans,6.98,38,38,3420,0,,0,0.11,0,0,0,0,0.0,788,1130,69.73,205,539,38.03,2,47,80,156,1,1,100.0,1,0,0.0,1467,353,0,286,0,11,100.0,16,3,84.21,27,90.0,0,0,0.0,2,39,0,0,2,1,0,2,10,2,0,102,0,19,10,56,74,28,49,7,26,8,8,33,1,5,0
